Date	Tavg
01/03/2009	6.6
02/03/2009	6.8
03/03/2009	6.3
04/03/2009	4.6
05/03/2009	1.8
06/03/2009	1.6
07/03/2009	3.2
08/03/2009	4.5
09/03/2009	3.9
10/03/2009	3.5
11/03/2009	5.7
12/03/2009	5.1
13/03/2009	8.5
14/03/2009	10.3
15/03/2009	10.1
16/03/2009	8.6
17/03/2009	9.2
18/03/2009	9.4
19/03/2009	8.7
20/03/2009	3.5
21/03/2009	2.9
22/03/2009	5.9
23/03/2009	8.2
24/03/2009	4.7
25/03/2009	3.7
26/03/2009	7.5
27/03/2009	11
28/03/2009	7.4
29/03/2009	5.5
30/03/2009	6
31/03/2009	6.3
01/04/2009	8.9
02/04/2009	9.1
03/04/2009	12.1
04/04/2009	12.5
05/04/2009	12.9
06/04/2009	13.8
07/04/2009	12.7
08/04/2009	13
09/04/2009	14.2
10/04/2009	14.7
11/04/2009	14.3
12/04/2009	14.2
13/04/2009	15
14/04/2009	15.3
15/04/2009	15.5
16/04/2009	9.9
17/04/2009	10.1
18/04/2009	10.7
19/04/2009	11
20/04/2009	13.1
21/04/2009	15
22/04/2009	15.8
23/04/2009	13.4
24/04/2009	10.8
25/04/2009	14.1
26/04/2009	13
27/04/2009	9.5
28/04/2009	8.8
29/04/2009	7.5
30/04/2009	9.9
01/05/2009	12.5
02/05/2009	14.3
03/05/2009	13.4
04/05/2009	12.3
05/05/2009	11.1
06/05/2009	14.8
07/05/2009	17.5
08/05/2009	16.5
09/05/2009	17.3
10/05/2009	17
11/05/2009	17.3
12/05/2009	16.7
13/05/2009	16.9
14/05/2009	16.1
15/05/2009	12
16/05/2009	15.2
17/05/2009	16.7
18/05/2009	14.9
19/05/2009	17.4
20/05/2009	20.1
21/05/2009	22.3
22/05/2009	22.4
23/05/2009	21.5
24/05/2009	25.2
25/05/2009	24.7
26/05/2009	18.2
27/05/2009	14.6
28/05/2009	17.2
29/05/2009	17.2
30/05/2009	14.9
31/05/2009	16.3
01/06/2009	16.8
02/06/2009	19.1
03/06/2009	19.7
04/06/2009	18.1
05/06/2009	16.5
06/06/2009	14.3
07/06/2009	14.6
08/06/2009	15.6
09/06/2009	15.1
10/06/2009	17.5
11/06/2009	17.9
12/06/2009	17.7
13/06/2009	20.6
14/06/2009	22.2
15/06/2009	20.5
16/06/2009	19.7
17/06/2009	20.4
18/06/2009	23.4
19/06/2009	19.6
20/06/2009	15.4
21/06/2009	15.1
22/06/2009	14.7
23/06/2009	14.6
24/06/2009	17.3
25/06/2009	19.7
26/06/2009	18.2
27/06/2009	18.7
28/06/2009	21
29/06/2009	22.5
30/06/2009	22.7
01/07/2009	21.7
02/07/2009	23
03/07/2009	24
04/07/2009	22.1
05/07/2009	21
06/07/2009	21.2
07/07/2009	16.4
08/07/2009	15.9
09/07/2009	17.1
10/07/2009	16.7
11/07/2009	18.1
12/07/2009	21.7
13/07/2009	25.2
14/07/2009	24.6
15/07/2009	23.2
16/07/2009	25.8
17/07/2009	15.8
18/07/2009	13.6
19/07/2009	17.5
20/07/2009	20.6
21/07/2009	23
22/07/2009	22.7
23/07/2009	22
24/07/2009	19.8
25/07/2009	19.3
26/07/2009	19.6
27/07/2009	20.9
28/07/2009	20.6
29/07/2009	22.9
30/07/2009	21.6
31/07/2009	20.2
01/08/2009	23.3
02/08/2009	17.8
03/08/2009	17.3
04/08/2009	18.9
05/08/2009	21
06/08/2009	23.3
07/08/2009	23.3
08/08/2009	19.8
09/08/2009	19.8
10/08/2009	18.3
11/08/2009	21.1
12/08/2009	21.5
13/08/2009	22.3
14/08/2009	22.9
15/08/2009	23.8
16/08/2009	24.8
17/08/2009	24.5
18/08/2009	25.6
19/08/2009	26.4
20/08/2009	27.4
21/08/2009	23.7
22/08/2009	21.4
23/08/2009	20.2
24/08/2009	23.1
25/08/2009	19.3
26/08/2009	19.8
27/08/2009	22.4
28/08/2009	20.6
29/08/2009	17.2
30/08/2009	17.2
31/08/2009	20
01/09/2009	21.2
02/09/2009	18.8
03/09/2009	20.3
04/09/2009	16
05/09/2009	13.2
06/09/2009	14.6
07/09/2009	16.8
08/09/2009	18
09/09/2009	18.4
