Date	Tavg
01/01/2009	2.6
02/01/2009	-2.8
03/01/2009	1.2
04/01/2009	-1.9
05/01/2009	-5.9
06/01/2009	-1
07/01/2009	-0.6
08/01/2009	-0.9
09/01/2009	3.7
10/01/2009	2.1
11/01/2009	0.8
12/01/2009	3.5
13/01/2009	3.7
14/01/2009	3.1
15/01/2009	1.7
16/01/2009	-0.3
17/01/2009	-0.6
18/01/2009	2.1
19/01/2009	2.2
20/01/2009	3.5
21/01/2009	1.8
22/01/2009	0.6
23/01/2009	1.2
24/01/2009	2
25/01/2009	2.4
26/01/2009	1
27/01/2009	1.1
28/01/2009	-0.2
29/01/2009	-2.4
30/01/2009	-0.6
31/01/2009	0.6
01/02/2009	-1.2
02/02/2009	0.3
03/02/2009	0.9
04/02/2009	0.5
05/02/2009	0.9
06/02/2009	2.9
07/02/2009	2
08/02/2009	1.3
09/02/2009	0.5
10/02/2009	0.5
11/02/2009	0
12/02/2009	-1.2
13/02/2009	-2.9
14/02/2009	-1.7
15/02/2009	-0.2
16/02/2009	-0.7
17/02/2009	-4.6
18/02/2009	-3.3
19/02/2009	0.1
20/02/2009	0.2
21/02/2009	0
22/02/2009	3.8
23/02/2009	1
24/02/2009	1
25/02/2009	4.1
26/02/2009	4.5
27/02/2009	3.6
28/02/2009	1.9
01/03/2009	2.8
02/03/2009	3.7
03/03/2009	4.6
04/03/2009	4.1
05/03/2009	4.5
06/03/2009	2.7
07/03/2009	2.5
08/03/2009	3.5
09/03/2009	2.8
10/03/2009	4.1
11/03/2009	3.4
12/03/2009	1.8
13/03/2009	5.8
14/03/2009	4.5
15/03/2009	6
16/03/2009	5.2
17/03/2009	6
18/03/2009	5.5
19/03/2009	3.9
20/03/2009	1.8
21/03/2009	2.8
22/03/2009	6.3
23/03/2009	3.5
24/03/2009	0.4
25/03/2009	-0.7
26/03/2009	1.9
27/03/2009	5
28/03/2009	5.2
29/03/2009	5.1
30/03/2009	4.2
31/03/2009	6.2
01/04/2009	6.6
02/04/2009	4.2
03/04/2009	7.3
04/04/2009	9.2
05/04/2009	7.6
06/04/2009	7.1
07/04/2009	10.2
08/04/2009	9.4
09/04/2009	9
10/04/2009	9.9
11/04/2009	9.6
12/04/2009	8
13/04/2009	9.1
14/04/2009	10.8
15/04/2009	9.4
16/04/2009	8.2
17/04/2009	7.9
18/04/2009	8.4
19/04/2009	5.5
20/04/2009	8.1
21/04/2009	8
22/04/2009	7
23/04/2009	9.7
24/04/2009	9.9
25/04/2009	11.1
26/04/2009	14.7
27/04/2009	13.8
28/04/2009	13.5
29/04/2009	13.8
30/04/2009	13.4
01/05/2009	10.4
02/05/2009	10.5
03/05/2009	11
04/05/2009	9.4
05/05/2009	10.1
06/05/2009	10
07/05/2009	10.5
08/05/2009	12.2
09/05/2009	11.5
10/05/2009	11.1
11/05/2009	9.6
12/05/2009	10.9
13/05/2009	10.7
14/05/2009	9.5
15/05/2009	9.7
16/05/2009	8.3
17/05/2009	10.1
18/05/2009	13.3
19/05/2009	14
20/05/2009	13.8
21/05/2009	13.5
22/05/2009	11.8
23/05/2009	12.2
24/05/2009	13.5
25/05/2009	13.1
26/05/2009	15.8
27/05/2009	12.8
28/05/2009	12.3
29/05/2009	14
30/05/2009	16.1
31/05/2009	18.1
01/06/2009	18
02/06/2009	16
03/06/2009	11.8
04/06/2009	10
05/06/2009	9.8
06/06/2009	9.4
07/06/2009	10.5
08/06/2009	11
09/06/2009	10.4
10/06/2009	13.7
11/06/2009	10.2
12/06/2009	10.8
13/06/2009	12.7
14/06/2009	13.3
15/06/2009	12.4
16/06/2009	11.6
17/06/2009	12.9
18/06/2009	14.8
19/06/2009	12.9
20/06/2009	13.6
21/06/2009	13.8
22/06/2009	14.7
23/06/2009	16.4
24/06/2009	18.6
25/06/2009	18.1
26/06/2009	18.5
27/06/2009	16.7
28/06/2009	17.1
29/06/2009	17.3
30/06/2009	20.7
01/07/2009	21.2
02/07/2009	21.6
03/07/2009	21.8
04/07/2009	20.9
05/07/2009	19.1
06/07/2009	17.8
07/07/2009	17.4
08/07/2009	16.7
09/07/2009	15.9
10/07/2009	14.4
11/07/2009	15.3
12/07/2009	16.2
13/07/2009	17.9
14/07/2009	19.6
15/07/2009	20.2
16/07/2009	19.3
17/07/2009	19
18/07/2009	17.9
19/07/2009	17
20/07/2009	15.9
21/07/2009	17.3
22/07/2009	18.3
23/07/2009	18.6
24/07/2009	16.4
25/07/2009	16.5
26/07/2009	16.5
27/07/2009	19.6
28/07/2009	18.2
29/07/2009	18.4
30/07/2009	17.9
31/07/2009	16.9
01/08/2009	16.4
02/08/2009	20.6
03/08/2009	17.2
04/08/2009	17.5
05/08/2009	19.2
06/08/2009	19.5
07/08/2009	19.8
08/08/2009	21.6
09/08/2009	21.9
10/08/2009	20.7
11/08/2009	18.1
12/08/2009	17.5
13/08/2009	16.9
14/08/2009	16.3
15/08/2009	17.3
