Onset	ProbabilitySum
21/07/1995	7e-04
20/07/1995	0.0013
22/07/1995	0.002
17/07/1995	0.0026
22/07/1995	0.0033
23/07/1995	0.004
24/07/1995	0.0046
22/07/1995	0.0053
22/07/1995	0.0059
22/07/1995	0.0066
21/07/1995	0.0073
23/07/1995	0.0079
21/07/1995	0.0086
22/07/1995	0.0092
22/07/1995	0.0099
18/07/1995	0.0106
23/07/1995	0.0112
22/07/1995	0.0119
23/07/1995	0.0125
23/07/1995	0.0132
16/07/1995	0.0139
22/07/1995	0.0145
23/07/1995	0.0152
21/07/1995	0.0159
23/07/1995	0.0165
22/07/1995	0.0172
23/07/1995	0.0178
22/07/1995	0.0185
20/07/1995	0.0192
22/07/1995	0.0198
22/07/1995	0.0205
21/07/1995	0.0211
20/07/1995	0.0218
23/07/1995	0.0225
21/07/1995	0.0231
22/07/1995	0.0238
21/07/1995	0.0244
28/07/1995	0.0251
03/06/1995	0.0258
28/07/1995	0.0264
26/07/1995	0.0271
25/07/1995	0.0277
02/08/1995	0.0284
31/07/1995	0.0291
31/07/1995	0.0297
01/08/1995	0.0304
30/07/1995	0.031
29/07/1995	0.0317
31/07/1995	0.0324
29/07/1995	0.033
29/07/1995	0.0337
30/07/1995	0.0343
25/07/1995	0.035
31/07/1995	0.0357
27/07/1995	0.0363
28/07/1995	0.037
27/07/1995	0.0376
26/07/1995	0.0383
27/07/1995	0.039
28/07/1995	0.0396
29/07/1995	0.0403
28/07/1995	0.041
28/07/1995	0.0416
27/07/1995	0.0423
26/07/1995	0.0429
30/07/1995	0.0436
28/07/1995	0.0443
28/07/1995	0.0449
29/07/1995	0.0456
26/07/1995	0.0462
27/07/1995	0.0469
28/07/1995	0.0476
27/07/1995	0.0482
26/07/1995	0.0489
27/07/1995	0.0495
28/07/1995	0.0502
26/07/1995	0.0509
27/07/1995	0.0515
28/07/1995	0.0522
26/07/1995	0.0528
27/07/1995	0.0535
29/07/1995	0.0542
30/07/1995	0.0548
29/07/1995	0.0555
29/07/1995	0.0561
29/07/1995	0.0568
28/07/1995	0.0575
31/07/1995	0.0581
29/07/1995	0.0588
28/07/1995	0.0594
29/07/1995	0.0601
25/07/1995	0.0608
27/07/1995	0.0614
30/07/1995	0.0621
20/07/1995	0.0627
20/07/1995	0.0634
20/07/1995	0.0641
21/07/1995	0.0647
21/07/1995	0.0654
22/07/1995	0.0661
27/07/1995	0.0667
24/07/1995	0.0674
23/07/1995	0.068
23/07/1995	0.0687
23/07/1995	0.0694
23/07/1995	0.07
21/07/1995	0.0707
21/07/1995	0.0713
26/07/1995	0.072
19/07/1995	0.0727
23/07/1995	0.0733
23/07/1995	0.074
20/07/1995	0.0746
23/07/1995	0.0753
23/07/1995	0.076
21/07/1995	0.0766
26/07/1995	0.0773
22/07/1995	0.0779
26/07/1995	0.0786
26/07/1995	0.0793
22/07/1995	0.0799
23/07/1995	0.0806
24/07/1995	0.0812
23/07/1995	0.0819
21/07/1995	0.0826
26/07/1995	0.0832
22/07/1995	0.0839
23/07/1995	0.0845
21/07/1995	0.0852
19/07/1995	0.0859
19/07/1995	0.0865
18/07/1995	0.0872
18/07/1995	0.0878
19/07/1995	0.0885
20/07/1995	0.0892
21/07/1995	0.0898
21/07/1995	0.0905
19/07/1995	0.0911
20/07/1995	0.0918
20/07/1995	0.0925
23/07/1995	0.0931
22/07/1995	0.0938
22/07/1995	0.0945
22/07/1995	0.0951
21/07/1995	0.0958
23/07/1995	0.0964
24/07/1995	0.0971
25/07/1995	0.0978
23/07/1995	0.0984
24/07/1995	0.0991
25/07/1995	0.0997
26/07/1995	0.1004
27/07/1995	0.1011
27/07/1995	0.1017
27/07/1995	0.1024
26/07/1995	0.103
27/07/1995	0.1037
25/07/1995	0.1044
26/07/1995	0.105
