Date	Tmin	Tmax	Tavg
21/3/2016	9	25	17
22/3/2016	13.8	21.6	17.7
23/3/2016	4	14.4	9.2
24/3/2016	2.4	17.6	10
25/3/2016	5.8	19	12.4
26/3/2016	8	17.2	12.6
27/3/2016	5	18.8	11.9
28/3/2016	6.2	22.4	14.3
29/3/2016	7	24.2	15.6
30/3/2016	8	18.4	13.2
31/3/2016	11	20.4	15.7
1/4/2016	8	21.6	14.8
2/4/2016	7	24	15.5
3/4/2016	10	23	16.5
4/4/2016	10.6	26.4	18.5
5/4/2016	9.6	25.6	17.6
6/4/2016	10	26.4	18.2
7/4/2016	12	29	20.5
8/4/2016	12	29.4	20.7
9/4/2016	12.2	31.6	21.9
10/4/2016	13.8	31.6	22.7
11/4/2016	19	29.6	24.3
12/4/2016	15.2	23	19.1
13/4/2016	14.8	25.4	20.1
14/4/2016	8.4	20.4	14.4
15/4/2016	7	21.8	14.4
16/4/2016	10	20.6	15.3
17/4/2016	10	25	17.5
18/4/2016	11.8	26.2	19
19/4/2016	7	26.8	16.9
20/4/2016	13.2	28	20.6
21/4/2016	11	31.2	21.1
22/4/2016	14.6	32.4	23.5
23/4/2016	16.4	31.2	23.8
24/4/2016	15.8	30.4	23.1
25/4/2016	11	20.4	15.7
26/4/2016	7.6	23	15.3
27/4/2016	9.4	28	18.7
28/4/2016	10.2	28.8	19.5
29/4/2016	11.8	31	21.4
30/4/2016	13.4	33.8	23.6
1/5/2016	13	35.4	24.2
2/5/2016	16.6	35	25.8
3/5/2016	15	35.2	25.1
4/5/2016	14.2	34.2	24.2
5/5/2016	16.2	33	24.6
6/5/2016	18.2	29.4	23.8
7/5/2016	13.2	29.8	21.5
8/5/2016	11.4	29	20.2
9/5/2016	16	31.6	23.8
10/5/2016	18.2	28.8	23.5
11/5/2016	14.2	30.4	22.3
12/5/2016	17.6	34.6	26.1
13/5/2016	16.8	36.4	26.6
14/5/2016	20	37	28.5
15/5/2016	19	31	25
16/5/2016	15	30	22.5
17/5/2016	14.8	31.6	23.2
18/5/2016	17	33.4	25.2
19/5/2016	18.2	35	26.6
20/5/2016	18.8	37.4	28.1
21/5/2016	19	36.2	27.6
22/5/2016	16	35.2	25.6
23/5/2016	20	35.8	27.9
24/5/2016	20	36.8	28.4
25/5/2016	18.2	36.6	27.4
26/5/2016	19.6	36	27.8
27/5/2016	18.6	36.4	27.5
28/5/2016	19	34.6	26.8
29/5/2016	20	36.4	28.2
30/5/2016	20	37	28.5
31/5/2016	20	38.6	29.3
1/6/2016	23.2	40	31.6
2/6/2016	22.8	41.2	32
3/6/2016	27.2	41.4	34.3
4/6/2016	23.8	41	32.4
5/6/2016	22.8	40.4	31.6
6/6/2016	24.8	41.4	33.1
7/6/2016	26	41.8	33.9
8/6/2016	18.4	37.2	27.8
9/6/2016	18.6	37	27.8
10/6/2016	25	40	32.5
11/6/2016	25.6	40.4	33
12/6/2016	24.4	42	33.2
