fileNumber	cropAtStart	cropHalfways	k	propExposedImmigrants	lethalTime	immunityCost	cadaverDuration	timeAcceleration	sporulationOn	transmissionEfficiency
3	14.9319	795.223	30	0.318973	62.0337	0.117514	62.8378	2.24266	91.4225	0.0697391
24	23.5411	827.042	17	0.228724	55.4723	0.197182	103.559	1.82535	97.5087	0.437497
16	26.6523	823.945	15	0.285074	60.2202	0.316119	111.636	1.51925	97.9075	0.370837
13	10.3324	762.417	21	0.560086	62.4254	0.210191	58.4148	2.32924	81.9412	0.0720888
13	29.6676	792.701	22	0.453151	69.4833	0.203709	95.6036	1.9954	98.4726	0.376856
11	16.2357	830.223	18	0.201879	70.0433	0.203605	86.4962	1.70273	98.1527	0.376979
21	15.7311	769.874	20	0.337385	69.9248	0.0889785	49.1207	1.4263	97.8231	0.38149
16	26.5547	819.975	22	0.492444	93.218	0.106837	95.1379	1.96705	98.0075	0.180879
21	23.351	791.785	24	0.367955	77.3829	0.194391	84.6318	2.26864	96.4151	0.447766
29	12.1853	829.466	15	0.544399	69.1461	0.111077	87.5611	1.50555	96.0633	0.126909
25	14.3459	819.071	18	0.443515	97.3559	0.264393	57.3704	1.69629	92.5552	0.0528891
38	22.7634	798.457	19	0.496427	104.738	0.146918	52.3899	2.44072	98.5762	0.281945
16	22.0501	810.219	18	0.406142	90.6111	0.264646	107.892	2.5527	97.6385	0.459518
37	19.5456	800.015	18	0.485281	89.7737	0.058797	93.096	2.35581	97.5701	0.328164
21	21.2218	771.798	26	0.474772	81.4968	0.309374	92.2116	2.38792	98.5762	0.265914
24	19.7619	772.742	20	0.180203	77.193	0.213551	69.5665	2.26907	97.0707	0.143406
4	19.1251	832.355	26	0.308462	100.351	0.214914	72.0724	2.22169	98.4108	0.278171
21	11.4814	775.23	18	0.365996	78.5391	0.0976374	91.7027	2.40517	97.8791	0.173786
38	19.3037	805.956	15	0.450184	88.5096	0.197508	78.8029	2.34417	97.4057	0.403146
20	14.395	819.446	25	0.470143	56.2433	0.285968	86.8859	2.33621	96.0668	0.130295
20	21.2546	760.698	28	0.228265	83.5008	0.228039	61.0443	1.2961	91.829	0.0651197
20	21.0985	783.3	18	0.415376	108.556	0.167388	52.6829	2.37362	91.443	0.438779
20	17.8886	789.701	18	0.404628	98.2791	0.233581	86.2631	2.73747	95.2723	0.248333
20	13.1227	826.56	30	0.563785	105.228	0.148491	91.5224	2.55124	98.6969	0.136542
20	17.6115	790.528	20	0.612677	78.3727	0.241663	79.6606	2.25872	91.2604	0.21492
