fileNumber	cropAtStart	cropHalfways	k	propExposedImmigrants	lethalTime	immunityCost	cadaverDuration	timeAcceleration	sporulationOn	transmissionEfficiency
22	12.9687	827.668	25	0.444466	80.604	0.246055	49.078	2.78605	84.9285	0.24708
1	27.9742	802.343	20	0.573923	64.6967	0.162209	63.067	1.63935	93.3733	0.229324
21	20.6768	818.487	29	0.31216	86.8439	0.265994	77.8247	2.79969	93.1197	0.237257
13	19.0769	848.338	26	0.199122	84.6315	0.306315	69.3942	1.87675	88.1689	0.486772
36	14.7249	779.873	22	0.514778	78.0462	0.299127	79.7105	1.79579	93.6563	0.377949
4	24.6245	800.171	18	0.355836	91.4308	0.11704	65.5279	1.80092	85.2659	0.494149
39	24.5017	797.642	24	0.343171	81.3108	0.0216501	67.0832	2.00972	84.405	0.283333
9	16.259	767.286	30	0.573415	75.1652	0.0660462	66.2958	2.21932	90.7603	0.373994
7	13.5473	822.883	29	0.351246	86.9013	0.256941	92.3723	2.51885	92.3575	0.32589
15	16.1603	847.942	27	0.403382	81.4775	0.15816	88.4714	2.4591	91.3049	0.386144
11	17.2623	789.338	30	0.554948	75.4644	0.215454	66.4337	2.16525	96.1888	0.0913275
34	21.0303	805.364	19	0.389759	100.428	0.105934	62.2108	1.66213	91.2838	0.366897
25	23.1288	809.702	15	0.556254	90.032	0.311964	82.6047	1.67195	89.6303	0.317765
7	22.0461	774.757	26	0.432432	77.1473	0.182096	76.3121	2.13036	97.2273	0.321255
22	20.8658	811.215	18	0.292746	88.453	0.181659	94.6132	2.01617	84.3371	0.278972
19	12.0633	757.496	26	0.329362	102.495	0.22827	60.0553	2.4206	82.1347	0.32073
22	17.6561	821.999	21	0.397397	101.077	0.180226	77.4818	2.2887	89.5162	0.460681
3	22.7797	785.46	30	0.659873	94.7721	0.23665	78.1714	2.28592	85.827	0.298642
26	28.1182	784.141	25	0.251274	89.0299	0.290869	86.4705	1.53833	88.2907	0.107874
9	18.3515	777.47	15	0.495533	94.6016	0.163256	92.1208	1.38555	86.3592	0.325485
5	22.7334	829.546	23	0.21594	111.571	0.179167	81.7141	1.4469	95.346	0.307133
16	15.8064	808.434	27	0.2998	70.3827	0.118762	77.9874	1.40691	93.9789	0.140896
13	21.8578	816.33	18	0.400245	109.832	0.212654	93.0274	2.82911	90.3318	0.251869
32	16.8721	797.624	30	0.260391	107.991	0.311937	107.298	2.46536	95.9454	0.238066
36	19.515	803.021	27	0.537498	113.79	0.0572746	59.0305	1.00847	89.6811	0.177785
