Date	Time	Tair	Rhair	GlobRad	DifRad	Windspeed	Tsky
01/01/2001	00:00	2.8	80	500	200	19	-0.2
01/01/2001	01:00	2.6	80	500	200	17	-0.4
01/01/2001	02:00	2.6	80	500	200	14	-0.4
01/01/2001	03:00	2.8	80	500	200	12.3	-0.2
01/01/2001	04:00	2.9	87	500	200	12	0.9
01/01/2001	05:00	3.2	85	500	200	11.8	0.9
01/01/2001	06:00	2.9	80	500	200	11.3	-0.1
01/01/2001	07:00	2.3	78	500	200	12	-0.9
01/01/2001	08:00	2.2	78	500	200	13.3	-1
01/01/2001	09:00	3.2	81	500	200	13.9	0.2
01/01/2001	10:00	3.5	82	500	200	13.9	0.7
01/01/2001	11:00	4	81	500	200	14	1.1
01/01/2001	12:00	4.9	81	500	200	14.4	1.9
01/01/2001	13:00	6	79	500	200	15	2.7
01/01/2001	14:00	6.4	77	500	200	15.4	2.7
01/01/2001	15:00	7.1	76	500	200	16.4	3.1
01/01/2001	16:00	7.5	75	500	200	14.9	3.3
01/01/2001	17:00	6.9	75	500	200	13.8	2.8
01/01/2001	18:00	7.3	76	500	200	13	3.3
01/01/2001	19:00	7.3	77	500	200	13	3.5
01/01/2001	20:00	7.7	77	500	200	12.9	4
01/01/2001	21:00	6.7	76	500	200	13	2.7
01/01/2001	22:00	6.2	72	500	200	12.9	1.5
01/01/2001	23:00	5.9	68	500	200	12.8	0.4
02/01/2001	00:00	4.6	63	500	200	12.8	-1.4
02/01/2001	01:00	4.4	64	500	200	12	-1.5
02/01/2001	02:00	4.4	67	500	200	12	-1
02/01/2001	03:00	4.8	70	500	200	11.3	-0.2
02/01/2001	04:00	5.6	70	500	200	11	0.6
02/01/2001	05:00	5.4	70	500	200	10.8	0.3
02/01/2001	06:00	5	70	500	200	10.2	0
02/01/2001	07:00	4.1	73	500	200	9.9	-0.3
02/01/2001	08:00	3.7	77	500	200	8.7	0.1
02/01/2001	09:00	3.1	81	500	200	7.3	0.1
02/01/2001	10:00	2.1	81	500	200	6.7	-0.7
02/01/2001	11:00	2	80	500	200	6	-0.9
02/01/2001	12:00	2.3	79	500	200	5.7	-0.7
02/01/2001	13:00	2.7	82	500	200	5	-0.1
02/01/2001	14:00	2.7	84	500	200	4.1	0.2
02/01/2001	15:00	2.7	85	500	200	4	0.5
02/01/2001	16:00	3.5	85	500	200	3.6	1.2
02/01/2001	17:00	3.4	85	500	200	3.5	1.1
02/01/2001	18:00	3.3	85	500	200	3	1.1
02/01/2001	19:00	1.9	90	500	200	4.1	0.4
02/01/2001	20:00	1	95	500	200	5	0.3
02/01/2001	21:00	0.7	99	500	200	5.1	0.5
02/01/2001	22:00	0.9	98	500	200	5	0.6
02/01/2001	23:00	1	95	500	200	5.1	0.3
03/01/2001	00:00	1.6	93	500	200	5.3	0.6
03/01/2001	01:00	1.7	94	500	200	5	0.9
03/01/2001	02:00	1.5	97	500	200	4	1.1
03/01/2001	03:00	1.6	100	500	200	3.3	1.6
03/01/2001	04:00	1.8	100	500	200	3	1.8
03/01/2001	05:00	2	100	500	200	3	2
