Date	Time	Tair	Rhair	GlobRad	Windspeed
01/01/2001	00:00	2.8	80	0	19
01/01/2001	01:00	2.6	80	0	17
01/01/2001	02:00	2.6	80	0	14
01/01/2001	03:00	2.8	80	0	12.3
01/01/2001	04:00	2.9	87	0	12
01/01/2001	05:00	3.2	85	0	11.8
01/01/2001	06:00	2.9	80	0	11.3
01/01/2001	07:00	2.3	78	0	12
01/01/2001	08:00	2.2	78	2	13.3
01/01/2001	09:00	3.2	81	43	13.9
01/01/2001	10:00	3.5	82	57	13.9
01/01/2001	11:00	4	81	21	14
01/01/2001	12:00	4.9	81	34	14.4
01/01/2001	13:00	6	79	22	15
01/01/2001	14:00	6.4	77	22	15.4
01/01/2001	15:00	7.1	76	8	16.4
01/01/2001	16:00	7.5	75	0	14.9
01/01/2001	17:00	6.9	75	0	13.8
01/01/2001	18:00	7.3	76	0	13
01/01/2001	19:00	7.3	77	0	13
01/01/2001	20:00	7.7	77	0	12.9
01/01/2001	21:00	6.7	76	0	13
01/01/2001	22:00	6.2	72	0	12.9
01/01/2001	23:00	5.9	68	0	12.8
02/01/2001	00:00	4.6	63	0	12.8
02/01/2001	01:00	4.4	64	0	12
02/01/2001	02:00	4.4	67	0	12
02/01/2001	03:00	4.8	70	0	11.3
02/01/2001	04:00	5.6	70	0	11
02/01/2001	05:00	5.4	70	0	10.8
02/01/2001	06:00	5	70	0	10.2
02/01/2001	07:00	4.1	73	0	9.9
02/01/2001	08:00	3.7	77	1	8.7
02/01/2001	09:00	3.1	81	46	7.3
02/01/2001	10:00	2.1	81	99	6.7
02/01/2001	11:00	2	80	138	6
02/01/2001	12:00	2.3	79	120	5.7
02/01/2001	13:00	2.7	82	71	5
02/01/2001	14:00	2.7	84	42	4.1
02/01/2001	15:00	2.7	85	7	4
02/01/2001	16:00	3.5	85	0	3.6
02/01/2001	17:00	3.4	85	0	3.5
02/01/2001	18:00	3.3	85	0	3
02/01/2001	19:00	1.9	90	0	4.1
02/01/2001	20:00	1	95	0	5
02/01/2001	21:00	0.7	99	0	5.1
02/01/2001	22:00	0.9	98	0	5
02/01/2001	23:00	1	95	0	5.1
03/01/2001	00:00	1.6	93	0	5.3
03/01/2001	01:00	1.7	94	0	5
03/01/2001	02:00	1.5	97	0	4
03/01/2001	03:00	1.6	100	0	3.3
03/01/2001	04:00	1.8	100	0	3
