Date	Tavg	RH
01/01/2017	2.1	69.2
02/01/2017	-3.7	77.5
03/01/2017	-0.6	76.2
04/01/2017	-2.7	68
05/01/2017	-10.3	78.3
06/01/2017	-1.4	78.4
07/01/2017	0.2	95.4
08/01/2017	-0.9	89.1
09/01/2017	1.9	95
10/01/2017	3.7	93.2
11/01/2017	4.4	88.6
12/01/2017	3.4	65.5
13/01/2017	-1.8	83.9
14/01/2017	-3.4	81.1
15/01/2017	-5.6	75.3
16/01/2017	-7.5	84.7
17/01/2017	-1.4	86.5
18/01/2017	-0.5	96.7
19/01/2017	4.3	83.7
20/01/2017	4.5	78.7
21/01/2017	-1.2	94.8
22/01/2017	1.6	96.9
23/01/2017	-2.7	96
24/01/2017	-3.2	94.9
25/01/2017	1.1	96.5
26/01/2017	3.1	87.9
27/01/2017	0.9	91.9
28/01/2017	0.1	90.6
29/01/2017	0.5	91.1
30/01/2017	2.1	90.5
31/01/2017	0.3	88.7
01/02/2017	-0.1	88.5
02/02/2017	-0.2	95.4
03/02/2017	0	96.2
04/02/2017	-0.8	94.4
05/02/2017	0.2	93.5
06/02/2017	-0.7	83.2
07/02/2017	-5.3	74.5
08/02/2017	-6.5	74.5
09/02/2017	-5.5	74.6
10/02/2017	-3.2	82.3
11/02/2017	-3.5	79.3
12/02/2017	-6.2	83.4
13/02/2017	-5.1	84.3
14/02/2017	-5.9	87.6
15/02/2017	-2.4	95.9
16/02/2017	-0.8	96.8
17/02/2017	-1.5	96.9
18/02/2017	-1.2	96.3
19/02/2017	3.9	87.4
20/02/2017	4.6	84.7
21/02/2017	3.3	72.7
22/02/2017	2.4	86.5
23/02/2017	-0.8	70
24/02/2017	-2.2	62.1
25/02/2017	-1.5	80.8
26/02/2017	-0.2	96.8
27/02/2017	3.4	97.4
28/02/2017	4	91.3
01/03/2017	1.8	91
02/03/2017	0	94.1
03/03/2017	-0.1	94.8
04/03/2017	0.6	92.3
05/03/2017	-1	69.5
06/03/2017	-1.5	54.6
07/03/2017	-2.9	61.4
08/03/2017	-2.2	77.8
09/03/2017	1.4	95.3
10/03/2017	2.5	72.6
11/03/2017	0.5	90
12/03/2017	2.7	94.1
13/03/2017	2.9	92.3
14/03/2017	4.7	82.8
15/03/2017	6.7	54.3
16/03/2017	4.2	82.9
17/03/2017	5.2	61
18/03/2017	1.1	67.1
19/03/2017	-0.3	81.9
20/03/2017	2.4	92.3
21/03/2017	4.4	85.8
22/03/2017	4.2	63.8
23/03/2017	2.2	61.5
24/03/2017	3.3	72.9
25/03/2017	6.8	58.7
26/03/2017	6	80.5
27/03/2017	4.6	88.1
28/03/2017	5.6	74.7
29/03/2017	4.5	66.1
30/03/2017	3.8	88.7
31/03/2017	5	96.6
01/04/2017	5.3	96.1
02/04/2017	6.7	88.6
03/04/2017	4.8	94.8
04/04/2017	5.3	90.6
05/04/2017	7.3	58.9
06/04/2017	5.1	74.6
07/04/2017	11.6	55.4
08/04/2017	7.2	75.6
09/04/2017	6.3	82.7
10/04/2017	9.1	59
11/04/2017	6.9	48.5
12/04/2017	6.2	82.4
13/04/2017	3.8	86.5
14/04/2017	1.4	79.4
15/04/2017	-0.1	76.5
16/04/2017	1.7	71.9
17/04/2017	2.9	55.4
18/04/2017	2.3	60.1
19/04/2017	3.5	70.6
20/04/2017	7.4	75.7
21/04/2017	8.5	45.2
22/04/2017	7.6	37.4
23/04/2017	6.3	40.2
24/04/2017	3.2	85.8
25/04/2017	3.6	71.5
26/04/2017	5	52.7
27/04/2017	2.3	79.7
28/04/2017	3.4	89.4
29/04/2017	5.8	60.8
30/04/2017	5	74.4
01/05/2017	7.2	65.8
02/05/2017	10.3	50.3
03/05/2017	11.9	41.7
04/05/2017	10.7	47.2
05/05/2017	12.8	53.6
06/05/2017	15.9	47.7
07/05/2017	9.6	70.5
08/05/2017	6.6	40.8
09/05/2017	6	58.2
10/05/2017	2.8	92.8
11/05/2017	4.2	89.1
12/05/2017	7.2	80.1
13/05/2017	7.4	76.4
14/05/2017	9	93
15/05/2017	9.4	95.3
16/05/2017	9.2	92.5
17/05/2017	10.9	95.2
18/05/2017	13.3	90.4
19/05/2017	13.8	89.1
20/05/2017	16.5	77.6
21/05/2017	12.8	79
22/05/2017	12.1	66.4
23/05/2017	12.5	65.3
24/05/2017	13	73.9
25/05/2017	16.4	51.5
26/05/2017	16.3	63.6
27/05/2017	14.8	84.7
28/05/2017	15	87.8
29/05/2017	15.2	86
30/05/2017	12.4	93.1
31/05/2017	13.7	77.1
01/06/2017	11.7	59.5
02/06/2017	10.8	65.2
03/06/2017	11.5	91.6
04/06/2017	12.6	94.4
05/06/2017	14.3	76
06/06/2017	15.7	75.1
07/06/2017	13.3	80.2
08/06/2017	13	85.7
09/06/2017	12.9	93.4
10/06/2017	14.5	89.5
11/06/2017	13.5	92.1
12/06/2017	14.9	80.5
13/06/2017	17.9	57.9
14/06/2017	16.2	72.1
15/06/2017	15.5	77.6
16/06/2017	15.5	89.7
17/06/2017	17.5	68.9
18/06/2017	20.3	64.5
19/06/2017	17	64.5
20/06/2017	16.5	44.7
21/06/2017	15.2	53.7
22/06/2017	15.4	73.6
23/06/2017	13.8	89.9
24/06/2017	16.1	65.1
25/06/2017	14.2	63.9
26/06/2017	15.2	61.9
27/06/2017	14.4	47.6
28/06/2017	16.2	57.7
29/06/2017	18.1	45
30/06/2017	19.4	43.8
01/07/2017	19.7	48.6
02/07/2017	17.8	65.3
03/07/2017	16.8	54.2
04/07/2017	15.2	65.1
05/07/2017	15.3	61.7
06/07/2017	14.3	79
07/07/2017	15.6	77.9
08/07/2017	16.4	84.5
09/07/2017	15.7	77.7
10/07/2017	15.1	84
11/07/2017	15.3	89
12/07/2017	15.8	66.6
13/07/2017	15.1	61.2
14/07/2017	15.7	62.5
15/07/2017	15.9	80.7
16/07/2017	16.4	77.6
17/07/2017	16.2	52.4
18/07/2017	16.5	61.3
19/07/2017	16.8	70.7
20/07/2017	18.2	62.4
21/07/2017	16.6	70.4
22/07/2017	18.6	67.8
23/07/2017	20.6	59.9
24/07/2017	18.4	64
25/07/2017	19.5	61.5
26/07/2017	18.4	68.5
27/07/2017	16.7	82.6
28/07/2017	15.9	76.5
29/07/2017	15.1	84.9
30/07/2017	15.9	86.9
31/07/2017	16.6	77.3
01/08/2017	16.1	78.6
02/08/2017	15.5	80.4
03/08/2017	14.5	87.7
04/08/2017	16	85.4
05/08/2017	15.5	87.9
06/08/2017	16.2	74.2
07/08/2017	14.3	78.6
08/08/2017	16.2	76.7
09/08/2017	14.8	95.4
10/08/2017	17.1	83.6
11/08/2017	15.7	80.2
12/08/2017	16.2	85.4
13/08/2017	15.5	63.8
14/08/2017	13.2	72.9
15/08/2017	15.6	81.9
16/08/2017	17	82.1
17/08/2017	15.7	79.8
18/08/2017	16.4	89.3
19/08/2017	15.5	82.5
20/08/2017	14.1	83.6
