Date	Egg	N1	N2	N3	N4	N5	Adult
23/05/2017	27	0	0	0	0	0	0
24/05/2017	27	0	0	0	0	0	0
25/05/2017	27	0	0	0	0	0	0
26/05/2017	27	0	0	0	0	0	0
27/05/2017	27	0	0	0	0	0	0
28/05/2017	27	0	0	0	0	0	0
29/05/2017	27	0	0	0	0	0	0
30/05/2017	27	0	0	0	0	0	0
31/05/2017	27	0	0	0	0	0	0
01/06/2017	27	0	0	0	0	0	0
02/06/2017	27	0	0	0	0	0	0
03/06/2017	25.36666667	1.633333333	0	0	0	0	0
04/06/2017	25.23333333	1.766666667	0	0	0	0	0
05/06/2017	8	19	0	0	0	0	0
07/06/2017	6.166666667	17.46666667	0	0	0	0	0
09/06/2017	1.4	16.76666667	0.466666667	0	0	0	0
12/06/2017	0	0.166666667	15.23333333	0	0	0	0
14/06/2017	0	0	15.13333333	0	0	0	0
16/06/2017	0	0	14.63333333	0.033333333	0	0	0
19/06/2017	0	0	12.06666667	2.233333333	0	0	0
21/06/2017	0	0	7.7	6.133333333	0	0	0
23/06/2017	0	0	2.766666667	10.73333333	0	0	0
26/06/2017	0	0	1.066666667	12.16666667	0	0	0
28/06/2017	0	0	0.466666667	12.5	0.033333333	0	0
30/06/2017	0	0	0.24137931	11.83333333	0.6	0	0
03/07/2017	0	0	0	5.933333333	5.866666667	0	0
05/07/2017	0	0	0	2.066666667	9.166666667	0	0
07/07/2017	0	0	0	0.666666667	9.766666667	0.666666667	0
10/07/2017	0	0	0	0.1	4.666666667	6.266666667	0
12/07/2017	0	0	0	0	2.266666667	8.733333333	0
14/07/2017	0	0	0	0	1.166666667	9.733333333	0
17/07/2017	0	0	0	0	0.433333333	10.33333333	0.1
18/07/2017	0	0	0	0	0.413793103	10.03333333	0.333333333
19/07/2017	0	0	0	0	0.1	8.933333333	1.1
20/07/2017	0	0	0	0	0.066666667	7.7	1.266666667
21/07/2017	0	0	0	0	0.033333333	5.566666667	2.166666667
22/07/2017	0	0	0	0	0	4.133333333	1.4
23/07/2017	0	0	0	0	0	2.9	1.2
24/07/2017	0	0	0	0	0	2.655172414	0.233333333
25/07/2017	0	0	0	0	0	2.166666667	0.366666667
26/07/2017	0	0	0	0	0	1.666666667	0.5
27/07/2017	0	0	0	0	0	1.2	0.433333333
28/07/2017	0	0	0	0	0	1.033333333	0.166666667
29/07/2017	0	0	0	0	0	0.9	0.133333333
30/07/2017	0	0	0	0	0	0.566666667	0.333333333
31/07/2017	0	0	0	0	0	0.466666667	0.1
01/08/2017	0	0	0	0	0	0.3	0.166666667
02/08/2017	0	0	0	0	0	0.2	0.066666667
03/08/2017	0	0	0	0	0	0.2	0
04/08/2017	0	0	0	0	0	0.133333333	0.066666667
05/08/2017	0	0	0	0	0	0.066666667	0.066666667
06/08/2017	0	0	0	0	0	0.066666667	0
07/08/2017	0	0	0	0	0	0.066666667	0
08/08/2017	0	0	0	0	0	0.066666667	0
09/08/2017	0	0	0	0	0	0.066666667	0
10/08/2017	0	0	0	0	0	0.033333333	0.033333333
11/08/2017	0	0	0	0	0	0.033333333	0
12/08/2017	0	0	0	0	0	0.033333333	0
13/08/2017	0	0	0	0	0	0	0.033333333
