Date	Tmax	Tmin	Tavg	Rhmin	Rhmax
01/01/2015	-1.11	-11.67	-5.56	59	77
02/01/2015	-2.22	-13.89	-7.11	51	75
03/01/2015	0.00	-11.11	-5.39	67	85
04/01/2015	-11.67	-21.67	-18.17	53	70
05/01/2015	-17.22	-23.89	-20.56	59	83
06/01/2015	-13.33	-20.56	-17.39	56	87
07/01/2015	-18.33	-22.78	-20.50	51	71
08/01/2015	-8.89	-21.11	-13.33	57	84
09/01/2015	-15.00	-20.00	-17.17	57	69
10/01/2015	-7.22	-19.44	-14.44	59	83
11/01/2015	-10.56	-15.56	-12.17	53	83
12/01/2015	-15.00	-19.44	-17.33	52	79
13/01/2015	-9.44	-23.33	-15.83	56	82
14/01/2015	-4.44	-8.89	-7.00	65	81
15/01/2015	1.67	-6.11	-2.39	67	85
16/01/2015	-1.67	-2.78	-2.11	69	89
17/01/2015	3.33	-3.33	0.22	70	89
18/01/2015	3.33	-3.33	0.00	60	85
19/01/2015	2.22	-5.00	-0.61	73	92
20/01/2015	0.00	-2.22	-1.00	75	92
21/01/2015	-1.67	-3.33	-2.44	72	89
22/01/2015	-1.11	-7.78	-4.00	65	84
23/01/2015	3.89	-1.67	0.44	60	89
24/01/2015	5.00	-1.67	1.50	68	92
25/01/2015	1.11	-6.11	-2.94	51	92
26/01/2015	7.22	-5.56	0.17	60	85
27/01/2015	1.67	-1.11	0.17	70	82
28/01/2015	-0.56	-2.22	-1.28	82	96
29/01/2015	1.11	-9.44	-2.22	57	92
30/01/2015	-2.78	-11.11	-6.89	55	78
31/01/2015	-2.22	-7.22	-4.17	55	92
01/02/2015	-7.22	-15.00	-9.89	41	80
02/02/2015	-9.44	-17.22	-13.50	38	73
03/02/2015	-8.89	-14.44	-10.33	62	84
04/02/2015	-9.44	-17.22	-12.00	51	88
05/02/2015	-7.78	-21.11	-13.61	53	83
06/02/2015	-1.11	-10.56	-5.89	58	78
07/02/2015	1.67	-6.67	-2.22	67	84
08/02/2015	-0.56	-5.00	-2.22	66	78
09/02/2015	0.00	-6.67	-3.89	49	77
10/02/2015	-2.22	-5.56	-4.17	72	96
11/02/2015	-1.11	-16.67	-9.33	59	85
12/02/2015	-12.78	-19.44	-15.72	50	73
13/02/2015	-1.67	-13.89	-7.22	59	77
14/02/2015	-11.67	-19.44	-16.44	40	64
15/02/2015	-12.78	-17.22	-15.06	46	63
16/02/2015	-6.67	-12.78	-10.11	61	80
17/02/2015	-12.22	-18.89	-14.89	52	76
18/02/2015	-17.22	-22.78	-19.89	48	67
19/02/2015	-13.33	-23.33	-18.22	43	71
20/02/2015	-3.89	-14.44	-9.72	63	84
21/02/2015	-4.44	-16.67	-8.67	52	81
22/02/2015	-18.33	-22.78	-20.78	48	65
23/02/2015	-5.00	-23.89	-13.17	39	74
24/02/2015	0.00	-10.00	-3.28	29	82
25/02/2015	-8.89	-15.00	-11.78	45	70
26/02/2015	-12.22	-19.44	-15.50	43	65
27/02/2015	-9.44	-20.56	-14.61	48	79
28/02/2015	-6.67	-18.89	-12.89	48	79
01/03/2015	-2.22	-10.00	-6.56	44	81
02/03/2015	-3.89	-12.78	-7.28	40	84
03/03/2015	-1.67	-14.44	-5.67	53	92
04/03/2015	-11.11	-18.89	-15.28	45	69
05/03/2015	-9.44	-21.11	-15.11	48	75
06/03/2015	3.89	-13.89	-4.11	41	73
07/03/2015	6.11	-2.22	1.83	40	75
08/03/2015	8.33	-0.56	3.78	41	82
09/03/2015	13.89	0.00	7.33	37	82
10/03/2015	17.78	3.33	9.00	26	67
11/03/2015	13.33	-0.56	6.89	30	72
12/03/2015	16.11	3.33	10.00	51	73
13/03/2015	16.11	4.44	10.67	44	74
14/03/2015	16.11	1.11	8.50	31	85
15/03/2015	21.11	4.44	13.33	28	68
16/03/2015	16.67	2.22	9.89	34	77
17/03/2015	7.22	-2.78	2.39	20	49
18/03/2015	7.22	-1.11	3.61	24	76
19/03/2015	9.44	2.22	5.83	32	73
20/03/2015	12.78	0.56	6.33	42	89
21/03/2015	3.33	-2.78	0.39	19	64
22/03/2015	1.11	-1.67	-0.67	36	96
23/03/2015	0.00	-1.11	-0.78	75	92
24/03/2015	3.33	-3.89	-0.83	57	100
25/03/2015	3.33	-1.11	1.11	59	100
26/03/2015	2.22	-3.89	-0.78	35	75
27/03/2015	1.67	-7.78	-2.72	22	54
28/03/2015	4.44	-6.67	0.17	36	63
29/03/2015	11.11	1.67	5.89	37	89
30/03/2015	13.89	2.78	7.33	42	89
31/03/2015	18.33	1.11	10.56	23	96
01/04/2015	28.33	6.11	17.17	18	84
02/04/2015	18.33	1.67	11.67	15	67
03/04/2015	5.56	-2.22	1.61	22	69
04/04/2015	10.56	0.00	6.33	35	59
05/04/2015	11.11	2.22	6.72	29	73
06/04/2015	6.11	3.33	4.56	73	93
07/04/2015	5.56	2.78	4.28	49	93
08/04/2015	8.33	2.78	5.39	68	93
09/04/2015	5.00	0.56	3.06	82	100
10/04/2015	12.78	0.56	5.50	41	96
11/04/2015	19.44	3.89	12.11	33	76
12/04/2015	23.89	11.11	16.56	34	93
13/04/2015	17.22	7.78	12.56	16	86
14/04/2015	21.67	3.89	13.72	17	65
15/04/2015	20.56	7.22	14.89	16	51
16/04/2015	22.22	11.67	16.78	28	58
17/04/2015	23.33	10.56	17.22	20	80
18/04/2015	21.67	10.56	16.17	26	80
19/04/2015	15.56	7.22	10.89	64	93
20/04/2015	6.67	2.22	4.22	53	82
21/04/2015	4.44	1.67	2.56	53	85
22/04/2015	9.44	0.00	4.56	18	64
23/04/2015	11.67	-1.11	6.39	12	54
24/04/2015	10.56	5.56	7.44	28	89
25/04/2015	16.11	6.11	10.28	20	83
26/04/2015	17.22	2.22	10.33	21	59
27/04/2015	20.56	4.44	13.50	19	73
28/04/2015	17.78	7.78	13.67	41	74
29/04/2015	20.00	7.78	14.17	27	52
30/04/2015	19.44	8.33	14.06	24	52
01/05/2015	18.89	9.44	14.39	38	75
02/05/2015	26.67	11.11	19.72	26	77
03/05/2015	27.22	13.33	19.00	37	80
04/05/2015	21.67	10.56	16.56	18	64
05/05/2015	21.11	11.11	15.39	37	90
06/05/2015	24.44	12.78	17.00	54	96
07/05/2015	24.44	16.67	19.44	62	90
08/05/2015	15.56	8.89	12.17	54	93
09/05/2015	20.00	7.22	13.56	42	77
10/05/2015	16.11	8.89	12.50	58	96
11/05/2015	12.78	6.67	9.39	77	96
12/05/2015	13.89	3.89	7.39	42	96
13/05/2015	19.44	6.67	13.22	37	74
14/05/2015	13.33	10.56	11.78	55	100
15/05/2015	19.44	11.67	14.44	57	100
16/05/2015	24.44	14.44	19.72	67	90
17/05/2015	22.78	8.89	19.06	62	90
18/05/2015	8.33	4.44	6.61	61	86
19/05/2015	13.89	2.78	7.39	36	79
20/05/2015	16.11	5.56	11.39	27	86
21/05/2015	22.78	7.22	15.72	19	66
22/05/2015	23.33	9.44	17.56	22	64
23/05/2015	22.78	11.11	17.83	32	66
24/05/2015	17.22	13.89	15.67	60	100
25/05/2015	22.22	13.89	16.94	59	100
26/05/2015	16.67	13.89	14.56	84	97
27/05/2015	28.89	12.78	21.22	32	100
28/05/2015	28.33	17.22	23.78	30	75
29/05/2015	21.67	12.22	17.33	76	97
30/05/2015	17.22	8.33	12.83	41	74
31/05/2015	17.22	6.67	12.28	39	64
01/06/2015	20.56	11.11	15.61	31	72
02/06/2015	23.89	12.22	19.00	45	65
03/06/2015	19.44	16.67	17.83	63	97
04/06/2015	23.33	16.67	19.11	64	97
05/06/2015	23.89	16.11	18.89	52	93
06/06/2015	25.56	15.56	20.83	49	93
07/06/2015	27.78	19.44	22.28	42	97
08/06/2015	26.67	16.67	22.39	41	87
09/06/2015	32.78	17.22	26.22	31	78
10/06/2015	25.56	17.22	22.00	36	65
11/06/2015	19.44	14.44	16.61	59	93
12/06/2015	25.56	11.67	19.89	36	90
13/06/2015	21.11	15.56	18.11	66	97
14/06/2015	29.44	16.67	23.78	40	97
15/06/2015	24.44	17.78	21.89	34	84
16/06/2015	21.67	13.33	17.33	42	81
17/06/2015	26.11	15.56	21.11	60	97
18/06/2015	25.56	16.67	21.00	46	90
19/06/2015	26.11	15.00	21.33	44	72
20/06/2015	27.22	17.22	21.83	53	97
21/06/2015	30.00	16.67	24.50	32	93
22/06/2015	27.78	17.78	22.00	46	97
23/06/2015	26.11	15.56	21.78	38	81
24/06/2015	25.00	17.22	22.06	48	81
25/06/2015	27.78	17.78	23.06	48	87
26/06/2015	27.22	17.78	21.78	42	84
27/06/2015	27.78	16.67	22.83	38	90
28/06/2015	26.11	17.78	20.83	50	93
29/06/2015	28.33	18.33	21.78	51	93
30/06/2015	24.44	17.22	20.44	48	93
01/07/2015	22.22	15.00	17.94	44	73
02/07/2015	24.44	13.89	20.28	41	90
03/07/2015	26.11	15.56	21.83	45	87
04/07/2015	29.44	18.89	24.28	46	81
05/07/2015	31.11	19.44	25.61	53	76
06/07/2015	23.33	15.00	20.89	57	100
07/07/2015	22.22	12.22	17.33	41	78
08/07/2015	22.22	14.44	19.00	46	87
09/07/2015	27.22	15.56	22.17	42	87
10/07/2015	29.44	18.33	24.61	49	84
11/07/2015	27.22	19.44	24.11	67	87
12/07/2015	31.67	18.89	24.72	65	97
13/07/2015	30.00	18.89	23.50	48	90
14/07/2015	28.33	19.44	24.11	53	84
15/07/2015	26.67	17.22	22.33	59	85
16/07/2015	21.67	18.89	20.11	76	100
17/07/2015	31.67	18.89	24.83	44	90
18/07/2015	30.56	20.00	23.61	46	93
19/07/2015	28.33	17.78	23.94	39	78
20/07/2015	26.11	17.78	22.94	42	81
21/07/2015	26.67	16.11	22.39	41	81
22/07/2015	27.78	18.89	23.83	43	76
23/07/2015	28.89	20.00	24.39	48	76
24/07/2015	30.56	20.00	24.67	57	93
25/07/2015	30.00	20.56	25.78	46	90
26/07/2015	30.56	22.22	26.00	50	79
27/07/2015	29.44	21.67	26.39	63	87
28/07/2015	28.89	21.11	23.89	52	97
29/07/2015	27.78	18.89	23.67	35	68
30/07/2015	28.89	17.22	24.33	36	75
31/07/2015	27.78	18.89	23.83	34	71
01/08/2015	29.44	19.44	25.44	36	76
02/08/2015	28.89	19.44	24.83	42	73
03/08/2015	26.11	15.56	21.56	32	78
04/08/2015	27.22	15.00	22.33	34	84
05/08/2015	27.78	16.67	22.44	37	84
06/08/2015	23.33	17.78	21.11	68	90
07/08/2015	28.33	20.56	22.89	53	93
08/08/2015	26.67	20.00	22.89	69	90
09/08/2015	26.67	20.56	22.89	56	97
10/08/2015	27.22	18.89	23.00	38	93
11/08/2015	27.78	17.22	22.72	39	84
12/08/2015	29.44	18.33	24.39	43	81
13/08/2015	28.89	21.67	25.06	61	84
14/08/2015	33.89	21.67	27.89	44	90
15/08/2015	31.67	23.33	27.56	36	82
16/08/2015	27.22	20.56	24.00	67	93
17/08/2015	22.78	17.22	19.44	53	84
18/08/2015	19.44	17.22	18.39	73	97
19/08/2015	18.33	12.78	15.67	73	93
20/08/2015	23.33	11.67	17.61	37	83
21/08/2015	26.67	15.00	21.33	50	78
22/08/2015	27.22	17.22	23.17	60	90
23/08/2015	20.00	13.89	16.94	47	81
24/08/2015	18.89	12.22	16.00	43	77
25/08/2015	23.33	12.22	17.72	38	78
26/08/2015	23.89	11.11	17.94	41	93
27/08/2015	24.44	15.00	19.83	55	81
28/08/2015	24.44	15.56	19.50	64	87
29/08/2015	23.33	13.89	17.33	64	97
30/08/2015	27.22	17.22	20.56	54	100
31/08/2015	29.44	17.22	23.44	57	100
01/09/2015	30.00	21.11	26.11	63	87
02/09/2015	25.56	20.56	22.89	74	93
03/09/2015	28.33	19.44	23.61	70	100
04/09/2015	31.67	21.67	25.33	57	93
05/09/2015	31.67	23.89	27.56	55	85
06/09/2015	28.33	21.67	25.61	67	90
07/09/2015	27.22	19.44	22.56	47	90
08/09/2015	25.56	16.11	20.89	36	93
09/09/2015	21.11	13.89	17.50	55	97
10/09/2015	21.67	12.22	16.94	42	97
11/09/2015	17.22	9.44	13.44	45	86
12/09/2015	20.00	8.89	14.72	38	89
13/09/2015	23.33	11.11	17.72	43	74
14/09/2015	28.33	14.44	21.78	49	84
15/09/2015	30.00	19.44	24.72	36	78
16/09/2015	28.33	18.89	23.83	57	84
17/09/2015	25.00	16.11	22.11	76	93
18/09/2015	16.11	11.67	13.94	78	93
19/09/2015	20.00	8.89	14.94	42	86
20/09/2015	21.67	10.56	16.11	43	86
21/09/2015	26.67	12.78	20.00	50	86
22/09/2015	22.22	17.78	19.89	68	97
23/09/2015	23.89	16.67	20.17	66	97
24/09/2015	19.44	17.78	18.61	81	100
25/09/2015	25.00	16.67	20.28	33	90
26/09/2015	25.56	14.44	19.11	40	93
27/09/2015	27.78	15.00	22.06	37	81
28/09/2015	24.44	16.11	20.28	41	81
29/09/2015	16.67	8.89	13.00	31	68
30/09/2015	16.67	7.22	11.56	32	80
01/10/2015	16.67	7.78	11.83	32	77
02/10/2015	16.11	5.00	10.83	43	76
03/10/2015	15.56	6.11	10.50	41	79
04/10/2015	14.44	5.56	10.06	53	86
05/10/2015	16.11	7.22	11.22	56	89
06/10/2015	20.56	11.11	15.44	51	80
07/10/2015	16.67	6.11	12.22	41	93
08/10/2015	18.33	11.11	13.61	60	96
09/10/2015	13.33	6.67	10.33	55	93
10/10/2015	23.33	6.11	16.11	40	86
11/10/2015	29.44	14.44	21.61	35	84
12/10/2015	18.33	7.78	11.33	42	86
13/10/2015	15.56	6.11	9.06	41	83
14/10/2015	20.00	3.89	12.44	25	93
15/10/2015	15.00	5.56	10.61	34	61
16/10/2015	8.33	0.56	4.00	39	75
17/10/2015	12.78	-0.56	6.00	31	79
18/10/2015	17.22	1.67	10.00	24	79
19/10/2015	23.89	10.56	17.11	37	83
20/10/2015	20.56	10.56	15.06	49	86
21/10/2015	17.22	7.22	13.06	50	83
22/10/2015	16.67	4.44	10.61	31	83
23/10/2015	12.22	8.89	10.50	49	100
24/10/2015	13.33	6.11	10.67	51	100
25/10/2015	13.33	4.44	8.94	55	93
26/10/2015	14.44	8.89	11.50	49	83
27/10/2015	12.78	7.78	10.33	57	96
28/10/2015	8.33	1.11	4.56	85	100
29/10/2015	8.89	2.22	6.50	77	92
30/10/2015	11.67	4.44	7.11	59	93
31/10/2015	10.56	7.22	8.56	59	93
01/11/2015	13.33	4.44	9.44	57	86
02/11/2015	20.00	7.78	13.50	44	93
03/11/2015	21.11	7.78	14.28	46	93
04/11/2015	17.22	11.11	14.78	75	93
05/11/2015	18.33	5.56	13.89	68	87
06/11/2015	7.78	4.44	6.11	61	76
07/11/2015	10.00	0.56	5.61	43	76
08/11/2015	15.00	6.11	9.89	36	56
09/11/2015	16.67	7.22	10.83	37	60
10/11/2015	16.11	3.89	9.44	34	73
11/11/2015	11.67	6.11	8.44	57	96
12/11/2015	7.22	2.78	4.72	60	93
13/11/2015	7.22	0.00	3.06	38	79
14/11/2015	13.89	0.00	6.94	49	74
15/11/2015	16.67	3.89	10.00	46	89
16/11/2015	12.22	8.33	9.94	69	96
17/11/2015	12.22	8.89	10.44	93	100
18/11/2015	14.44	2.78	9.00	71	100
19/11/2015	1.67	-1.11	0.11	38	85
20/11/2015	-1.11	-3.89	-2.33	41	66
21/11/2015	-2.78	-8.89	-5.89	49	84
22/11/2015	0.56	-8.33	-3.78	56	88
23/11/2015	7.22	-3.89	1.39	54	89
24/11/2015	7.22	-1.67	2.50	54	89
25/11/2015	10.00	0.56	6.00	56	86
26/11/2015	3.33	-4.44	-0.61	72	92
27/11/2015	-2.78	-7.78	-5.61	53	81
28/11/2015	-1.11	-10.00	-5.72	56	88
29/11/2015	0.56	-7.22	-2.39	56	81
30/11/2015	1.11	-2.22	-0.17	72	100
01/12/2015	1.11	-2.78	-0.17	75	100
02/12/2015	2.22	-2.22	0.00	79	92
03/12/2015	1.11	-5.56	-2.50	64	96
04/12/2015	7.78	-5.56	0.94	52	85
05/12/2015	6.67	3.89	5.11	65	89
06/12/2015	4.44	0.00	2.83	82	93
07/12/2015	7.22	-0.56	3.33	65	92
08/12/2015	5.56	-1.11	2.67	76	96
09/12/2015	8.33	-0.56	3.67	71	96
10/12/2015	7.78	3.33	6.28	63	86
11/12/2015	3.33	2.22	3.06	76	85
12/12/2015	5.00	1.67	3.56	76	96
13/12/2015	4.44	3.89	4.17	89	96
14/12/2015	3.89	0.00	1.72	75	96
