Date	Tavg	Rainfall
2006-01-01	25.51	0.15
2006-01-02	24.99	0.24
2006-01-03	25.09	0.18
2006-01-04	25.16	0.15
2006-01-05	24.84	0.16
2006-01-06	24.88	0.15
2006-01-07	24.77	0.25
2006-01-08	24.99	0.07
2006-01-09	24.86	0.13
2006-01-10	24.67	0.38
2006-01-11	24.11	1.36
2006-01-12	23.86	2.04
2006-01-13	23.87	1.9
2006-01-14	24.23	1.44
2006-01-15	24.68	0.25
2006-01-16	24.55	0.14
2006-01-17	24.97	0.28
2006-01-18	24.95	0.11
2006-01-19	25.03	0.14
2006-01-20	24.89	0.21
2006-01-21	25.33	0.3
2006-01-22	25.11	0.1
2006-01-23	24.86	0.17
2006-01-24	25.08	0.26
2006-01-25	24.88	0.09
2006-01-26	24.86	0.17
2006-01-27	24.82	0.16
2006-01-28	24.84	0.16
2006-01-29	24.87	0.02
2006-01-30	24.85	0.09
2006-01-31	24.74	0.09
2006-02-01	24.46	0.24
2006-02-02	24.36	0.15
2006-02-03	24.6	0.49
2006-02-04	24.79	0.22
2006-02-05	24.47	0.22
2006-02-06	24.5	0.18
2006-02-07	24.82	0.19
2006-02-08	24.59	0.31
2006-02-09	24.88	0.31
2006-02-10	24.28	0.1
2006-02-11	24.15	0.13
2006-02-12	24.29	0.07
2006-02-13	24.1	0.19
2006-02-14	24.29	0.17
2006-02-15	24.71	0.01
2006-02-16	24.52	0.11
2006-02-17	24.51	0.08
2006-02-18	24.72	0.15
2006-02-19	24.9	0.05
2006-02-20	24.93	0.09
2006-02-21	24.59	0.07
2006-02-22	24.53	0.09
2006-02-23	24.47	0.21
2006-02-24	24.19	0.25
2006-02-25	24.38	0.07
2006-02-26	24.72	0.11
2006-02-27	24.75	0.07
2006-02-28	24.74	0.07
2006-03-01	24.76	0.17
2006-03-02	24.87	0.26
2006-03-03	25.11	0.09
2006-03-04	25.31	0.29
2006-03-05	24.78	0.31
2006-03-06	25	0.44
2006-03-07	24.96	0.07
2006-03-08	24.88	0.13
2006-03-09	25.14	0.2
2006-03-10	24.88	0.24
2006-03-11	24.66	0.13
2006-03-12	24.79	0.34
2006-03-13	24.8	0.21
2006-03-14	24.3	0.15
2006-03-15	24.52	0.07
2006-03-16	24.87	0.1
2006-03-17	25.06	0.08
2006-03-18	25.01	0.16
2006-03-19	25.08	0.09
2006-03-20	25.47	0.14
2006-03-21	25.56	0.13
2006-03-22	25.73	0.28
2006-03-23	25.39	0.21
2006-03-24	25.06	0.14
2006-03-25	25.08	0.08
2006-03-26	24.93	0.21
2006-03-27	24.74	0.32
2006-03-28	24.79	0.27
2006-03-29	24.86	0.1
2006-03-30	24.66	0.12
2006-03-31	24.55	0.26
2006-04-01	24.44	0.32
2006-04-02	24.56	0.39
2006-04-03	24.84	0.39
2006-04-04	25.05	0.08
2006-04-05	25.05	0
2006-04-06	24.96	0
2006-04-07	25.05	0.07
2006-04-08	25.24	0.04
2006-04-09	25.01	0.03
2006-04-10	24.73	0.09
2006-04-11	25.47	0.02
2006-04-12	25.67	0
2006-04-13	24.89	0.03
2006-04-14	25.26	0.25
2006-04-15	24.98	0.24
2006-04-16	24.72	0.23
2006-04-17	24.95	0.27
2006-04-18	25.25	0.09
2006-04-19	25.12	0.1
2006-04-20	25.12	0.13
2006-04-21	25.22	0.2
2006-04-22	25.58	0.12
2006-04-23	25.36	0.23
2006-04-24	25.5	0.11
2006-04-25	25.28	0.19
2006-04-26	25.29	0.17
2006-04-27	25.58	0.22
2006-04-28	25.49	0.02
2006-04-29	25.66	0.12
2006-04-30	25.76	0.13
2006-05-01	25.26	0.13
2006-05-02	24.68	0.3
2006-05-03	24.64	0.25
2006-05-04	24.97	0.18
2006-05-05	25.81	0.2
2006-05-06	26.34	0.2
2006-05-07	25.91	0.08
2006-05-08	25.75	0.24
2006-05-09	25.63	0.29
2006-05-10	25.69	0.06
2006-05-11	25.73	0.2
2006-05-12	25.61	0.07
2006-05-13	25.98	0.15
2006-05-14	26.38	0.59
2006-05-15	26.37	0.13
2006-05-16	26	0.05
2006-05-17	25.84	0.06
2006-05-18	26.04	0.08
2006-05-19	26.24	0.44
2006-05-20	26.05	0.14
2006-05-21	26.16	0.15
2006-05-22	26.46	0.13
2006-05-23	26.49	0.12
2006-05-24	25.87	0.09
2006-05-25	25.7	0.07
2006-05-26	26.22	0.06
2006-05-27	26.14	0.1
2006-05-28	25.32	0.5
2006-05-29	25.62	0.36
2006-05-30	25.82	0.2
2006-05-31	25.92	0.11
2006-06-01	25.94	0.27
2006-06-02	26.3	0.13
2006-06-03	26.54	0.91
2006-06-04	26.51	0.5
2006-06-05	26.74	2.57
2006-06-06	26.36	1.1
2006-06-07	26.5	0.09
2006-06-08	26.28	0.68
2006-06-09	26.12	2.77
2006-06-10	26.13	1.5
2006-06-11	26.2	3.34
2006-06-12	26.52	0.88
2006-06-13	26.71	0.28
2006-06-14	25.84	0.95
2006-06-15	25.85	1.04
2006-06-16	25.96	0.54
2006-06-17	26.27	3.47
2006-06-18	25.89	2.17
2006-06-19	25.83	6.87
2006-06-20	26	1.51
2006-06-21	26.34	1.02
2006-06-22	25.78	5.68
2006-06-23	25.81	3.02
2006-06-24	25.97	0.66
2006-06-25	25.89	0.89
2006-06-26	26.06	0.11
2006-06-27	26.54	0.15
2006-06-28	26.32	0.15
2006-06-29	25.86	0.09
2006-06-30	25.8	0.09
2006-07-01	25.85	0.13
2006-07-02	26.29	0.19
2006-07-03	26.73	0.17
2006-07-04	26.58	0.23
2006-07-05	25.75	7.59
2006-07-06	25.45	7.79
2006-07-07	26.17	0.12
2006-07-08	26.35	0.15
2006-07-09	26.65	0.24
2006-07-10	26.74	0.65
2006-07-11	26.42	0.89
2006-07-12	26.37	2.8
2006-07-13	26.59	1.25
2006-07-14	26.25	5.02
2006-07-15	26.19	3.62
2006-07-16	25.9	1.92
2006-07-17	25.83	5.91
2006-07-18	25.78	1.15
2006-07-19	26.13	0.11
2006-07-20	26.51	0.31
2006-07-21	26.23	0.85
2006-07-22	25.97	2.38
2006-07-23	26.24	0.52
2006-07-24	26.22	0.69
2006-07-25	26.32	0.08
2006-07-26	26.68	0.33
2006-07-27	26.62	1.95
2006-07-28	26.37	0.94
2006-07-29	26.68	0.8
2006-07-30	26.35	5.93
2006-07-31	26.5	3.75
2006-08-01	26.77	1.37
2006-08-02	26.78	0.31
2006-08-03	26.45	5.49
2006-08-04	26.51	4.26
2006-08-05	26.32	0.5
2006-08-06	26.73	1.35
2006-08-07	26.72	2.03
2006-08-08	26.98	0.46
2006-08-09	27.03	0.3
2006-08-10	26.58	5.63
2006-08-11	26.39	11.5
2006-08-12	26.47	6.56
2006-08-13	26.64	2.9
2006-08-14	26.53	0.28
2006-08-15	26.13	1.04
2006-08-16	26.18	1.87
2006-08-17	26.34	0.88
2006-08-18	26.57	0.33
2006-08-19	26.61	0.99
2006-08-20	26.56	1.41
2006-08-21	26.66	3.34
2006-08-22	26.35	1.08
2006-08-23	26.68	1.86
2006-08-24	26.88	3.74
2006-08-25	26.55	5.15
2006-08-26	26.89	0.44
2006-08-27	26.28	1.7
2006-08-28	26.19	6.07
2006-08-29	26.22	6.68
2006-08-30	26.43	2.86
2006-08-31	26.38	2.27
2006-09-01	26.5	4.45
2006-09-02	26.39	6.94
2006-09-03	26.37	6.5
2006-09-04	26.46	3.39
2006-09-05	26.72	0.6
2006-09-06	26.43	4.4
2006-09-07	26.35	7.47
2006-09-08	26.23	3.12
2006-09-09	26.18	10.77
2006-09-10	25.56	24.81
2006-09-11	25.55	22.52
2006-09-12	26.41	3.28
2006-09-13	26.47	3.15
2006-09-14	26.27	0.15
2006-09-15	26.4	0.17
2006-09-16	26.29	0.17
2006-09-17	26.6	0.21
2006-09-18	26.16	0.2
2006-09-19	25.95	0.11
2006-09-20	26.45	2.37
2006-09-21	26.31	2.95
2006-09-22	26.29	5.13
2006-09-23	26.26	5.43
2006-09-24	25.34	22.86
2006-09-25	25.02	29.05
2006-09-26	25.12	14.62
2006-09-27	25.6	2.99
2006-09-28	25.67	1.58
2006-09-29	25.49	2.64
2006-09-30	25.6	7.67
2006-10-01	25.95	5.53
2006-10-02	25.79	2.55
2006-10-03	25.78	1.34
2006-10-04	25.64	1.68
2006-10-05	25.64	2.33
2006-10-06	25.77	0.93
2006-10-07	25.85	1.94
2006-10-08	26.11	1.17
2006-10-09	25.86	0.07
2006-10-10	25.69	1.09
2006-10-11	26.16	0.34
2006-10-12	26.06	1.78
2006-10-13	26.14	1.82
2006-10-14	26.13	2.9
2006-10-15	25.98	3.16
2006-10-16	25.88	3.28
2006-10-17	26.4	2.31
2006-10-18	25.89	5.02
2006-10-19	25.47	7.74
2006-10-20	25.79	4.44
2006-10-21	25.77	4.11
2006-10-22	25.9	6.95
2006-10-23	26.08	1.27
2006-10-24	25.85	0.45
2006-10-25	25.94	0.1
2006-10-26	25.76	0.13
2006-10-27	25.51	2.28
2006-10-28	25.3	0.1
2006-10-29	25.63	0.07
2006-10-30	25.69	0.06
2006-10-31	25.51	1.43
2006-11-01	25.42	4.21
2006-11-02	25.45	1.32
2006-11-03	25.62	1.07
2006-11-04	25.65	1.13
2006-11-05	25.47	2.51
2006-11-06	25.34	2.52
2006-11-07	25.36	0.49
2006-11-08	25.33	0.43
2006-11-09	25.28	2.45
2006-11-10	25.51	2.11
2006-11-11	25.6	1.44
2006-11-12	25.89	0.15
2006-11-13	26.23	0.13
2006-11-14	26.32	0.32
2006-11-15	26.1	0.85
2006-11-16	26.06	0.81
2006-11-17	25.93	1.47
2006-11-18	26	1.31
2006-11-19	25.62	0.21
2006-11-20	25.13	0.09
2006-11-21	24.88	0.19
2006-11-22	24.83	0.57
2006-11-23	24.76	0.43
2006-11-24	24.93	0.53
2006-11-25	24.79	0.34
2006-11-26	24.79	0.68
2006-11-27	25.06	0.46
2006-11-28	25.11	0.19
2006-11-29	25.22	0.16
2006-11-30	25.03	0.05
2006-12-01	25.05	0.07
2006-12-02	25.17	0.08
2006-12-03	25.15	0.1
2006-12-04	25.12	0.12
2006-12-05	24.9	0.34
2006-12-06	24.4	0.85
2006-12-07	24.67	1.07
2006-12-08	25.08	1.46
2006-12-09	25.31	0.29
2006-12-10	25.05	0.11
2006-12-11	24.78	0.05
2006-12-12	24.67	0.06
2006-12-13	25.02	0.55
2006-12-14	24.69	2.11
2006-12-15	24.37	2.3
2006-12-16	24.41	0.28
2006-12-17	24.39	0.31
2006-12-18	24.94	0.16
2006-12-19	25.01	0.12
2006-12-20	24.63	0.26
2006-12-21	24.42	0.35
2006-12-22	24.36	0.27
2006-12-23	24.42	0.03
2006-12-24	24.61	0.03
2006-12-25	24.62	0.05
2006-12-26	24.51	0.02
2006-12-27	24.27	0
2006-12-28	24.2	0.09
2006-12-29	24.52	0.09
2006-12-30	24.41	0.09
2006-12-31	24.27	0.26
2007-01-01	24.1	0.38
2007-01-02	24.41	0.08
2007-01-03	24.26	0.12
2007-01-04	24.26	0.2
2007-01-05	24.32	0.13
2007-01-06	24.18	0.08
