Latitude	Longitude	Year	Date	Tavg	Tmin	Tmax	RHavg	RHmin	RHmax	Rainfall	RainHourlyMin	RainHourlyMax
-23.6	-49	2001	01/01/2001	21.7	18.18	26.27	76.12	57.62	89.65	6.7	0	6.7
-23.6	-49	2001	01/02/2001	24.26	20.66	29.12	86.95	68.01	98.9	37.6	0.2	12.4
-23.6	-49	2001	01/03/2001	23.15	20.29	27.84	75.98	56.44	89.7	3.9	0	0.5
-23.6	-49	2001	01/04/2001	22.07	19.4	26.11	85.95	70.47	96.63	57	0	8.8
-23.6	-49	2001	01/05/2001	21.95	17.97	27.63	75.79	43.27	93.89	0	0	0
-23.6	-49	2001	01/06/2001	18.17	14.52	24.59	87.78	64.07	99.61	1.3	0	0.1
-23.6	-49	2001	01/07/2001	15.58	11.05	22.08	85.5	60.53	99.54	0.1	0	0.1
-23.6	-49	2001	01/08/2001	17.98	11.18	25.43	73.79	45.09	91.58	0.1	0	0.1
-23.6	-49	2001	01/09/2001	22.64	17.3	27.81	74.92	49.05	94.15	3.8	0.1	1.5
-23.6	-49	2001	01/10/2001	21.3	19.11	26.15	89.08	72.37	96.64	273.4	0.5	29.8
-23.6	-49	2001	01/11/2001	22.46	19.16	27.69	75.47	56.12	88.45	10.3	0	2
-23.6	-49	2001	01/12/2001	20.78	17.65	23.65	64.54	37.29	92.33	16.2	0	16.2
-23.6	-49	2001	02/01/2001	21.93	16.6	27.96	71.6	50.77	87.36	1.5	0	0.2
-23.6	-49	2001	02/02/2001	23.63	20.92	26.76	87.16	73.6	97.03	103.8	0	9.9
-23.6	-49	2001	02/03/2001	23.06	19.24	28.53	78.82	59.28	93.01	6.6	0	1.7
-23.6	-49	2001	02/04/2001	21.13	18.48	25.52	89.41	74.84	97.89	52.6	0	8.8
-23.6	-49	2001	02/05/2001	21.85	17.95	26.84	75.43	57.3	86.39	2.4	0	0.3
-23.6	-49	2001	02/06/2001	18.58	13.23	25.23	82.68	53.27	99.87	0.1	0	0.1
-23.6	-49	2001	02/07/2001	15.8	10.58	23.41	86.44	57.92	100	0	0	0
-23.6	-49	2001	02/08/2001	18.14	13	24.7	72.81	41.85	97.25	0	0	0
-23.6	-49	2001	02/09/2001	22.7	17.38	27.98	70.55	43.8	91.9	0.8	0	0.1
-23.6	-49	2001	02/10/2001	20.98	18.58	24.22	79.05	53.1	99.63	286	0.7	31.6
-23.6	-49	2001	02/11/2001	20.61	17.45	25.5	71.21	52.19	83.8	5.7	0	2
-23.6	-49	2001	02/12/2001	20.04	12.99	26.51	60.39	43.46	82.94	0	0	0
-23.6	-49	2001	03/01/2001	22.36	17.31	28.57	72.28	47.58	91.55	0.2	0	0.2
-23.6	-49	2001	03/02/2001	23.55	21.19	28.46	88.75	66.49	98.24	52.4	0	9.9
-23.6	-49	2001	03/03/2001	23.28	19.16	28.47	76.84	56.46	90.55	5.2	0	1.7
-23.6	-49	2001	03/04/2001	21.99	17.69	27.14	80.95	53.82	99.87	6.4	0	4.6
-23.6	-49	2001	03/05/2001	22.62	17.9	27.69	78.04	56.02	93.88	2.1	0	0.3
-23.6	-49	2001	03/06/2001	19.62	15.43	24.88	80.29	58.96	97.06	0	0	0
-23.6	-49	2001	03/07/2001	17.46	11.15	24.7	78.99	51.5	97.12	0	0	0
-23.6	-49	2001	03/08/2001	17.98	13.37	24.37	75.34	49.66	93.11	0	0	0
-23.6	-49	2001	03/09/2001	22.8	17.71	28.23	72.29	45.36	95.86	0.1	0	0.1
-23.6	-49	2001	03/10/2001	18.84	14.78	23.17	70.66	49.83	92.7	13.5	0	13.5
-23.6	-49	2001	03/11/2001	17.95	15.28	21.78	73.63	59.38	83.65	21.7	0	1.7
-23.6	-49	2001	03/12/2001	21.24	15.3	27.65	66.36	45.07	85.69	0	0	0
