Date	I	Tavg	Tmax	Tmin
01/01/2019	193.5625	23.49236111	30.1	18.6
02/01/2019	194.2256944	22.153125	28.7	17
03/01/2019	187.9027778	21.54583333	28.8	15.2
04/01/2019	194.8541667	22.4875	29.8	16.2
05/01/2019	203.9861111	22.40208333	29.6	15.4
06/01/2019	182.6145833	21.50555556	28.1	15.4
07/01/2019	176.8541667	20.67291667	26.5	15.7
08/01/2019	190.4340278	20.55902778	27.7	13.7
09/01/2019	202.9652778	22.43229167	30.4	15.9
10/01/2019	185.5208333	24.01041667	32	16
11/01/2019	191.3680556	25.7375	34.7	17
12/01/2019	202.5173611	25.53333333	34.2	16.2
13/01/2019	200.8298611	24.47326389	32.5	17.4
14/01/2019	205.7152778	22.78472222	30.7	16.5
15/01/2019	212.84375	22.51388889	30.2	16
16/01/2019	211.5520833	23.03263889	32	14.7
17/01/2019	209.7743056	24.23680556	33.5	15.8
18/01/2019	206.0902778	26.18854167	36.4	15.5
19/01/2019	137.4166667	25.67604167	34.2	16.6
20/01/2019	185.2013889	25.86597222	33.7	19.6
21/01/2019	197.0104167	24.175	33.3	15.9
22/01/2019	204.4027778	25.54861111	35.1	16
23/01/2019	201.6701389	26.24270833	34	18.1
24/01/2019	205.1493056	23.57951389	33.3	14.2
25/01/2019	195.6145833	24.54652778	34	14.8
26/01/2019	223.9375	24.7875	34.4	13.2
27/01/2019	225.4583333	24.29166667	32.8	15.6
28/01/2019	205.25	24.67013889	32.2	17.9
29/01/2019	220.6271777	24.84599303	33.6	16.2
30/01/2019	202.59375	25.31909722	33.4	17.3
31/01/2019	210.2326389	25.34027778	33.7	17.2
01/02/2019	200.5659722	25.30590278	33.5	17.7
02/02/2019	197.4444444	25.73715278	34.3	18.1
03/02/2019	204.6493056	25.33298611	35.5	15.9
04/02/2019	205.7152778	25.90034722	36.7	15.6
05/02/2019	208.0763889	26.36354167	33.6	16.7
06/02/2019	205.7465278	23.67361111	30.1	18.2
07/02/2019	231.8680556	22.04895833	29.9	15.4
08/02/2019	229.28125	22.64513889	30.3	15.8
09/02/2019	229.7361111	23.29930556	30.8	17
10/02/2019	223.3368056	23.12083333	30.6	16.1
11/02/2019	201.7326389	23.04791667	30.3	15.7
12/02/2019	209.7465278	23.64583333	30.7	17.1
13/02/2019	234.0104167	24.36180556	32.7	15.6
14/02/2019	218.3159722	23.25104167	29.3	19.3
15/02/2019	216.375	21.89479167	28.7	16.6
16/02/2019	228.1458333	22.57743056	30.3	16.4
17/02/2019	206.6458333	24.39513889	31.8	17.8
18/02/2019	228.40625	25.30381944	33.3	17.7
19/02/2019	188.625	24.76423611	32.5	17.9
20/02/2019	210.2256944	27.47847222	35.9	18.6
21/02/2019	203.9895833	28.603125	37.3	20.1
22/02/2019	196.6423611	28.83194444	38.3	19.9
23/02/2019	233.7673611	28.45833333	36.6	19.8
24/02/2019	234.4270833	26.396875	35.7	19.3
25/02/2019	229.3090278	26.63888889	35.8	18.5
26/02/2019	203.9097222	28.00972222	35.8	21.1
27/02/2019	215.3298611	28.46006944	36	21.9
28/02/2019	227.3541667	29.72708333	37.3	20
01/03/2019	174.6215278	27.32013889	33.3	22.8
02/03/2019	239.8715278	27.21736111	34.8	20
03/03/2019	231.0972222	27.42534722	35.8	18.5
04/03/2019	235.2638889	29.27013889	36.9	22.9
05/03/2019	234.0486111	29.99027778	38.1	22.9
06/03/2019	230	30.25798611	37.7	23.1
07/03/2019	202.3958333	30.21493056	37.4	24.7
08/03/2019	210.9618056	31.56493056	38.6	25.4
09/03/2019	186.3576389	32.11979167	38	25.7
10/03/2019	223.34375	32.69444444	39.2	26.2
11/03/2019	235.0277778	32.35902778	39.8	24.8
12/03/2019	229.4513889	31.48888889	39.1	23.8
13/03/2019	235.3472222	31.80694444	39.8	22.5
14/03/2019	229.7881944	31.59409722	39.1	24.2
15/03/2019	237.9756944	31.50798611	38.5	24.5
16/03/2019	240.8506944	31.95104167	39.4	23.5
17/03/2019	157.6701389	31.09027778	36.8	27.1
18/03/2019	227.1840278	32.76805556	40.2	25.6
19/03/2019	225.3298611	32.99479167	41.4	24.6
20/03/2019	220.9131944	33.06354167	42.3	23.8
21/03/2019	219.2777778	33.85104167	41.1	24.7
22/03/2019	238.9965278	33.05659722	40.4	23.1
23/03/2019	243.3402778	32.66701389	41.1	24.5
24/03/2019	221.1527778	32.92013889	40.5	26.5
25/03/2019	232.5833333	32.18645833	39	25
26/03/2019	210.9965278	31.05972222	37.9	25.4
27/03/2019	246.0972222	31.96493056	40	24.3
28/03/2019	257.5798611	32.86284722	40.5	24.2
29/03/2019	256.1597222	33.5375	42	25.4
30/03/2019	261.1666667	33.63715278	41.7	24.6
31/03/2019	204.1041667	33.28923611	40.3	26.5
01/04/2019	234.9548611	33.39409722	41.3	25.9
02/04/2019	253.8819444	34.57118056	42.6	26.7
03/04/2019	259.0555556	34.45590278	43.5	23.8
04/04/2019	260.2291667	34.45659722	44.1	23.9
05/04/2019	225.4131944	33.47951389	42	24.1
06/04/2019	242.0034722	34.46944444	43.2	25.9
07/04/2019	233.4375	35.45416667	42.2	28.8
08/04/2019	239.625	34.64791667	42.3	25.4
09/04/2019	248.1840278	33.65	42.4	24.4
10/04/2019	264.5104167	33.55138889	42.9	23.4
11/04/2019	258.3854167	33.07152778	42.5	23.5
12/04/2019	251.9548611	33.34097222	42.8	23.2
13/04/2019	238.2013889	33.80277778	41.6	25.2
14/04/2019	226.1423611	32.07361111	40.8	25.4
15/04/2019	236.5833333	33.27256944	40.5	23.8
16/04/2019	209.1041667	33.996875	39.7	29.4
17/04/2019	242.1979167	33.87534722	40.7	28.5
18/04/2019	256.6180556	33.61805556	40.9	26.1
19/04/2019	246.3611111	34.07534722	41.6	25.7
20/04/2019	243.1006944	33.91215278	41.6	24.5
21/04/2019	237.8090278	33.49791667	42	24.3
22/04/2019	228.34375	33.83645833	42.8	24.7
23/04/2019	175.7465278	32.94236111	37.9	29.2
24/04/2019	185.8854167	33.12361111	39.9	27.3
25/04/2019	227.75	34.04375	41.3	26.3
26/04/2019	239.25	34.81597222	42.9	27.7
27/04/2019	239.6041667	33.89861111	42.3	25.3
28/04/2019	241.7881944	34.37465278	42.1	25.8
29/04/2019	239.2881944	35.73854167	42.5	28.7
30/04/2019	226.25	35.55868056	40.7	30.9
01/05/2019	215.0138889	34.98159722	41.5	29.9
02/05/2019	216.4722222	34.07534722	40.8	28.2
03/05/2019	217.6979167	34.61423611	39.6	30.8
04/05/2019	189.5798611	33.66736111	39.6	28.9
05/05/2019	244.7673611	34.52881944	42.6	26.9
06/05/2019	246.9652778	36.12013889	43.9	28.2
07/05/2019	231.9722222	35.26111111	42.6	29.8
08/05/2019	177.4861111	34.38854167	39.4	30.2
09/05/2019	217.9375	34.753125	39.5	30.9
10/05/2019	205.3784722	32.7965035	42.4	28
11/05/2019	212.0729167	32.70416667	40.7	25.9
12/05/2019	234.1041667	34.00034722	39.9	28.4
13/05/2019	237.2673611	31.87212544	39.6	25.7
14/05/2019	206.4409722	33.81041667	39.9	28.7
15/05/2019	218.4826389	32.74965278	37.9	27.9
16/05/2019	222.6354167	33.65972222	39.3	28.4
17/05/2019	164.4722222	31.84305556	35.4	27.5
18/05/2019	237.5416667	34.77003484	41.6	28.9
19/05/2019	198.7708333	34.08854167	39.6	30.8
20/05/2019	219.9479167	31.50034965	40	21.6
21/05/2019	153.0243056	27.53680556	33.6	22.2
22/05/2019	212.5451389	30.57534722	36.3	25.8
23/05/2019	203.9375	32.44618056	38.2	27.2
24/05/2019	221.53125	33.44791667	38	29.6
25/05/2019	163.7118056	30.50729167	36.8	25.6
26/05/2019	244.6701389	32.59652778	39.3	26.2
27/05/2019	222.25	32.86736111	37.5	29.1
28/05/2019	227.5763889	30.92638889	38.1	22.6
29/05/2019	205.2743056	29.31354167	34.7	25
30/05/2019	232.4236111	30.79131944	36	26.1
31/05/2019	225.1805556	30.65958188	36.7	23
01/06/2019	188.5902778	27.74861111	31.8	23.5
02/06/2019	228.3229167	30.15034722	35.1	25.5
03/06/2019	239.5729167	31.365625	36.7	26.7
04/06/2019	243.28125	32.56111111	37.8	27
05/06/2019	200.3020833	31.71637631	36.6	27
06/06/2019	219.5243056	29.44265734	36.4	22.1
07/06/2019	240.9895833	29.11111111	34.5	24.2
08/06/2019	214.09375	28.31215278	34.4	22.7
09/06/2019	235.1180556	31.14097222	36.6	25.3
10/06/2019	232.9479167	30.57560976	36.7	21.1
11/06/2019	239.3125	28.01041667	33.1	22.5
12/06/2019	230.5763889	29.54756944	35.8	25.8
13/06/2019	220.3923611	30.425	35.6	26.4
14/06/2019	243.9513889	30.88263889	36.7	25.2
15/06/2019	248.2048611	30.77673611	37.2	25.2
16/06/2019	242.4375	31.3543554	38.5	25.5
17/06/2019	255.4236111	30.73958333	37.7	24.3
18/06/2019	250.0729167	32.24236111	38.5	24.7
19/06/2019	244.0868056	31.10381944	37.4	23.8
20/06/2019	249.1944444	32.74583333	38.8	27.1
21/06/2019	224.7638889	32.17291667	36.3	28.4
22/06/2019	196.3368056	27.615625	33.9	21.3
23/06/2019	241.7951389	30.07569444	35.7	25
24/06/2019	208.2118056	31.57777778	36.6	27.7
25/06/2019	238.9826389	30.70659722	36.4	25.3
26/06/2019	130.8472222	25.36666667	29	20.5
27/06/2019	236.1076389	27.52986111	32.4	23.7
28/06/2019	192.3159722	28.38541667	31.7	25.2
29/06/2019	253.3784722	29.38020833	33.9	25.2
30/06/2019	239.9652778	30.84513889	36.2	25.6
01/07/2019	192.4513889	31.63715278	37	27.5
02/07/2019	229.28125	29.98055556	35.3	25.8
03/07/2019	224.1701389	31.08888889	36.4	26.5
04/07/2019	210.09375	27.71840278	32.7	21
05/07/2019	161.8541667	25.38292683	29.6	20.5
06/07/2019	232.1493056	26.978125	31.4	22.7
07/07/2019	232.8715278	30.034375	35.4	25.5
08/07/2019	51.11458333	24.73623693	29.1	20.4
09/07/2019	148.3159722	25.32847222	29.3	21.9
10/07/2019	235.75	27.58020833	32.3	23
11/07/2019	184.65625	27.67222222	31	25
12/07/2019	230.5590278	26.93854167	31.4	22.7
13/07/2019	229.3506944	28.47222222	33.5	24.2
14/07/2019	229.3090278	29.63993056	34.5	25.1
15/07/2019	219.8645833	28.23645833	34.4	22.4
16/07/2019	242.0729167	29.20104167	34.5	23.7
17/07/2019	220.3993056	28.4097561	36.3	23.5
18/07/2019	226.75	27.75347222	32.3	23.8
19/07/2019	131.4513889	25.76736111	31.1	21.9
20/07/2019	161.1944444	26.196875	31	22.8
21/07/2019	217.3784722	27.5	32.7	21.1
22/07/2019	120.7569444	25.22534722	29.1	22
23/07/2019	226.3055556	27.79409722	32.9	23
24/07/2019	237.7395833	29.021875	34.3	24.2
25/07/2019	141.9895833	27.16388889	30.8	22.3
26/07/2019	226.8715278	28.27743056	34	24
27/07/2019	229.2118056	29.63472222	35.1	24.5
28/07/2019	152.78125	26.05555556	30.3	20.2
29/07/2019	218.3819444	26.61770833	32.5	21.8
30/07/2019	190.71875	26.25590278	31.3	22.1
31/07/2019	184.8680556	27.64826389	32.5	24.4
01/08/2019	97.20833333	24.93159722	29.1	19.9
02/08/2019	149.5243056	25.87777778	28.8	23.6
03/08/2019	207.3263889	26.796875	31.6	23.5
04/08/2019	240.3472222	28.65902778	33.7	24.1
05/08/2019	105.2638889	24.67142857	28.3	20.4
06/08/2019	199.4618056	26.74236111	30.8	23.3
07/08/2019	215.1284722	27.31527778	32.4	24.1
08/08/2019	169.0069444	26.94236111	30.7	23.7
09/08/2019	92.62152778	24.28958333	29.3	21.3
10/08/2019	217.1180556	26.41805556	31.2	22.4
11/08/2019	216.6180556	27.45902778	31.8	24
12/08/2019	218.4340278	28.22986111	33.2	24.3
13/08/2019	166.9131944	26.88958333	32.9	23.6
14/08/2019	242.6909722	27.66493056	32.6	23.4
15/08/2019	200.3402778	27.42291667	32.1	23.9
16/08/2019	142.4826389	25.246875	29.2	22.7
17/08/2019	237.84375	27.25296167	32.6	23.1
18/08/2019	214.625	27.36783217	33.6	23.3
19/08/2019	86.78819444	24.39236111	26.4	21.3
20/08/2019	171.1979167	25.53576389	29.9	22.9
21/08/2019	60.21875	22.84756944	24.6	20.6
22/08/2019	155.5173611	23.93020833	28.4	21.4
23/08/2019	130.2569444	25.28888889	29.6	22.7
24/08/2019	171.0590278	26.25833333	30.8	23.6
25/08/2019	162.9131944	25.73645833	30.3	22.8
26/08/2019	175.8993056	26.19270833	31.5	23.2
