LATITUDE	LONGITUDE	Date	Tavg	tmax	tmin	Rainfall
16.967	7.967	01/01/2017	20.55	25.4	11.5	121
16.967	7.967	02/01/2017	20.4	25.3	10	121
16.967	7.967	03/01/2017	21.2	26.4	12	121
16.967	7.967	04/01/2017	20.6	26	11.9	121
16.967	7.967	05/01/2017	20.7	26.9	11	121
16.967	7.967	06/01/2017	22.1	28.1	11.5	121
16.967	7.967	07/01/2017	24.7	28	12	121
16.967	7.967	08/01/2017	22.9	27.9	15	121
16.967	7.967	09/01/2017	20.3	27.2	9.6	121
16.967	7.967	10/01/2017	20.5	26.5	10	121
16.967	7.967	11/01/2017	21.2	27.2	10.4	121
16.967	7.967	12/01/2017	22.7	29.5	11	121
16.967	7.967	13/01/2017	21.1	29.3	9.4	121
16.967	7.967	14/01/2017	20.8	27.3	7.8	121
16.967	7.967	15/01/2017	22.4	27.8	10.5	121
16.967	7.967	16/01/2017	23.2	29.9	12.1	121
16.967	7.967	17/01/2017	26.2	31	16.4	121
16.967	7.967	18/01/2017	26.3	32.25	16.5	121
16.967	7.967	19/01/2017	27.4	32.25	19	121
16.967	7.967	20/01/2017	27.8	33.5	18.4	121
16.967	7.967	21/01/2017	29.1	34	19	121
16.967	7.967	22/01/2017	29.2	35.1	19.5	121
16.967	7.967	23/01/2017	27	33.05	20	121
16.967	7.967	24/01/2017	25.2	31	17.7	121
16.967	7.967	25/01/2017	25.2	31.1	15.4	121
16.967	7.967	26/01/2017	24.4	31.3	15	121
16.967	7.967	27/01/2017	25.1	31.5	15.6	121
16.967	7.967	28/01/2017	24.3	31	13.5	121
16.967	7.967	29/01/2017	23.6	29.5	11.4	121
16.967	7.967	30/01/2017	23.1	29.5	11.6	121
16.967	7.967	31/01/2017	23.5	28.5	11.8	121
16.967	7.967	01/02/2017	23.7	27.5	16	121
16.967	7.967	02/02/2017	23.5	28	18.5	121
16.967	7.967	03/02/2017	24.1	28.5	18.5	121
16.967	7.967	04/02/2017	25.7	31.3	15.5	121
16.967	7.967	05/02/2017	26	30.6	19.4	121
16.967	7.967	06/02/2017	25.9	31	17.5	121
16.967	7.967	07/02/2017	25.9	31	15.4	121
16.967	7.967	08/02/2017	25.1	30.4	17	121
16.967	7.967	09/02/2017	24.6	30.5	16.45	121
16.967	7.967	10/02/2017	25.3	30.6	15.9	121
16.967	7.967	11/02/2017	26.2	30.5	17.65	121
16.967	7.967	12/02/2017	26	30.5	17.65	121
16.967	7.967	13/02/2017	24.9	28.5	19.4	121
16.967	7.967	14/02/2017	24.6	29.8	18	121
16.967	7.967	15/02/2017	23.8	29.5	13	121
16.967	7.967	16/02/2017	24.7	30	13.9	121
16.967	7.967	17/02/2017	21.9	27.5	12.15	121
16.967	7.967	18/02/2017	22	28.6	10.4	121
16.967	7.967	19/02/2017	22.6	29.5	10.3	121
16.967	7.967	20/02/2017	25.2	30.1	10.9	121
16.967	7.967	21/02/2017	25.4	31	10.9	121
16.967	7.967	22/02/2017	26.1	32.3	13.9	121
16.967	7.967	23/02/2017	26.8	32.1	15.9	121
16.967	7.967	24/02/2017	25.9	31.5	17.6	121
16.967	7.967	25/02/2017	26.7	32.5	16.8	121
16.967	7.967	26/02/2017	27.7	33.5	16	121
16.967	7.967	27/02/2017	29.4	36.4	16	121
16.967	7.967	28/02/2017	31	36.9	19.1	121
16.967	7.967	01/03/2017	30.5	36.2	18.7	121
16.967	7.967	02/03/2017	28.9	35.5	19.5	121
16.967	7.967	03/03/2017	30.2	36.4	19.7	121
16.967	7.967	04/03/2017	30.5	36.3	21.5	121
16.967	7.967	05/03/2017	30.5	35.4	21.8	121
16.967	7.967	06/03/2017	31.3	36	22.5	121
16.967	7.967	07/03/2017	30.1	35.3	18.9	121
16.967	7.967	08/03/2017	31.1	35.2	19	121
16.967	7.967	09/03/2017	29.7	34	18.3	121
16.967	7.967	10/03/2017	26.9	32.2	17.8	121
16.967	7.967	11/03/2017	26.5	32	13.6	121
16.967	7.967	12/03/2017	26.6	32.4	14	121
16.967	7.967	13/03/2017	27.8	33.1	14.6	121
16.967	7.967	14/03/2017	28.4	35.6	15.5	121
16.967	7.967	15/03/2017	29.9	37.5	15.6	121
16.967	7.967	16/03/2017	28.3	36.4	15.6	121
16.967	7.967	17/03/2017	30.8	36.3	19.5	121
16.967	7.967	18/03/2017	30.8	36.2	22.4	121
16.967	7.967	19/03/2017	30.3	35.3	21.7	121
16.967	7.967	20/03/2017	30.1	36	21	121
16.967	7.967	21/03/2017	32.2	39	20.4	121
16.967	7.967	22/03/2017	33	41.5	25.5	121
16.967	7.967	23/03/2017	30.1	36.9	24.15	121
16.967	7.967	24/03/2017	33.1	39.5	22.8	121
16.967	7.967	25/03/2017	32.9	38.5	22.9	121
16.967	7.967	26/03/2017	32.4	38.4	23	121
16.967	7.967	27/03/2017	32.3	38	19.5	121
16.967	7.967	28/03/2017	31.2	39.1	19	121
16.967	7.967	29/03/2017	32.8	38.4	21.5	121
16.967	7.967	30/03/2017	34.5	39.5	24	121
16.967	7.967	31/03/2017	31.8	38	22	121
16.967	7.967	01/04/2017	31.5	36	24.8	121
16.967	7.967	02/04/2017	31.4	35.3	23.6	121
16.967	7.967	03/04/2017	32.4	39	20.3	121
16.967	7.967	04/04/2017	33.9	38	20.6	121
16.967	7.967	05/04/2017	32.3	37	24.9	121
16.967	7.967	06/04/2017	34.5	40.2	23	121
16.967	7.967	07/04/2017	35.1	39.5	25.5	121
16.967	7.967	08/04/2017	35.9	39.2	30.5	121
16.967	7.967	09/04/2017	36.7	41	29.9	121
16.967	7.967	10/04/2017	37.2	42	27.9	121
16.967	7.967	11/04/2017	35.5	41	27.9	121
