LATITUDE	LONGITUDE	Date	Tavg	Tmax	Tmin	Rainfall
18.683	12.917	01/01/2017	16.8	21.7	11.3	14
18.683	12.917	02/01/2017	16.6	22.2	10.6	14
18.683	12.917	03/01/2017	17.9	23.2	11	14
18.683	12.917	04/01/2017	15.4	23.5	8.8	14
18.683	12.917	05/01/2017	15.1	25.5	3.5	14
18.683	12.917	06/01/2017	15.4	24.7	4.4	14
18.683	12.917	07/01/2017	19.2	25	10.2	14
18.683	12.917	08/01/2017	16.7	23	10	14
18.683	12.917	09/01/2017	11.6	21.6	0.8	14
18.683	12.917	10/01/2017	11.9	28	0.55	14
18.683	12.917	11/01/2017	15	28	0.3	14
18.683	12.917	12/01/2017	16.7	28	4	14
18.683	12.917	13/01/2017	16.4	25.5	8	14
18.683	12.917	14/01/2017	17.3	24.7	6.6	14
18.683	12.917	15/01/2017	14.1	25.5	2.5	14
18.683	12.917	16/01/2017	14.9	27	2.6	14
18.683	12.917	17/01/2017	17.7	28.2	4.6	14
18.683	12.917	18/01/2017	21.9	28.7	15.2	14
18.683	12.917	19/01/2017	23.2	32	13.7	14
18.683	12.917	20/01/2017	25.9	34.5	19.2	14
18.683	12.917	21/01/2017	25.6	34.8	14.5	14
18.683	12.917	22/01/2017	22.1	34.2	12	14
18.683	12.917	23/01/2017	22.3	32.7	11.3	14
18.683	12.917	24/01/2017	21.7	28.7	14.7	14
18.683	12.917	25/01/2017	21.6	27.3	15	14
18.683	12.917	26/01/2017	21.1	26.8	12.5	14
18.683	12.917	27/01/2017	17.8	27	10	14
18.683	12.917	28/01/2017	14.4	26.7	5.6	14
18.683	12.917	29/01/2017	15.2	26.5	1.2	14
18.683	12.917	30/01/2017	20.9	27.5	11.7	14
18.683	12.917	31/01/2017	18.4	26.6	8	14
18.683	12.917	01/02/2017	19.2	28	4.3	14
18.683	12.917	02/02/2017	20.6	27.7	13.2	14
18.683	12.917	03/02/2017	21.3	28	13	14
18.683	12.917	04/02/2017	21.4	29.6	7.7	14
18.683	12.917	05/02/2017	21.1	28.7	11.1	14
18.683	12.917	06/02/2017	19.3	29.2	11.1	14
18.683	12.917	07/02/2017	22.8	28.2	14.5	14
18.683	12.917	08/02/2017	20.7	27.5	12.75	14
18.683	12.917	09/02/2017	19.2	25	11	14
18.683	12.917	10/02/2017	21.9	28.7	9.4	14
18.683	12.917	11/02/2017	21.4	27	14.3	14
18.683	12.917	12/02/2017	20.2	27.2	13	14
18.683	12.917	13/02/2017	19.4	26.95	15.4	14
18.683	12.917	14/02/2017	17.8	26.7	9.35	14
18.683	12.917	15/02/2017	16.6	28.2	3.3	14
18.683	12.917	16/02/2017	19.6	28	7.6	14
18.683	12.917	17/02/2017	15.7	24	9.8	14
18.683	12.917	18/02/2017	17.8	26	6.1	14
18.683	12.917	19/02/2017	15.7	27.8	2.4	14
18.683	12.917	20/02/2017	17.9	29.6	3.7	14
18.683	12.917	21/02/2017	19.1	31	7.2	14
18.683	12.917	22/02/2017	23.3	32	12.2	14
18.683	12.917	23/02/2017	23.4	32	15.6	14
18.683	12.917	24/02/2017	24.1	31.2	13	14
18.683	12.917	25/02/2017	23.3	32.3	13.6	14
18.683	12.917	26/02/2017	21.7	32.7	8.5	14
18.683	12.917	27/02/2017	22.1	37.4	8.3	14
18.683	12.917	28/02/2017	28.2	35	16.2	14
18.683	12.917	01/03/2017	26.2	33	16.3	14
18.683	12.917	02/03/2017	24.3	31.6	16.4	14
18.683	12.917	03/03/2017	23.6	32.5	15	14
18.683	12.917	04/03/2017	25.3	34.3	11.6	14
18.683	12.917	05/03/2017	24.2	35	14.5	14
18.683	12.917	06/03/2017	28.3	35.6	18.2	14
18.683	12.917	07/03/2017	27.4	35	14	14
18.683	12.917	08/03/2017	24.4	34	12	14
18.683	12.917	09/03/2017	25.9	31	16.5	14
18.683	12.917	10/03/2017	22.8	28.5	15.5	14
18.683	12.917	11/03/2017	20.4	30.5	11	14
18.683	12.917	12/03/2017	19.4	31.4	6.5	14
18.683	12.917	13/03/2017	23.9	32.6	15.5	14
18.683	12.917	14/03/2017	23.5	33.5	10.6	14
18.683	12.917	15/03/2017	25.7	34.3	10.7	14
18.683	12.917	16/03/2017	23.1	34.8	7.2	14
18.683	12.917	17/03/2017	26.2	37.6	11.2	14
18.683	12.917	18/03/2017	25.9	32.3	19.5	14
18.683	12.917	19/03/2017	25.1	32.6	17	14
18.683	12.917	20/03/2017	25.6	34.5	13.5	14
18.683	12.917	21/03/2017	27.2	36	18.7	14
18.683	12.917	22/03/2017	27.8	36.5	17.6	14
18.683	12.917	23/03/2017	26.9	33.3	19.7	14
18.683	12.917	24/03/2017	28.8	36.5	22	14
18.683	12.917	25/03/2017	29.9	35.5	21.5	14
18.683	12.917	26/03/2017	27.2	35.1	17.55	14
18.683	12.917	27/03/2017	25.1	35.5	13.6	14
18.683	12.917	28/03/2017	26.1	37.3	11	14
18.683	12.917	29/03/2017	30.6	38.1	20	14
18.683	12.917	30/03/2017	28.4	39	15	14
18.683	12.917	31/03/2017	28.4	36.5	22.8	14
18.683	12.917	01/04/2017	25.4	32.5	20	14
18.683	12.917	02/04/2017	23.8	33.3	15.8	14
18.683	12.917	03/04/2017	23.7	36	11.6	14
18.683	12.917	04/04/2017	25.7	38	10.5	14
18.683	12.917	05/04/2017	28.7	37.2	15.8	14
18.683	12.917	06/04/2017	29.9	40.3	20	14
18.683	12.917	07/04/2017	31.7	41.4	18	14
18.683	12.917	08/04/2017	35.7	42	30	14
18.683	12.917	09/04/2017	35.7	40.6	31.6	14
18.683	12.917	10/04/2017	34.1	43	26.6	14
18.683	12.917	11/04/2017	28.8	35.2	23.8	14
18.683	12.917	12/04/2017	27.2	32.7	21	14
18.683	12.917	13/04/2017	25.8	30.8	20	14
18.683	12.917	14/04/2017	27.6	32.3	20	14
18.683	12.917	15/04/2017	24.8	33.8	16.7	14
18.683	12.917	16/04/2017	27.5	34.8	16	14
18.683	12.917	17/04/2017	28.8	36.65	13.5	14
18.683	12.917	18/04/2017	27.2	36.65	11	14
18.683	12.917	19/04/2017	29.6	38.5	14.5	14
18.683	12.917	20/04/2017	30.6	38.8	19	14
18.683	12.917	21/04/2017	28.3	39.7	14.4	14
18.683	12.917	22/04/2017	28.7	41.5	12.6	14
18.683	12.917	23/04/2017	31.3	40.7	18.5	14
18.683	12.917	24/04/2017	31.8	41.3	19.5	14
18.683	12.917	25/04/2017	32.3	41.2	24.2	14
18.683	12.917	26/04/2017	33.1	41.8	22.5	14
18.683	12.917	27/04/2017	34.3	43.3	22.7	14
18.683	12.917	28/04/2017	34.5	44	25.4	14
18.683	12.917	29/04/2017	33.1	44.5	20.8	14
18.683	12.917	30/04/2017	31.8	44.6	21.7	14
18.683	12.917	01/05/2017	32.2	44.3	18.3	14
18.683	12.917	02/05/2017	32.9	44.5	19.8	14
18.683	12.917	03/05/2017	34.7	44.65	20.5	14
18.683	12.917	04/05/2017	34.9	44.8	21.2	14
18.683	12.917	05/05/2017	34.9	44.3	25	14
18.683	12.917	06/05/2017	36.4	43.3	25	14
18.683	12.917	07/05/2017	35.9	43.5	23.5	14
18.683	12.917	08/05/2017	32.9	43.6	20	14
18.683	12.917	09/05/2017	35.4	43.8	20.2	14
18.683	12.917	10/05/2017	32.7	43.3	21	14
18.683	12.917	11/05/2017	35.1	43.7	23	14
18.683	12.917	12/05/2017	35.1	44.6	22.2	14
18.683	12.917	13/05/2017	33.4	42.5	21.4	14
18.683	12.917	14/05/2017	35.9	43.2	20.6	14
18.683	12.917	15/05/2017	32.9	41.7	20.6	14
18.683	12.917	16/05/2017	32.3	42.7	19.6	14
18.683	12.917	17/05/2017	31.3	42.6	18.5	14
18.683	12.917	18/05/2017	32.6	43.4	21.6	14
18.683	12.917	19/05/2017	34.3	43.7	21.2	14
18.683	12.917	20/05/2017	36.7	43.8	25	14
18.683	12.917	21/05/2017	36.1	43.2	28.5	14
18.683	12.917	22/05/2017	35.2	42.2	27.85	14
18.683	12.917	23/05/2017	35.6	41.7	27.2	14
18.683	12.917	24/05/2017	32.1	42.2	20	14
18.683	12.917	25/05/2017	33.8	43	20	14
18.683	12.917	26/05/2017	34.3	44	22.2	14
18.683	12.917	27/05/2017	34.2	45.3	21.5	14
18.683	12.917	28/05/2017	34.7	44.15	22.8	14
18.683	12.917	29/05/2017	34.9	43	25.6	14
18.683	12.917	30/05/2017	36.2	45.2	26.3	14
18.683	12.917	31/05/2017	34.8	44.6	25	14
18.683	12.917	01/06/2017	36.1	46.5	23.5	14
18.683	12.917	02/06/2017	37.4	46	26.4	14
