LATITUDE	LONGITUDE	Date	Tavg	Tmax	Tmin	Rainfall
13.373	12.627	01/01/2017	20.8	28.5	13.55	306
13.373	12.627	02/01/2017	20.6	28.5	13.5	306
13.373	12.627	03/01/2017	22.3	29.6	16	306
13.373	12.627	04/01/2017	21.6	30	14	306
13.373	12.627	05/01/2017	20.8	29.2	15.5	306
13.373	12.627	06/01/2017	22.9	31.5	15	306
13.373	12.627	07/01/2017	22.6	30.5	15.4	306
13.373	12.627	08/01/2017	22.2	28.5	17	306
13.373	12.627	09/01/2017	19.4	26.5	13.9	306
13.373	12.627	10/01/2017	18.7	28.3	12	306
13.373	12.627	11/01/2017	20.2	31.1	10.4	306
13.373	12.627	12/01/2017	22.1	34	13	306
13.373	12.627	13/01/2017	23.9	35	15	306
13.373	12.627	14/01/2017	21.9	28	17	306
13.373	12.627	15/01/2017	20.1	29.2	12	306
13.373	12.627	16/01/2017	20.8	30.8	14.5	306
13.373	12.627	17/01/2017	22	33	12	306
13.373	12.627	18/01/2017	23.1	35	15	306
13.373	12.627	19/01/2017	25.2	36.5	15.4	306
13.373	12.627	20/01/2017	25.7	35.5	19	306
13.373	12.627	21/01/2017	24.8	38	13.7	306
13.373	12.627	22/01/2017	25.3	39.3	14	306
13.373	12.627	23/01/2017	26.6	39.5	16	306
13.373	12.627	24/01/2017	27.2	37.6	17.5	306
13.373	12.627	25/01/2017	27	35.7	18.6	306
13.373	12.627	26/01/2017	26.2	33	19.5	306
13.373	12.627	27/01/2017	24.9	31.8	19.3	306
13.373	12.627	28/01/2017	24.8	32.2	19	306
13.373	12.627	29/01/2017	23.2	31.5	16	306
13.373	12.627	30/01/2017	23.4	31.6	16	306
13.373	12.627	31/01/2017	22.9	32	14.6	306
13.373	12.627	01/02/2017	24.2	31.8	17	306
13.373	12.627	02/02/2017	23.8	31.2	17.1	306
13.373	12.627	03/02/2017	22.6	31.6	15	306
13.373	12.627	04/02/2017	23.3	31.6	15	306
13.373	12.627	05/02/2017	23.6	32	14.7	306
13.373	12.627	06/02/2017	24.7	32.6	17.9	306
13.373	12.627	07/02/2017	24.4	32.3	16	306
13.373	12.627	08/02/2017	23.2	32	12.6	306
13.373	12.627	09/02/2017	24.4	31.7	17.9	306
13.373	12.627	10/02/2017	23.7	32.5	15.3	306
13.373	12.627	11/02/2017	23.9	33	16	306
13.373	12.627	12/02/2017	25.2	32.8	16.7	306
13.373	12.627	13/02/2017	24.4	31.5	19	306
13.373	12.627	14/02/2017	22.6	30	17	306
13.373	12.627	15/02/2017	23.7	29	16.8	306
13.373	12.627	16/02/2017	23.2	29.6	16.5	306
13.373	12.627	17/02/2017	21.7	28	15.5	306
13.373	12.627	18/02/2017	20.9	28	13.8	306
13.373	12.627	19/02/2017	20.6	29	12.5	306
13.373	12.627	20/02/2017	22.5	30.5	13.8	306
13.373	12.627	21/02/2017	23.9	31.75	13.8	306
13.373	12.627	22/02/2017	25.3	33	18	306
13.373	12.627	23/02/2017	25.7	34	18	306
13.373	12.627	24/02/2017	25.3	33	18	306
13.373	12.627	25/02/2017	23.8	33.9	16	306
13.373	12.627	26/02/2017	23.8	35	12.2	306
13.373	12.627	27/02/2017	24.9	37	15	306
13.373	12.627	28/02/2017	25.1	38.8	13.7	306
13.373	12.627	01/03/2017	28.2	39.2	18	306
13.373	12.627	02/03/2017	28.7	38.5	20	306
13.373	12.627	03/03/2017	26.9	37	19.2	306
13.373	12.627	04/03/2017	25.4	37.5	14	306
13.373	12.627	05/03/2017	25.8	39.3	15	306
13.373	12.627	06/03/2017	29.6	40.5	20.1	306
13.373	12.627	07/03/2017	30.6	37.7	21	306
13.373	12.627	08/03/2017	29	37.3	20.5	306
13.373	12.627	09/03/2017	28.3	36	20.2	306
13.373	12.627	10/03/2017	25.5	33	17.6	306
13.373	12.627	11/03/2017	24.4	34.2	15	306
13.373	12.627	12/03/2017	25.3	34.5	19	306
13.373	12.627	13/03/2017	27.2	36.2	19.5	306
13.373	12.627	14/03/2017	28.8	36	22.9	306
13.373	12.627	15/03/2017	27	35.4	15.4	306
13.373	12.627	16/03/2017	25.1	37	13.3	306
13.373	12.627	17/03/2017	27.4	39.6	17	306
13.373	12.627	18/03/2017	28.4	40.5	15.2	306
13.373	12.627	19/03/2017	29.7	36	22.8	306
13.373	12.627	20/03/2017	27.7	36.5	18	306
13.373	12.627	21/03/2017	28.6	39	19	306
13.373	12.627	22/03/2017	29.6	42.5	17.7	306
13.373	12.627	23/03/2017	30.1	41.5	18.4	306
13.373	12.627	24/03/2017	32.1	41.5	24	306
13.373	12.627	25/03/2017	32.1	41.3	22.6	306
13.373	12.627	26/03/2017	30.3	38	23	306
13.373	12.627	27/03/2017	28.3	37.3	18.6	306
13.373	12.627	28/03/2017	28.9	39	18	306
13.373	12.627	29/03/2017	29.8	40.2	18.3	306
13.373	12.627	30/03/2017	31.4	41.7	22	306
13.373	12.627	31/03/2017	31.8	41.5	21	306
13.373	12.627	01/04/2017	30.8	38	25	306
13.373	12.627	02/04/2017	30.9	38.2	24	306
13.373	12.627	03/04/2017	31.8	38.8	27	306
13.373	12.627	04/04/2017	31.9	41	22.9	306
13.373	12.627	05/04/2017	32.1	41.6	22	306
13.373	12.627	06/04/2017	33.7	41.2	27.5	306
13.373	12.627	07/04/2017	33.9	43.5	25.5	306
13.373	12.627	08/04/2017	36.5	43.8	30	306
13.373	12.627	09/04/2017	35.7	44.5	29	306
13.373	12.627	10/04/2017	35.1	45.5	28	306
13.373	12.627	11/04/2017	35.2	44	26	306
