LATITUDE	LONGITUDE	Date	Tavg	Tmax	Tmin	Rainfall
13.983	10.3	01/01/2017	19.6	26.5	12.25	330
13.983	10.3	02/01/2017	19.3	27	11.5	330
13.983	10.3	03/01/2017	20.6	27.2	14	330
13.983	10.3	04/01/2017	20.2	27	14	330
13.983	10.3	05/01/2017	20.9	28	13.5	330
13.983	10.3	06/01/2017	22.2	31	13	330
13.983	10.3	07/01/2017	21.6	29	14.5	330
13.983	10.3	08/01/2017	20.7	27	14	330
13.983	10.3	09/01/2017	18	25.5	12	330
13.983	10.3	10/01/2017	19.1	27.5	10	330
13.983	10.3	11/01/2017	20.4	30	10.5	330
13.983	10.3	12/01/2017	23.8	33.5	12.5	330
13.983	10.3	13/01/2017	23.6	30	18.6	330
13.983	10.3	14/01/2017	20.4	27	13.5	330
13.983	10.3	15/01/2017	21.4	30.2	13.5	330
13.983	10.3	16/01/2017	21.7	30	14	330
13.983	10.3	17/01/2017	23.2	31.6	14.5	330
13.983	10.3	18/01/2017	25.1	34.6	16	330
13.983	10.3	19/01/2017	26.5	35.5	17.5	330
13.983	10.3	20/01/2017	27.6	35	19.5	330
13.983	10.3	21/01/2017	27.4	36.5	19	330
13.983	10.3	22/01/2017	27.3	37.5	17	330
13.983	10.3	23/01/2017	29	38.6	20	330
13.983	10.3	24/01/2017	27.2	36.3	22	330
13.983	10.3	25/01/2017	26.1	34	19.5	330
13.983	10.3	26/01/2017	24.5	30.5	17	330
13.983	10.3	27/01/2017	22.7	31	17	330
13.983	10.3	28/01/2017	23.2	30.5	16	330
13.983	10.3	29/01/2017	22.9	30.5	15	330
13.983	10.3	30/01/2017	22.4	30	14	330
13.983	10.3	31/01/2017	22.4	30.5	14.5	330
13.983	10.3	01/02/2017	23.7	31	15	330
13.983	10.3	02/02/2017	23.9	30	19	330
13.983	10.3	03/02/2017	23.1	30	17.5	330
13.983	10.3	04/02/2017	22.8	30	16	330
13.983	10.3	05/02/2017	23.8	31	16.5	330
13.983	10.3	06/02/2017	24.7	32	16	330
13.983	10.3	07/02/2017	23.8	31	16.5	330
13.983	10.3	08/02/2017	23.4	30	15.5	330
13.983	10.3	09/02/2017	23.6	31	15	330
13.983	10.3	10/02/2017	24.1	31	17.5	330
13.983	10.3	11/02/2017	24.2	32	17	330
13.983	10.3	12/02/2017	23.5	31	16	330
13.983	10.3	13/02/2017	24	31	16.5	330
13.983	10.3	14/02/2017	21.9	29.5	16	330
13.983	10.3	15/02/2017	22.9	29.5	15.5	330
13.983	10.3	16/02/2017	22.8	29	17	330
13.983	10.3	17/02/2017	21.4	28	16	330
13.983	10.3	18/02/2017	21.2	27	14.5	330
13.983	10.3	19/02/2017	20.7	28	13	330
13.983	10.3	20/02/2017	22.4	30	14	330
13.983	10.3	21/02/2017	24.8	32	16.5	330
13.983	10.3	22/02/2017	28.6	32.6	17.75	330
13.983	10.3	23/02/2017	26.6	34	19	330
13.983	10.3	24/02/2017	25.8	33	19	330
13.983	10.3	25/02/2017	25.6	34	18	330
13.983	10.3	26/02/2017	25.3	34.5	16.5	330
13.983	10.3	27/02/2017	26.6	36	14	330
13.983	10.3	28/02/2017	27.6	38	17	330
13.983	10.3	01/03/2017	29.5	38.6	19	330
13.983	10.3	02/03/2017	29.3	37.5	21.5	330
13.983	10.3	03/03/2017	28.4	37	20	330
13.983	10.3	04/03/2017	28.9	38	19.5	330
13.983	10.3	05/03/2017	28.7	39	21.6	330
13.983	10.3	06/03/2017	29.9	37.5	22	330
13.983	10.3	07/03/2017	30.4	37	21.5	330
13.983	10.3	08/03/2017	29.1	37	21	330
13.983	10.3	09/03/2017	27.6	35.6	18.5	330
13.983	10.3	10/03/2017	24.8	31	19.5	330
13.983	10.3	11/03/2017	24.9	33	16.6	330
13.983	10.3	12/03/2017	25.8	34	16.5	330
13.983	10.3	13/03/2017	27.2	35	18.5	330
13.983	10.3	14/03/2017	27.9	35	21.5	330
13.983	10.3	15/03/2017	27.2	35.5	17	330
13.983	10.3	16/03/2017	26.9	36	15	330
13.983	10.3	17/03/2017	28.1	38.5	17.5	330
13.983	10.3	18/03/2017	30.4	39	18.5	330
13.983	10.3	19/03/2017	30.1	36	21.5	330
13.983	10.3	20/03/2017	29.6	37.5	21	330
13.983	10.3	21/03/2017	29.3	39	20	330
