LATITUDE	LONGITUDE	Date	Tavg	Tmax	Tmin	Rainfall
13.233	11.983	01/01/2017	20.7	28.8	13.5	326
13.233	11.983	02/01/2017	20.3	29	13	326
13.233	11.983	03/01/2017	22.3	29.5	15.5	326
13.233	11.983	04/01/2017	22.5	30	13.2	326
13.233	11.983	05/01/2017	21.4	29.6	15.5	326
13.233	11.983	06/01/2017	23.1	32	14	326
13.233	11.983	07/01/2017	22.9	31.1	15.5	326
13.233	11.983	08/01/2017	21.7	28.6	16.2	326
13.233	11.983	09/01/2017	19.2	26.5	13	326
13.233	11.983	10/01/2017	19.4	28.5	11.3	326
13.233	11.983	11/01/2017	21.8	31	11.7	326
13.233	11.983	12/01/2017	24.7	35	15.5	326
13.233	11.983	13/01/2017	25.7	33.8	19	326
13.233	11.983	14/01/2017	21.8	28.5	16.5	326
13.233	11.983	15/01/2017	21.3	29.1	13.5	326
13.233	11.983	16/01/2017	22.2	30.7	14	326
13.233	11.983	17/01/2017	24.2	33.4	15.5	326
13.233	11.983	18/01/2017	25.6	35.6	16.3	326
13.233	11.983	19/01/2017	26.7	36.8	16.2	326
13.233	11.983	20/01/2017	27.6	36.3	18.5	326
13.233	11.983	21/01/2017	27.7	38.1	17.3	326
13.233	11.983	22/01/2017	28.4	39.5	18.5	326
13.233	11.983	23/01/2017	29.1	40	19.6	326
13.233	11.983	24/01/2017	28.7	37.6	20.4	326
13.233	11.983	25/01/2017	27	35.6	19	326
13.233	11.983	26/01/2017	26.4	33.6	18.5	326
13.233	11.983	27/01/2017	24.9	33	17.5	326
13.233	11.983	28/01/2017	24.7	32.5	18.5	326
13.233	11.983	29/01/2017	23.8	32.5	16.1	326
13.233	11.983	30/01/2017	23.7	31.5	15.6	326
13.233	11.983	31/01/2017	22.9	32	14.6	326
13.233	11.983	01/02/2017	24.2	32.2	16	326
13.233	11.983	02/02/2017	24	32	17.5	326
13.233	11.983	03/02/2017	22.7	31.5	15	326
13.233	11.983	04/02/2017	23.2	32	14.6	326
13.233	11.983	05/02/2017	22.8	32.6	15.2	326
13.233	11.983	06/02/2017	25.2	33.5	17.7	326
13.233	11.983	07/02/2017	24.4	32.3	16	326
13.233	11.983	08/02/2017	23.9	33	13.5	326
13.233	11.983	09/02/2017	23.6	32.2	16.5	326
13.233	11.983	10/02/2017	23.8	32.5	15.4	326
13.233	11.983	11/02/2017	24.3	33.4	15.7	326
13.233	11.983	12/02/2017	24.5	33	16.8	326
13.233	11.983	13/02/2017	24.1	32.1	18.8	326
13.233	11.983	14/02/2017	22.7	31.4	16.6	326
13.233	11.983	15/02/2017	23.7	31	16.5	326
13.233	11.983	16/02/2017	23.5	30.5	16	326
13.233	11.983	17/02/2017	22.3	29.1	15.5	326
13.233	11.983	18/02/2017	21.3	29	13.5	326
13.233	11.983	19/02/2017	21.8	30.1	13	326
13.233	11.983	20/02/2017	23.6	31.6	15	326
13.233	11.983	21/02/2017	25.3	33.2	16.6	326
13.233	11.983	22/02/2017	28.8	33.5	17.9	326
13.233	11.983	23/02/2017	26.2	34.5	19.2	326
13.233	11.983	24/02/2017	25.4	34	18.6	326
13.233	11.983	25/02/2017	24.5	34.3	16.5	326
13.233	11.983	26/02/2017	24.2	35.6	14.2	326
13.233	11.983	27/02/2017	25.5	37	14.8	326
13.233	11.983	28/02/2017	26.8	38.8	16.8	326
13.233	11.983	01/03/2017	29.3	40	20.6	326
13.233	11.983	02/03/2017	29.7	39.5	21.6	326
13.233	11.983	03/03/2017	28	37.6	19.6	326
13.233	11.983	04/03/2017	28	38.6	17.9	326
13.233	11.983	05/03/2017	27.4	39.6	18.5	326
13.233	11.983	06/03/2017	29.6	40.2	19	326
13.233	11.983	07/03/2017	29.6	38.6	22	326
13.233	11.983	08/03/2017	28.9	38	21.6	326
13.233	11.983	09/03/2017	28.5	37	20	326
13.233	11.983	10/03/2017	25.9	33	20	326
13.233	11.983	11/03/2017	25.6	34.1	15.5	326
13.233	11.983	12/03/2017	25.4	35	18	326
13.233	11.983	13/03/2017	27.8	37	20	326
13.233	11.983	14/03/2017	28.9	36.8	23.2	326
13.233	11.983	15/03/2017	27.3	36.2	19.5	326
13.233	11.983	16/03/2017	26.4	37	15	326
13.233	11.983	17/03/2017	28.6	40	19	326
13.233	11.983	18/03/2017	30.2	41	19.5	326
13.233	11.983	19/03/2017	28.8	37.5	22	326
13.233	11.983	20/03/2017	28.4	38.4	19.8	326
13.233	11.983	21/03/2017	29.1	39.5	21	326
13.233	11.983	22/03/2017	31.2	42.8	21.4	326
13.233	11.983	23/03/2017	31.4	41.9	21.5	326
13.233	11.983	24/03/2017	31.9	42	23.6	326
13.233	11.983	25/03/2017	32.3	42.1	24.5	326
13.233	11.983	26/03/2017	31	39.5	23.5	326
13.233	11.983	27/03/2017	29.1	38.2	20.5	326
13.233	11.983	28/03/2017	29.3	39.4	19.5	326
13.233	11.983	29/03/2017	30.5	40.6	21	326
13.233	11.983	30/03/2017	32.8	42	22.4	326
13.233	11.983	31/03/2017	32.2	42.5	22.5	326
13.233	11.983	01/04/2017	30.8	38.6	24.2	326
13.233	11.983	02/04/2017	30.2	38.6	24	326
13.233	11.983	03/04/2017	31.2	39	25.6	326
13.233	11.983	04/04/2017	31.5	40.6	23	326
13.233	11.983	05/04/2017	32.8	42.2	24.4	326
13.233	11.983	06/04/2017	33.4	42.2	26.5	326
13.233	11.983	07/04/2017	35.1	43.4	27.4	326
13.233	11.983	08/04/2017	36.2	43.7	30.6	326
13.233	11.983	09/04/2017	36	44.5	28.8	326
13.233	11.983	10/04/2017	36.4	45	30.6	326
13.233	11.983	11/04/2017	35.1	43.2	28.85	326
13.233	11.983	12/04/2017	33.3	41	27.1	326
13.233	11.983	13/04/2017	31.9	40.8	26.1	326
13.233	11.983	14/04/2017	30.3	37.1	24.6	326
13.233	11.983	15/04/2017	28.8	34.5	26	326
13.233	11.983	16/04/2017	30.2	38.2	23.5	326
13.233	11.983	17/04/2017	32.1	39.4	25	326
13.233	11.983	18/04/2017	31.4	40.6	24.5	326
13.233	11.983	19/04/2017	32.6	41	25.8	326
13.233	11.983	20/04/2017	33.6	41.5	27.2	326
13.233	11.983	21/04/2017	33.9	42.4	27.2	326
13.233	11.983	22/04/2017	33.3	43.5	24.6	326
13.233	11.983	23/04/2017	34.1	44.4	25	326
13.233	11.983	24/04/2017	34.2	43.2	27.6	326
13.233	11.983	25/04/2017	34.1	44	26	326
13.233	11.983	26/04/2017	34.7	43.6	27.7	326
