LATITUDE	LONGITUDE	Date	Tavg	Tmax	Tmin	Rainfall
14.25	13.12	01/01/2017	20	27.55	12.7	200
14.25	13.12	02/01/2017	20.1	27.8	12.4	200
14.25	13.12	03/01/2017	21.1	28	13.6	200
14.25	13.12	04/01/2017	20.2	28	12.5	200
14.25	13.12	05/01/2017	20.4	28.5	13	200
14.25	13.12	06/01/2017	21.5	30.2	12.2	200
14.25	13.12	07/01/2017	21.3	29.5	13.5	200
14.25	13.12	08/01/2017	20.1	27.5	14	200
14.25	13.12	09/01/2017	18.1	25.5	11.5	200
14.25	13.12	10/01/2017	17.4	27	9.5	200
14.25	13.12	11/01/2017	19.5	31.5	9	200
14.25	13.12	12/01/2017	21.5	33.8	10.8	200
14.25	13.12	13/01/2017	23.7	35	15	200
14.25	13.12	14/01/2017	20.4	27.5	15.6	200
14.25	13.12	15/01/2017	19.7	29	13	200
14.25	13.12	16/01/2017	20.7	30.5	13	200
14.25	13.12	17/01/2017	22.1	32.5	13	200
14.25	13.12	18/01/2017	23.6	34	15.5	200
14.25	13.12	19/01/2017	25.3	36	16.5	200
14.25	13.12	20/01/2017	26.2	35.6	19	200
14.25	13.12	21/01/2017	26.4	38	17.4	200
14.25	13.12	22/01/2017	27.4	40	18.5	200
14.25	13.12	23/01/2017	28.4	39.5	18	200
14.25	13.12	24/01/2017	28.2	37	20.2	200
14.25	13.12	25/01/2017	26.4	35.2	18	200
14.25	13.12	26/01/2017	25.2	32.6	18.4	200
14.25	13.12	27/01/2017	24.5	32	18	200
14.25	13.12	28/01/2017	23.8	31.2	17.5	200
14.25	13.12	29/01/2017	22.3	30.5	15	200
14.25	13.12	30/01/2017	21.9	30.5	14	200
14.25	13.12	31/01/2017	21.8	30.5	14.8	200
14.25	13.12	01/02/2017	23.4	31	16.4	200
14.25	13.12	02/02/2017	23.2	30.6	15.5	200
14.25	13.12	03/02/2017	21.8	30.6	9	200
14.25	13.12	04/02/2017	22	31	13.5	200
