LATITUDE	LONGITUDE	Date	Tavg	Tmax	Tmin	Rainfall
20.933	-17.033	01/01/2017	21	25.8	16.7	18
20.933	-17.033	02/01/2017	20.7	26.2	16.7	18
20.933	-17.033	03/01/2017	20.4	25.8	15.9	18
20.933	-17.033	04/01/2017	20.9	25.4	16.9	18
20.933	-17.033	05/01/2017	20	24.7	17.9	18
20.933	-17.033	06/01/2017	18.4	24.6	18.1	18
20.933	-17.033	07/01/2017	19.8	24.5	18.1	18
20.933	-17.033	08/01/2017	20.4	26.6	18.1	18
20.933	-17.033	09/01/2017	22.7	28.4	18.3	18
20.933	-17.033	10/01/2017	22.9	26.4	16.55	18
20.933	-17.033	11/01/2017	19.1	24.4	16.55	18
20.933	-17.033	12/01/2017	18.3	25.7	16.55	18
20.933	-17.033	13/01/2017	19	24.1	14.8	18
20.933	-17.033	14/01/2017	18.4	23.9	14.4	18
20.933	-17.033	15/01/2017	17.9	24.4	14.4	18
20.933	-17.033	16/01/2017	18.4	26.7	14.4	18
20.933	-17.033	17/01/2017	20.1	29.3	14.4	18
20.933	-17.033	18/01/2017	19.3	26.7	14.4	18
20.933	-17.033	19/01/2017	17.8	26.7	14	18
20.933	-17.033	20/01/2017	18.4	26.7	14.8	18
20.933	-17.033	21/01/2017	19.1	26.7	15.3	18
20.933	-17.033	22/01/2017	18.6	24.1	15.8	18
20.933	-17.033	23/01/2017	17.7	22.7	15.15	18
20.933	-17.033	24/01/2017	17.7	24	14.5	18
20.933	-17.033	25/01/2017	17.7	24.7	14.25	18
20.933	-17.033	26/01/2017	17.6	26.5	14.25	18
20.933	-17.033	27/01/2017	19.5	26.9	14	18
20.933	-17.033	28/01/2017	18.5	26.9	13.6	18
20.933	-17.033	29/01/2017	18.1	27.3	14.6	18
20.933	-17.033	30/01/2017	17.7	23.4	14.6	18
20.933	-17.033	31/01/2017	18.2	24.8	15.6	18
20.933	-17.033	01/02/2017	18.8	25.15	15.6	18
20.933	-17.033	02/02/2017	18.2	25.5	15.5	18
20.933	-17.033	03/02/2017	19.5	27.55	15.4	18
20.933	-17.033	04/02/2017	21.1	29.6	15.8	18
20.933	-17.033	05/02/2017	21.4	29.7	15.8	18
20.933	-17.033	06/02/2017	20.6	29.8	15.8	18
20.933	-17.033	07/02/2017	21.1	30.2	14.6	18
20.933	-17.033	08/02/2017	20.9	30.2	15.7	18
20.933	-17.033	09/02/2017	20	30	15.35	18
20.933	-17.033	10/02/2017	17.9	26.1	15.35	18
20.933	-17.033	11/02/2017	17.4	21.6	15.35	18
20.933	-17.033	12/02/2017	18.2	22.2	15.35	18
20.933	-17.033	13/02/2017	18.6	23	15.35	18
20.933	-17.033	14/02/2017	19	24.8	15.35	18
20.933	-17.033	15/02/2017	18.6	26.05	15	18
20.933	-17.033	16/02/2017	19	26.05	15.75	18
20.933	-17.033	17/02/2017	19.7	27.3	16.5	18
20.933	-17.033	18/02/2017	21.5	31.2	14.2	18
20.933	-17.033	19/02/2017	19.7	27.3	14.2	18
20.933	-17.033	20/02/2017	18.2	24.4	14.2	18
20.933	-17.033	21/02/2017	18.2	24.1	14.2	18
20.933	-17.033	22/02/2017	18.3	24	11.9	18
