LATITUDE	LONGITUDE	Date	TAVG	TMAX	TMIN	Rainfall
18.12	-15.93	01/01/2017	24.25	31.95	17.625	94
18.12	-15.93	02/01/2017	23.3	31.7	16.75	94
18.12	-15.93	03/01/2017	23.4	32.1	15	94
18.12	-15.93	04/01/2017	22.3	31.2	15	94
18.12	-15.93	05/01/2017	19.6	29.4	12	94
18.12	-15.93	06/01/2017	20.6	29.9	12.8	94
18.12	-15.93	07/01/2017	23.4	33	14.9	94
18.12	-15.93	08/01/2017	22.6	33.5	17	94
18.12	-15.93	09/01/2017	24.8	34	18.2	94
18.12	-15.93	10/01/2017	26.3	34.4	17.2	94
18.12	-15.93	11/01/2017	24.4	31.5	18	94
18.12	-15.93	12/01/2017	20.8	28.6	10.4	94
18.12	-15.93	13/01/2017	19.6	28.4	8	94
18.12	-15.93	14/01/2017	19.1	27.4	12.2	94
18.12	-15.93	15/01/2017	18.6	28.5	10	94
18.12	-15.93	16/01/2017	19.9	29.45	10.9	94
18.12	-15.93	17/01/2017	20.9	30.4	10.9	94
18.12	-15.93	18/01/2017	21.3	29.9	11.8	94
18.12	-15.93	19/01/2017	21.2	29.4	13	94
18.12	-15.93	20/01/2017	19.1	28	12.5	94
18.12	-15.93	21/01/2017	21.9	27.4	12.5	94
18.12	-15.93	22/01/2017	19.9	27.4	12	94
18.12	-15.93	23/01/2017	19.1	25.5	14.4	94
18.12	-15.93	24/01/2017	18.2	27	10.9	94
18.12	-15.93	25/01/2017	20.4	29	10.05	94
18.12	-15.93	26/01/2017	20.4	30	9.2	94
18.12	-15.93	27/01/2017	19.9	30.7	9.5	94
18.12	-15.93	28/01/2017	20.7	30.5	9.3	94
18.12	-15.93	29/01/2017	22.6	31.5	10.65	94
18.12	-15.93	30/01/2017	20.3	31.4	12	94
18.12	-15.93	31/01/2017	20.9	30	13.15	94
18.12	-15.93	01/02/2017	21.4	29.4	14.3	94
18.12	-15.93	02/02/2017	21.1	29.5	13.15	94
18.12	-15.93	03/02/2017	21.2	31.3	12	94
18.12	-15.93	04/02/2017	22.6	32.8	13.5	94
18.12	-15.93	05/02/2017	23.4	32.9	13.5	94
18.12	-15.93	06/02/2017	24.8	33	13	94
18.12	-15.93	07/02/2017	23.2	32.8	15	94
18.12	-15.93	08/02/2017	23.1	33.5	13.5	94
18.12	-15.93	09/02/2017	22.3	32.9	13.25	94
18.12	-15.93	10/02/2017	25	32.6	13.25	94
18.12	-15.93	11/02/2017	19.3	28.6	13	94
18.12	-15.93	12/02/2017	17.9	24	13.75	94
18.12	-15.93	13/02/2017	19.3	28.8	14.5	94
18.12	-15.93	14/02/2017	20.4	32	14	94
18.12	-15.93	15/02/2017	20.2	27.8	15.6	94
18.12	-15.93	16/02/2017	20.1	30.7	13	94
18.12	-15.93	17/02/2017	21.7	34.7	12.6	94
18.12	-15.93	18/02/2017	21.7	32.3	17	94
18.12	-15.93	19/02/2017	23	35.5	16	94
18.12	-15.93	20/02/2017	21.6	31	14.7	94
18.12	-15.93	21/02/2017	20.7	28.9	14	94
18.12	-15.93	22/02/2017	21.4	29.8	14	94
18.12	-15.93	23/02/2017	21.6	29.4	16	94
18.12	-15.93	24/02/2017	23.1	31	15	94
18.12	-15.93	25/02/2017	23.4	32.2	14.2	94
18.12	-15.93	26/02/2017	24.1	34	16	94
18.12	-15.93	27/02/2017	22.9	32.8	16.1	94
18.12	-15.93	28/02/2017	21.4	27	17	94
18.12	-15.93	01/03/2017	21.3	32	15	94
18.12	-15.93	02/03/2017	22.4	32.3	17	94
18.12	-15.93	03/03/2017	23.4	32.7	16	94
18.12	-15.93	04/03/2017	24.9	33	15	94
18.12	-15.93	05/03/2017	24.4	33.7	16	94
18.12	-15.93	06/03/2017	25.1	36.9	17	94
18.12	-15.93	07/03/2017	26.1	38.8	16.4	94
18.12	-15.93	08/03/2017	27.9	39.9	18.5	94
18.12	-15.93	09/03/2017	27.2	40.5	18.5	94
18.12	-15.93	10/03/2017	29.4	41.2	20.05	94
18.12	-15.93	11/03/2017	29.3	40.4	21.6	94
18.12	-15.93	12/03/2017	29.6	40.5	19.2	94
18.12	-15.93	13/03/2017	29.2	38.5	18	94
18.12	-15.93	14/03/2017	26	39.8	18.1	94
18.12	-15.93	15/03/2017	25.6	36	19	94
18.12	-15.93	16/03/2017	24.9	35.1	18.6	94
18.12	-15.93	17/03/2017	21.7	27.7	18.2	94
18.12	-15.93	18/03/2017	21.8	27.5	19	94
18.12	-15.93	19/03/2017	21.1	27	18	94
18.12	-15.93	20/03/2017	23.2	30.2	18	94
18.12	-15.93	21/03/2017	25.1	34	18.2	94
18.12	-15.93	22/03/2017	24.3	33.5	17.4	94
18.12	-15.93	23/03/2017	22.2	33.5	17	94
18.12	-15.93	24/03/2017	23.6	33.5	18	94
18.12	-15.93	25/03/2017	22.6	29.5	15.8	94
