LATITUDE	LONGITUDE	Date	Tavg	Tmax	Tmin	Rainfall
16.633	-14.917	01/01/2017	24.5	33.2	16.55	240
16.633	-14.917	02/01/2017	25	33.6	16.55	240
16.633	-14.917	03/01/2017	25	33.7	16.55	240
16.633	-14.917	04/01/2017	22.1	30.7	16.55	240
16.633	-14.917	05/01/2017	22.5	31.1	16.55	240
16.633	-14.917	06/01/2017	21.8	31.5	16.55	240
16.633	-14.917	07/01/2017	21.7	33.5	13.5	240
16.633	-14.917	08/01/2017	24.9	36.6	16.25	240
16.633	-14.917	09/01/2017	25.4	34.5	19	240
16.633	-14.917	10/01/2017	26.8	32.25	16.5	240
16.633	-14.917	11/01/2017	25.4	30	16.5	240
16.633	-14.917	12/01/2017	21.7	31	16.5	240
16.633	-14.917	13/01/2017	21.2	29.5	14	240
16.633	-14.917	14/01/2017	21.8	29.5	14.7	240
16.633	-14.917	15/01/2017	22.4	31.5	14.2	240
16.633	-14.917	16/01/2017	21.9	33.4	16.1	240
16.633	-14.917	17/01/2017	23.2	33.1	16.1	240
16.633	-14.917	18/01/2017	28.3	34.5	18	240
16.633	-14.917	19/01/2017	23.9	34	17.1	240
16.633	-14.917	20/01/2017	22.1	31.6	17.1	240
16.633	-14.917	21/01/2017	23.3	29	16.2	240
16.633	-14.917	22/01/2017	22.1	28.1	14.2	240
16.633	-14.917	23/01/2017	20.9	28.7	17	240
16.633	-14.917	24/01/2017	19.2	29.9	15.35	240
16.633	-14.917	25/01/2017	22.4	31.7	15.35	240
16.633	-14.917	26/01/2017	24	32.8	15.35	240
16.633	-14.917	27/01/2017	23.2	33.3	13.7	240
16.633	-14.917	28/01/2017	24.1	33.2	15	240
16.633	-14.917	29/01/2017	25.4	33.3	15	240
16.633	-14.917	30/01/2017	25.2	34.4	14	240
16.633	-14.917	31/01/2017	23.7	33.3	14	240
16.633	-14.917	01/02/2017	21.3	30.9	13	240
16.633	-14.917	02/02/2017	23.8	29.9	18	240
16.633	-14.917	03/02/2017	24.7	32.1	16.1	240
