LATITUDE	LONGITUDE	Date	Tavg	Tmax	Tmin	Rainfall
16.051	-16.463	01/01/2017	26.6	34.9	17.3	284
16.051	-16.463	02/01/2017	26.9	35.2	17.3	284
16.051	-16.463	03/01/2017	26.8	35.3	17.6	284
16.051	-16.463	04/01/2017	24.6	33	18	284
16.051	-16.463	05/01/2017	24.7	33	16.55	284
16.051	-16.463	06/01/2017	24.4	33	16.55	284
16.051	-16.463	07/01/2017	24.1	33.4	15.1	284
16.051	-16.463	08/01/2017	24.2	33.8	17	284
16.051	-16.463	09/01/2017	27.7	35.6	19.3	284
16.051	-16.463	10/01/2017	25.3	31.4	19.25	284
16.051	-16.463	11/01/2017	24.8	31.5	19.2	284
16.051	-16.463	12/01/2017	22.2	32	15.95	284
16.051	-16.463	13/01/2017	22	31.9	12.7	284
16.051	-16.463	14/01/2017	22	30.6	14.9	284
16.051	-16.463	15/01/2017	20.6	31.6	15	284
16.051	-16.463	16/01/2017	20.5	32	15.5	284
16.051	-16.463	17/01/2017	21.6	31.6	15.5	284
16.051	-16.463	18/01/2017	22.8	33.4	15.5	284
16.051	-16.463	19/01/2017	22.4	33.25	16	284
16.051	-16.463	20/01/2017	22.1	33.1	16.15	284
16.051	-16.463	21/01/2017	25.3	31.25	16.3	284
16.051	-16.463	22/01/2017	23.3	29.4	15.85	284
16.051	-16.463	23/01/2017	21	29.4	15.4	284
16.051	-16.463	24/01/2017	19	30.4	13.5	284
16.051	-16.463	25/01/2017	23.3	32.9	14.3	284
16.051	-16.463	26/01/2017	23.5	33.5	14.5	284
16.051	-16.463	27/01/2017	21.9	34.7	14.7	284
16.051	-16.463	28/01/2017	22.1	34.6	16.3	284
16.051	-16.463	29/01/2017	24.9	34.5	16	284
16.051	-16.463	30/01/2017	22.7	33	15.5	284
16.051	-16.463	31/01/2017	21	31.5	15.5	284
16.051	-16.463	01/02/2017	20.7	31.7	15	284
16.051	-16.463	02/02/2017	22.9	31	17.3	284
16.051	-16.463	03/02/2017	25	32.5	14.6	284
16.051	-16.463	04/02/2017	24.1	34.6	15.8	284
16.051	-16.463	05/02/2017	23.8	33.5	15.8	284
16.051	-16.463	06/02/2017	26.4	35.2	17	284
16.051	-16.463	07/02/2017	26.7	35.3	18.4	284
16.051	-16.463	08/02/2017	23.8	35.1	17.45	284
16.051	-16.463	09/02/2017	23.2	35.8	16.5	284
16.051	-16.463	10/02/2017	22.3	35.5	16.75	284
16.051	-16.463	11/02/2017	21.5	33.75	17	284
16.051	-16.463	12/02/2017	20.8	33.75	17	284
16.051	-16.463	13/02/2017	20.5	33.75	16	284
16.051	-16.463	14/02/2017	21.8	32	16.7	284
16.051	-16.463	15/02/2017	22.7	30.1	16.1	284
16.051	-16.463	16/02/2017	20.5	28.35	15.5	284
16.051	-16.463	17/02/2017	19.6	26.6	16.5	284
16.051	-16.463	18/02/2017	21.1	28.4	15.6	284
16.051	-16.463	19/02/2017	21.9	27	17	284
16.051	-16.463	20/02/2017	20.9	27.4	16.4	284
16.051	-16.463	21/02/2017	20.1	27.4	15.8	284
16.051	-16.463	22/02/2017	21.9	29.6	15.7	284
16.051	-16.463	23/02/2017	23.8	34	16.9	284
16.051	-16.463	24/02/2017	23.5	33.6	18.4	284
16.051	-16.463	25/02/2017	24.4	35.55	18.8	284
16.051	-16.463	26/02/2017	26.2	37.5	19.2	284
16.051	-16.463	27/02/2017	23.6	31.5	18	284
16.051	-16.463	28/02/2017	21.7	31.5	17.5	284
16.051	-16.463	01/03/2017	22.3	34	17	284
16.051	-16.463	02/03/2017	24.8	34	18	284
16.051	-16.463	03/03/2017	24.7	34	18	284
16.051	-16.463	04/03/2017	23.9	36.5	17.6	284
16.051	-16.463	05/03/2017	27.1	37.25	17.5	284
16.051	-16.463	06/03/2017	27	38	17.4	284
16.051	-16.463	07/03/2017	24.1	34.5	17.8	284
16.051	-16.463	08/03/2017	26	40.9	19.65	284
16.051	-16.463	09/03/2017	27.8	41	21.5	284
16.051	-16.463	10/03/2017	27.2	40.8	20.2	284
16.051	-16.463	11/03/2017	29.2	41.9	20.3	284
16.051	-16.463	12/03/2017	27.7	41.5	20.4	284
16.051	-16.463	13/03/2017	26.1	41.5	19.15	284
16.051	-16.463	14/03/2017	24.3	34.2	17.9	284
