LATITUDE	LONGITUDE	Date	Tavg	Tmax	Tmin	Rainfall
14.9	5.25	01/01/2017	21.3	28.65	15.95	365
14.9	5.25	02/01/2017	20.2	28.5	15.5	365
14.9	5.25	03/01/2017	21.9	29.8	14.6	365
14.9	5.25	04/01/2017	23.1	30.05	16	365
14.9	5.25	05/01/2017	22.3	30.3	15.85	365
14.9	5.25	06/01/2017	23	31	15.7	365
14.9	5.25	07/01/2017	24.2	32.5	17	365
14.9	5.25	08/01/2017	23.8	31.5	17	365
14.9	5.25	09/01/2017	22.6	30.5	15.4	365
14.9	5.25	10/01/2017	21.9	30	13.8	365
14.9	5.25	11/01/2017	22.2	30	13.75	365
14.9	5.25	12/01/2017	22.9	31	13.7	365
14.9	5.25	13/01/2017	20.3	28.5	13.85	365
14.9	5.25	14/01/2017	21.9	29.3	14	365
14.9	5.25	15/01/2017	22.9	31	16.5	365
14.9	5.25	16/01/2017	23.3	32	16.5	365
14.9	5.25	17/01/2017	26.3	33	19	365
14.9	5.25	18/01/2017	26.6	34.6	19.8	365
14.9	5.25	19/01/2017	26.8	35.05	20	365
14.9	5.25	20/01/2017	28.2	35.5	20.5	365
14.9	5.25	21/01/2017	28.4	37	20.5	365
14.9	5.25	22/01/2017	28.9	36.7	20.5	365
14.9	5.25	23/01/2017	25.7	32.2	21	365
14.9	5.25	24/01/2017	23.9	31	18.4	365
14.9	5.25	25/01/2017	24	32.3	18.2	365
14.9	5.25	26/01/2017	25.9	33.3	18	365
14.9	5.25	27/01/2017	26.3	33.4	18.6	365
14.9	5.25	28/01/2017	24.9	33.5	18.05	365
14.9	5.25	29/01/2017	24.6	33	17.5	365
14.9	5.25	30/01/2017	24.3	33.2	16.4	365
14.9	5.25	31/01/2017	24.6	33	16	365
14.9	5.25	01/02/2017	25.1	32.5	18.5	365
14.9	5.25	02/02/2017	25.5	32.8	21	365
14.9	5.25	03/02/2017	25.8	33	19.5	365
14.9	5.25	04/02/2017	25.9	33.6	19.6	365
14.9	5.25	05/02/2017	26.2	33.7	19.7	365
14.9	5.25	06/02/2017	25.2	33.8	18	365
14.9	5.25	07/02/2017	25.3	33.7	18.3	365
14.9	5.25	08/02/2017	25.2	33.8	17.5	365
