LATITUDE	LONGITUDE	Date	Tavg	Tmax	Tmin	Rainfall
14.22	1.45	01/01/2017	24.05	30.5	18	389
14.22	1.45	02/01/2017	23	29.5	17.2	389
14.22	1.45	03/01/2017	24.2	31.2	17.2	389
14.22	1.45	04/01/2017	24.4	31.2	18.2	389
14.22	1.45	05/01/2017	24.8	31.6	18.5	389
14.22	1.45	06/01/2017	25	31.7	18.8	389
14.22	1.45	07/01/2017	26.2	33.6	18.4	389
14.22	1.45	08/01/2017	26.1	33.5	19.2	389
14.22	1.45	09/01/2017	25.4	32.5	19.5	389
14.22	1.45	10/01/2017	24.6	32.5	17	389
14.22	1.45	11/01/2017	22.9	31.5	13.3	389
14.22	1.45	12/01/2017	23.2	32.2	13	389
14.22	1.45	13/01/2017	21.7	28	15.2	389
14.22	1.45	14/01/2017	22.2	29.5	15	389
14.22	1.45	15/01/2017	23.6	31.2	15.8	389
14.22	1.45	16/01/2017	24.3	32.8	14.5	389
14.22	1.45	17/01/2017	26.8	34.2	19.6	389
14.22	1.45	18/01/2017	28.7	35.2	22	389
14.22	1.45	19/01/2017	28.3	35.6	21.5	389
14.22	1.45	20/01/2017	28.5	36.2	20.7	389
14.22	1.45	21/01/2017	28.5	35.85	20.4	389
14.22	1.45	22/01/2017	26.4	35.5	18.6	389
14.22	1.45	23/01/2017	24.8	32.8	17.5	389
14.22	1.45	24/01/2017	24.4	32.3	17.2	389
14.22	1.45	25/01/2017	25.4	32.5	18.7	389
14.22	1.45	26/01/2017	27.6	34.3	19.5	389
14.22	1.45	27/01/2017	27.2	35	20.4	389
14.22	1.45	28/01/2017	26.7	34.3	20.5	389
14.22	1.45	29/01/2017	26.6	34.4	19.6	389
14.22	1.45	30/01/2017	27.1	35	19.3	389
14.22	1.45	31/01/2017	28	35.5	20	389
14.22	1.45	01/02/2017	27.2	34	20.4	389
14.22	1.45	02/02/2017	27.8	37	19.9	389
14.22	1.45	03/02/2017	27.5	34.8	20.5	389
14.22	1.45	04/02/2017	28.6	34.8	23.1	389
14.22	1.45	05/02/2017	28.6	35	22.7	389
14.22	1.45	06/02/2017	28.3	34.3	22.5	389
14.22	1.45	07/02/2017	27.4	34.8	21	389
14.22	1.45	08/02/2017	27.8	35.1	20.8	389
14.22	1.45	09/02/2017	28.3	34.6	22.2	389
14.22	1.45	10/02/2017	28	35	21.2	389
14.22	1.45	11/02/2017	28.4	35.5	21	389
14.22	1.45	12/02/2017	29.3	36	22.7	389
14.22	1.45	13/02/2017	29.7	37.5	24.4	389
14.22	1.45	14/02/2017	28.7	35	24.6	389
14.22	1.45	15/02/2017	28.1	34.5	21	389
14.22	1.45	16/02/2017	28.7	35.2	22.2	389
14.22	1.45	17/02/2017	27	34.35	18.1	389
14.22	1.45	18/02/2017	26.7	33.5	19	389
14.22	1.45	19/02/2017	25.8	32.8	18.3	389
14.22	1.45	20/02/2017	27	34.5	18.7	389
14.22	1.45	21/02/2017	28.6	35.7	20.6	389
14.22	1.45	22/02/2017	29.1	35.8	21	389
14.22	1.45	23/02/2017	30.4	37	23.6	389
14.22	1.45	24/02/2017	29.3	37.5	24.05	389
14.22	1.45	25/02/2017	31.2	38	24.5	389
14.22	1.45	26/02/2017	30.7	38.5	23	389
14.22	1.45	27/02/2017	30.6	39.5	20.5	389
14.22	1.45	28/02/2017	31.3	40.5	21.6	389
14.22	1.45	01/03/2017	32.1	40.8	21	389
14.22	1.45	02/03/2017	34.3	41.8	27.1	389
14.22	1.45	03/03/2017	33	41.6	24.4	389
