Date	Time	Avg_Temp	Hum	Rainfall	Solar_rad	ET
01-01-2014	1:00	25.9	85	0	0	0
01-01-2014	2:00	25.6	85	0	0	0
01-01-2014	3:00	25.1	85	0	0	0
01-01-2014	4:00	24.8	84	0	0	0
01-01-2014	5:00	24.4	82	0	0	0
01-01-2014	6:00	24.3	81	0	0	0
01-01-2014	7:00	24.5	83	0	0	0
01-01-2014	8:00	24.7	83	0	22	0.03
01-01-2014	9:00	24.9	84	0	61	0.05
01-01-2014	10:00	25.9	82	0	151	0.1
01-01-2014	11:00	27.1	74	0	224	0.15
01-01-2014	12:00	28.9	68	0	331	0.23
01-01-2014	13:00	30.2	58	0	618	0.41
01-01-2014	14:00	31.7	54	0	609	0.41
01-01-2014	15:00	31.7	53	0	256	0.2
01-01-2014	16:00	31.7	54	0	153	0.13
01-01-2014	17:00	31.3	57	0	89	0.08
01-01-2014	18:00	30.6	66	0	30	0.03
01-01-2014	19:00	28.2	74	0	4	0.03
01-01-2014	20:00	26.8	77	0	0	0
01-01-2014	21:00	26.2	79	0	0	0
01-01-2014	22:00	25.7	81	0	0	0
01-01-2014	23:00	25.3	83	0	0	0
02-01-2014	0:00	24.9	84	0	0	0
02-01-2014	1:00	24.4	85	0	0	0
02-01-2014	2:00	24.1	85	0	0	0
02-01-2014	3:00	23.6	85	0	0	0
02-01-2014	4:00	23.3	85	0	0	0
02-01-2014	5:00	23.1	85	0	0	0
02-01-2014	6:00	22.8	85	0	0	0
02-01-2014	7:00	22.6	85	0	0	0
02-01-2014	8:00	22.4	85	0	27	0.03
02-01-2014	9:00	23.4	85	0	126	0.08
02-01-2014	10:00	25.6	83	0	197	0.13
02-01-2014	11:00	26.9	77	0	330	0.2
02-01-2014	12:00	28.8	67	0	435	0.3
02-01-2014	13:00	29.9	65	0	331	0.23
02-01-2014	14:00	31	55	0	558	0.38
02-01-2014	15:00	32.6	48	0	546	0.38
02-01-2014	16:00	32.6	51	0	208	0.15
02-01-2014	17:00	32.2	49	0	70	0.05
02-01-2014	18:00	31.6	55	0	34	0.03
02-01-2014	19:00	30.5	63	0	5	0.03
02-01-2014	20:00	29.1	69	0	0	0
02-01-2014	21:00	28.1	72	0	0	0
02-01-2014	22:00	27.4	81	0	0	0
02-01-2014	23:00	26.5	84	0	0	0
03-01-2014	0:00	26	85	0	0	0
03-01-2014	1:00	25.5	85	0	0	0
03-01-2014	2:00	24.7	85	0	0	0
03-01-2014	3:00	24	84	0	0	0
03-01-2014	4:00	23.7	83	0	0	0
03-01-2014	5:00	23.7	81	0	0	0
03-01-2014	6:00	23.8	82	0	0	0
03-01-2014	7:00	23.7	83	0	0	0
03-01-2014	8:00	23.8	83	0	15	0.03
03-01-2014	9:00	24.1	85	0	101	0.08
03-01-2014	10:00	25.3	81	0	171	0.1
03-01-2014	11:00	27	74	0	401	0.25
03-01-2014	12:00	28.7	63	0	571	0.38
03-01-2014	13:00	30.9	49	0	671	0.46
03-01-2014	14:00	32.6	36	0	644	0.46
03-01-2014	15:00	33.8	29	0	558	0.41
03-01-2014	16:00	33.9	28	0	206	0.18
03-01-2014	17:00	33.3	25	0	68	0.08
03-01-2014	18:00	32.7	29	0	38	0.05
03-01-2014	19:00	30.7	43	0	5	0.03
03-01-2014	20:00	28.2	56	0	0	0.03
03-01-2014	21:00	25.7	64	0	0	0
03-01-2014	22:00	24.5	69	0	0	0
03-01-2014	23:00	23.4	72	0	0	0
04-01-2014	0:00	22.6	78	0	0	0
04-01-2014	1:00	21.2	80	0	0	0
04-01-2014	2:00	20.7	78	0	0	0
04-01-2014	3:00	20.5	79	0	0	0
04-01-2014	4:00	20.4	82	0	0	0
04-01-2014	5:00	19.4	83	0	0	0
04-01-2014	6:00	19.8	85	0	0	0
04-01-2014	7:00	19.9	81	0	0	0
04-01-2014	8:00	20.3	81	0	20	0.03
04-01-2014	9:00	20.3	77	0	110	0.08
04-01-2014	10:00	23.6	61	0	311	0.2
04-01-2014	11:00	26.9	43	0	474	0.3
04-01-2014	12:00	29.4	29	0	595	0.41
04-01-2014	13:00	31.4	26	0	644	0.46
04-01-2014	14:00	33	22	0	620	0.46
04-01-2014	15:00	33.5	20	0	547	0.41
04-01-2014	16:00	33.6	22	0	209	0.18
04-01-2014	17:00	32.9	27	0	65	0.08
04-01-2014	18:00	32.1	42	0	32	0.05
04-01-2014	19:00	30.1	56	0	5	0.03
04-01-2014	20:00	28.3	61	0	0	0
04-01-2014	21:00	27.3	64	0	0	0
04-01-2014	22:00	26.4	70	0	0	0
04-01-2014	23:00	25.5	80	0	0	0
05-01-2014	0:00	25.1	83	0	0	0
05-01-2014	1:00	24.1	83	0	0	0
05-01-2014	2:00	22.4	84	0	0	0
05-01-2014	3:00	21.4	85	0	0	0
05-01-2014	4:00	21.1	85	0	0	0
05-01-2014	5:00	20.7	86	0	0	0
05-01-2014	6:00	20.8	85	0	0	0
05-01-2014	7:00	21.3	83	0	0	0
05-01-2014	8:00	21.5	81	0	10	0
05-01-2014	9:00	22.3	82	0	32	0.03
05-01-2014	10:00	23.7	82	0	223	0.13
05-01-2014	11:00	26.2	76	0	430	0.28
05-01-2014	12:00	28	68	0	528	0.36
05-01-2014	13:00	29.8	62	0	512	0.33
05-01-2014	14:00	31.1	60	0	406	0.28
05-01-2014	15:00	31.2	57	0	350	0.25
05-01-2014	16:00	31.5	56	0	138	0.1
05-01-2014	17:00	31.3	56	0	83	0.08
05-01-2014	18:00	30.8	62	0	45	0.05
05-01-2014	19:00	29.7	65	0	5	0.03
05-01-2014	20:00	28.5	71	0	0	0
05-01-2014	21:00	27.7	79	0	0	0
05-01-2014	22:00	26.7	82	0	0	0
05-01-2014	23:00	26.1	83	0	0	0
06-01-2014	0:00	25.5	85	0	0	0
06-01-2014	1:00	25.1	85	0	0	0
06-01-2014	2:00	24.6	84	0	0	0
06-01-2014	3:00	23.9	85	0	0	0
06-01-2014	4:00	23.1	84	0	0	0
06-01-2014	5:00	22.5	83	0	0	0
06-01-2014	6:00	22.3	83	0	0	0
06-01-2014	7:00	22.3	82	0	0	0
06-01-2014	8:00	22.3	81	0	18	0.03
06-01-2014	9:00	22.9	84	0	89	0.05
06-01-2014	10:00	25.3	80	0	238	0.15
06-01-2014	11:00	27.8	71	0	389	0.25
06-01-2014	12:00	29.4	68	0	425	0.28
06-01-2014	13:00	30.2	60	0	550	0.36
06-01-2014	14:00	31.8	54	0	553	0.38
06-01-2014	15:00	32.3	51	0	469	0.33
06-01-2014	16:00	32.6	51	0	182	0.13
06-01-2014	17:00	32.4	51	0	71	0.05
06-01-2014	18:00	31.8	56	0	34	0.03
06-01-2014	19:00	30.4	68	0	5	0.03
06-01-2014	20:00	29.1	73	0	0	0
06-01-2014	21:00	28.2	77	0	0	0
06-01-2014	22:00	27.3	83	0	0	0
06-01-2014	23:00	26.2	84	0	0	0
07-01-2014	0:00	25.7	85	0	0	0
07-01-2014	1:00	24.7	85	0	0	0
07-01-2014	2:00	23.9	85	0	0	0
07-01-2014	3:00	23.7	85	0	0	0
07-01-2014	4:00	23.6	85	0	0	0
07-01-2014	5:00	22.9	84	0	0	0
07-01-2014	6:00	23.3	84	0	0	0
07-01-2014	7:00	23.7	84	0	0	0
07-01-2014	8:00	23.7	82	0	17	0.03
07-01-2014	9:00	24.2	84	0	52	0.03
07-01-2014	10:00	24.6	85	0	108	0.08
07-01-2014	11:00	25.8	81	0	218	0.15
07-01-2014	12:00	28.7	58	0	539	0.33
07-01-2014	13:00	30.8	49	0	583	0.41
07-01-2014	14:00	32.1	44	0	571	0.41
