Date	Tavg
01/01/2018	22.9
02/01/2018	23.4
03/01/2018	22.4
04/01/2018	23.9
05/01/2018	23.8
06/01/2018	23.6
07/01/2018	19.2
08/01/2018	20.1
09/01/2018	21.8
10/01/2018	24.5
11/01/2018	23.6
12/01/2018	21.1
13/01/2018	21.8
14/01/2018	21.9
15/01/2018	23.7
16/01/2018	23.3
17/01/2018	25.4
18/01/2018	25.6
19/01/2018	23.7
20/01/2018	24.3
21/01/2018	24.3
22/01/2018	26
23/01/2018	26.1
24/01/2018	24.3
25/01/2018	25.4
26/01/2018	24.3
27/01/2018	23.9
28/01/2018	24.5
29/01/2018	24.3
30/01/2018	20.4
31/01/2018	21.9
01/02/2018	22.8
02/02/2018	23.2
03/02/2018	23.1
04/02/2018	21.8
05/02/2018	22.8
06/02/2018	22.4
07/02/2018	23.4
08/02/2018	24.7
09/02/2018	26.5
10/02/2018	24.9
11/02/2018	24.4
12/02/2018	25.5
13/02/2018	23.2
14/02/2018	21.2
15/02/2018	21.4
16/02/2018	22.4
17/02/2018	22.6
18/02/2018	20.4
19/02/2018	22.2
20/02/2018	23.5
21/02/2018	24.4
22/02/2018	24.9
23/02/2018	24.3
24/02/2018	23.3
25/02/2018	23.3
26/02/2018	21.9
27/02/2018	22.7
28/02/2018	25
01/03/2018	25
02/03/2018	25
03/03/2018	23.7
04/03/2018	24.9
05/03/2018	24.7
06/03/2018	25.1
07/03/2018	24.8
08/03/2018	24.4
09/03/2018	24.3
10/03/2018	24.1
11/03/2018	24.8
12/03/2018	26.4
13/03/2018	26.6
14/03/2018	27.5
15/03/2018	25.5
16/03/2018	25.8
17/03/2018	25.2
18/03/2018	25.7
19/03/2018	26.3
20/03/2018	25.7
21/03/2018	23.4
22/03/2018	23.5
23/03/2018	24.9
24/03/2018	25.3
25/03/2018	25.7
26/03/2018	23.9
27/03/2018	23.9
28/03/2018	23.8
29/03/2018	23.4
30/03/2018	23.9
31/03/2018	22.8
01/04/2018	23.3
02/04/2018	22.3
03/04/2018	22.4
04/04/2018	22.7
05/04/2018	22.6
06/04/2018	23.1
07/04/2018	23.2
08/04/2018	23.2
09/04/2018	23.7
10/04/2018	23.4
11/04/2018	21.1
12/04/2018	22.8
13/04/2018	24.3
14/04/2018	23.2
15/04/2018	21.3
16/04/2018	20.6
17/04/2018	20.1
18/04/2018	20.1
