Date	Temperature	Rainfall
1994-01-01	17.44	0
1994-01-02	17.72	0
1994-01-03	19.11	0
1994-01-04	18.72	0.01
1994-01-05	19.22	0
1994-01-06	17.78	0.28
1994-01-07	19.5	0
1994-01-08	16.67	0.04
1994-01-09	17	0.12
1994-01-10	16.72	0.39
1994-01-11	18	0.12
1994-01-12	20.78	0
1994-01-13	23.28	0
1994-01-14	24.17	0
1994-01-15	13.83	0
1994-01-16	17.61	0
1994-01-17	15.72	0.12
1994-01-18	15.11	0.67
1994-01-19	14.06	0.2
1994-01-20	17.83	0
1994-01-21	14.72	0
1994-01-22	18.17	0
1994-01-23	16.61	0
1994-01-24	17.61	0
1994-01-25	18.89	0.31
1994-01-26	20.44	0
1994-01-27	17.94	0
1994-01-28	18.83	0
1994-01-29	18.44	0
1994-01-30	17.56	0.08
1994-01-31	21.56	0
1994-02-01	20.61	0
1994-02-02	21.61	0
1994-02-03	18.78	0
1994-02-04	18.56	0
1994-02-05	20.22	0.01
1994-02-06	21.5	0
1994-02-07	22.78	0
1994-02-08	19.78	0.47
1994-02-09	21.56	0
1994-02-10	18.78	0
1994-02-11	16.06	0.83
1994-02-12	17.67	0.04
1994-02-13	17.67	0.47
1994-02-14	16.11	0.12
1994-02-15	14.67	0
1994-02-16	16.5	1.06
1994-02-17	18.11	0
1994-02-18	18.77	0
1994-02-19	19.44	0.94
1994-02-20	18.72	0.04
1994-02-21	15.94	0
1994-02-22	20.22	0
1994-02-23	20.33	0
1994-02-24	16.94	0
1994-02-25	15.5	0.39
1994-02-26	17	0
1994-02-27	18.67	0
1994-02-28	17.28	0
1994-03-01	21.83	0.02
1994-03-02	18.5	0
1994-03-03	18.17	0
1994-03-04	16.67	0.51
1994-03-05	15.44	0.24
1994-03-06	18.28	0.75
1994-03-07	17.89	0.16
1994-03-08	18.11	0.08
1994-03-09	14.72	0
1994-03-10	18.17	0
1994-03-11	17.67	0
1994-03-12	17.56	0
1994-03-13	16.72	0.16
1994-03-14	18.67	0
1994-03-15	14.67	0
1994-03-16	17.44	0.04
1994-03-17	17.11	0.55
1994-03-18	16.94	0.67
1994-03-19	15.06	0.08
1994-03-20	15.94	0
1994-03-21	14.61	0
1994-03-22	17.61	0
1994-03-23	19.11	0
1994-03-24	18.17	0.28
1994-03-25	17.94	0.59
1994-03-26	18.17	0
1994-03-27	19.33	0
1994-03-28	19.5	0
1994-03-29	20.78	0
1994-03-30	19.44	0.04
1994-03-31	17.61	0
1994-04-01	18.44	0
1994-04-02	20.06	0
1994-04-03	17.83	0
1994-04-04	17.61	0
1994-04-05	17.39	0
1994-04-06	16.17	0.59
1994-04-07	16.56	0
1994-04-08	16.39	0
1994-04-09	18.89	0.39
1994-04-10	18.28	0
1994-04-11	20.67	0
1994-04-12	19.06	0
1994-04-13	19.44	0
1994-04-14	17.67	0
1994-04-15	18	0
1994-04-16	21.22	0.02
1994-04-17	18.94	0
1994-04-18	17.17	0
1994-04-19	17.94	0
1994-04-20	20.78	0
1994-04-21	18.06	0.28
1994-04-22	17	0.39
1994-04-23	16.17	0.98
1994-04-24	17.67	0.12
1994-04-25	18.33	0.16
1994-04-26	18.11	0.08
1994-04-27	18.83	0.39
1994-04-28	18	0
1994-04-29	18	0.12
1994-04-30	17.44	0
1994-05-01	16.11	1.02
1994-05-02	17.5	0.43
1994-05-03	17.89	0.12
1994-05-04	17.5	0.51
1994-05-05	19.61	0
1994-05-06	16.94	0
1994-05-07	17.56	0
1994-05-08	17.78	0.08
1994-05-09	17.56	0
1994-05-10	19.06	0
1994-05-11	17.56	0.16
1994-05-12	16.89	0.02
1994-05-13	17.67	0
1994-05-14	17.72	0
1994-05-15	16.61	0.16
1994-05-16	17	0.04
1994-05-17	16.61	0.12
1994-05-18	16.17	0.04
1994-05-19	14.78	0
