Date	Day	T	I	N
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
21-09-2017	264	15.68	5.013684211	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
22-09-2017	265	15.68	4.014893617	7.42E-05
23-09-2017	266	15.68	2.194623656	7.42E-05
23-09-2017	266	15.68	2.194623656	7.42E-05
23-09-2017	266	15.68	2.194623656	7.42E-05
23-09-2017	266	15.68	2.194623656	7.42E-05
23-09-2017	266	15.68	2.194623656	7.42E-05
23-09-2017	266	15.68	2.194623656	7.42E-05
23-09-2017	266	15.68	2.194623656	7.42E-05
23-09-2017	266	15.68	2.194623656	7.42E-05
