Date	Temp
01/01/2018	12
02/01/2018	8
03/01/2018	12
04/01/2018	13
05/01/2018	11
06/01/2018	10
07/01/2018	8
08/01/2018	8
09/01/2018	8
10/01/2018	10
11/01/2018	9
12/01/2018	6
13/01/2018	6
14/01/2018	5
15/01/2018	8
16/01/2018	8
17/01/2018	5
18/01/2018	9
18/01/2018	8
20/01/2018	5
21/01/2018	6
22/01/2018	10
23/01/2018	9
24/01/2018	13
25/01/2018	14
26/01/2018	10
27/01/2018	8
28/01/2018	9
29/01/2018	10
30/01/2018	10
31/01/2018	10
01/02/2018	7
02/02/2018	5
03/02/2018	5
04/02/2018	3
05/02/2018	3
06/02/2018	4
07/02/2018	3
08/02/2018	3
09/02/2018	4
10/02/2018	4
11/02/2018	6
12/02/2018	4
13/02/2018	6
14/02/2018	7
15/02/2018	4
16/02/2018	9
17/02/2018	3
18/02/2018	4
18/02/2018	3
20/02/2018	4
21/02/2018	5
22/02/2018	3
23/02/2018	2
24/02/2018	4
25/02/2018	0
26/02/2018	-4
27/02/2018	-4
28/02/2018	-2
01/03/2018	0
02/03/2018	1
03/03/2018	6
04/03/2018	11
05/03/2018	10
06/03/2018	11
07/03/2018	11
08/03/2018	12
09/03/2018	13
10/03/2018	14
11/03/2018	15
12/03/2018	14
13/03/2018	10
14/03/2018	12
15/03/2018	12
16/03/2018	14
17/03/2018	6
18/03/2018	2
18/03/2018	2
20/03/2018	3
21/03/2018	6
22/03/2018	4
23/03/2018	8
24/03/2018	13
25/03/2018	14
26/03/2018	10
27/03/2018	13
28/03/2018	11
29/03/2018	10
30/03/2018	15
31/03/2018	13
01/04/2018	9
02/04/2018	15
03/04/2018	20
04/04/2018	18
05/04/2018	12
06/04/2018	17
07/04/2018	23
08/04/2018	24
09/04/2018	22
10/04/2018	20
11/04/2018	19
12/04/2018	19
13/04/2018	14
14/04/2018	20
15/04/2018	21
16/04/2018	21
17/04/2018	23
18/04/2018	25
18/04/2018	27
20/04/2018	28
21/04/2018	28
22/04/2018	29
23/04/2018	20
24/04/2018	20
25/04/2018	21
26/04/2018	16
27/04/2018	22
28/04/2018	18
29/04/2018	25
30/04/2018	18
01/05/2018	14
02/05/2018	17
03/05/2018	19
04/05/2018	22
05/05/2018	24
06/05/2018	25
07/05/2018	26
08/05/2018	27
09/05/2018	26
10/05/2018	17
11/05/2018	22
12/05/2018	26
13/05/2018	17
14/05/2018	17
15/05/2018	22
16/05/2018	18
17/05/2018	18
18/05/2018	20
18/05/2018	21
20/05/2018	18
21/05/2018	24
22/05/2018	26
23/05/2018	23
24/05/2018	22
25/05/2018	26
26/05/2018	28
27/05/2018	30
28/05/2018	29
29/05/2018	24
30/05/2018	29
31/05/2018	26
01/06/2018	24
02/06/2018	25
03/06/2018	28
04/06/2018	30
05/06/2018	29
06/06/2018	29
07/06/2018	25
08/06/2018	28
09/06/2018	29
10/06/2018	28
11/06/2018	28
12/06/2018	23
13/06/2018	20
14/06/2018	23
15/06/2018	24
16/06/2018	29
17/06/2018	25
18/06/2018	24
18/06/2018	26
20/06/2018	31
21/06/2018	28
22/06/2018	19
23/06/2018	22
24/06/2018	22
25/06/2018	23
26/06/2018	27
27/06/2018	27
28/06/2018	26
29/06/2018	30
30/06/2018	31
01/07/2018	29
02/07/2018	29
03/07/2018	29
04/07/2018	32
05/07/2018	23
06/07/2018	26
07/07/2018	28
08/07/2018	28
09/07/2018	28
10/07/2018	23
11/07/2018	22
12/07/2018	26
13/07/2018	29
14/07/2018	31
15/07/2018	31
16/07/2018	29
17/07/2018	31
18/07/2018	30
18/07/2018	30
20/07/2018	31
21/07/2018	23
22/07/2018	25
23/07/2018	29
24/07/2018	32
25/07/2018	34
26/07/2018	34
27/07/2018	34
28/07/2018	32
29/07/2018	32
30/07/2018	35
31/07/2018	35
01/08/2018	35
02/08/2018	32
03/08/2018	35
04/08/2018	36
05/08/2018	33
06/08/2018	35
07/08/2018	36
08/08/2018	31
09/08/2018	34
10/08/2018	26
11/08/2018	26
12/08/2018	30
13/08/2018	23
14/08/2018	26
15/08/2018	27
16/08/2018	31
17/08/2018	31
18/08/2018	27
18/08/2018	30
20/08/2018	30
21/08/2018	31
22/08/2018	33
23/08/2018	31
24/08/2018	20
25/08/2018	17
26/08/2018	22
27/08/2018	24
28/08/2018	26
29/08/2018	29
30/08/2018	22
31/08/2018	20
01/09/2018	22
02/09/2018	18
03/09/2018	23
04/09/2018	26
05/09/2018	28
06/09/2018	28
07/09/2018	22
08/09/2018	23
09/09/2018	26
10/09/2018	29
11/09/2018	29
12/09/2018	31
13/09/2018	22
14/09/2018	22
15/09/2018	22
16/09/2018	26
17/09/2018	28
18/09/2018	30
18/09/2018	30
20/09/2018	31
21/09/2018	26
22/09/2018	20
23/09/2018	25
24/09/2018	18
25/09/2018	17
26/09/2018	19
27/09/2018	23
28/09/2018	22
29/09/2018	18
30/09/2018	20
01/10/2018	16
02/10/2018	12
03/10/2018	16
04/10/2018	20
05/10/2018	22
06/10/2018	23
07/10/2018	22
08/10/2018	22
09/10/2018	22
10/10/2018	24
11/10/2018	19
12/10/2018	27
13/10/2018	27
14/10/2018	26
15/10/2018	23
16/10/2018	24
17/10/2018	22
18/10/2018	21
18/10/2018	19
20/10/2018	18
21/10/2018	17
22/10/2018	16
23/10/2018	14
24/10/2018	13
25/10/2018	15
26/10/2018	15
27/10/2018	10
28/10/2018	7
29/10/2018	7
30/10/2018	8
31/10/2018	13
01/11/2018	12
02/11/2018	14
03/11/2018	13
04/11/2018	14
05/11/2018	13
06/11/2018	16
07/11/2018	16
08/11/2018	14
09/11/2018	15
10/11/2018	13
11/11/2018	17
12/11/2018	17
13/11/2018	14
14/11/2018	14
15/11/2018	9
16/11/2018	10
17/11/2018	10
18/11/2018	7
18/11/2018	4
20/11/2018	6
21/11/2018	4
22/11/2018	7
23/11/2018	7
24/11/2018	9
25/11/2018	10
26/11/2018	6
27/11/2018	5
28/11/2018	6
29/11/2018	9
30/11/2018	8
01/12/2018	11
02/12/2018	13
03/12/2018	14
04/12/2018	11
05/12/2018	8
06/12/2018	12
07/12/2018	12
08/12/2018	10
09/12/2018	11
10/12/2018	7
11/12/2018	5
12/12/2018	4
13/12/2018	2
14/12/2018	1
15/12/2018	1
16/12/2018	3
17/12/2018	6
18/12/2018	6
18/12/2018	8
20/12/2018	8
21/12/2018	12
22/12/2018	12
23/12/2018	13
24/12/2018	13
25/12/2018	5
26/12/2018	3
27/12/2018	3
28/12/2018	2
29/12/2018	3
30/12/2018	7
31/12/2018	7
