Date	Precip	Tair	RH	Twater
1/1/1972	0	0.6	93	5.8
2/1/1972	0	-2.3	97	5
3/1/1972	2.1	-0.8	96	5.5
4/1/1972	0	1.8	82	5.9
5/1/1972	0	0.6	77	5.5
6/1/1972	0	-0.6	83	5.2
7/1/1972	0	-1.9	94	5.1
8/1/1972	0	-1.2	96	5.3
9/1/1972	0.3	2.7	79	6.1
10/1/1972	2.4	6	91	7.3
11/1/1972	0	6.8	84	7.4
12/1/1972	0	4.8	87	6.8
13/1/1972	0	2	98	6.2
14/1/1972	0.1	1	98	6
15/1/1972	0	0.3	96	5.7
16/1/1972	0	-2.6	95	4.9
17/1/1972	0	-5.7	90	3.9
18/1/1972	0	-6.8	85	3.5
19/1/1972	0	-1.7	89	5
20/1/1972	0.3	2.6	75	6
21/1/1972	3.8	0.2	96	5.8
22/1/1972	0	-0.3	93	5.5
23/1/1972	0	-1	91	5.3
24/1/1972	2.5	-0.7	82	5.3
25/1/1972	11.1	-1.1	98	5.8
26/1/1972	2.5	-2.2	84	4.9
27/1/1972	0	1.4	90	5.9
28/1/1972	0.5	0.6	81	5.6
29/1/1972	1.2	-6	78	3.7
30/1/1972	0.5	-8.3	87	3.2
31/1/1972	0.2	-6.8	82	3.5
1/2/1972	0	-3.8	79	4.3
2/2/1972	0	2.9	77	6.1
3/2/1972	4.4	3.5	71	6.4
4/2/1972	0.4	2.2	95	6.3
5/2/1972	0	3	85	6.3
6/2/1972	0	5.8	74	6.9
7/2/1972	0	11.8	46	8.1
8/2/1972	0.1	7.2	85	7.5
9/2/1972	1.8	3.8	98	6.8
10/2/1972	2.2	3.3	98	6.7
11/2/1972	2.6	5.5	86	7.1
12/2/1972	0.3	3.3	84	6.4
13/2/1972	0.5	4.2	70	6.4
14/2/1972	0.6	2	92	6.2
15/2/1972	0	3.1	70	6.1
16/2/1972	0	5.6	49	6.4
17/2/1972	0	2.4	83	6.1
18/2/1972	0	3.5	80	6.4
19/2/1972	0	-0.1	97	5.6
20/2/1972	0	1.9	93	6.1
21/2/1972	0	6.4	68	7
22/2/1972	0	2.2	88	6.1
23/2/1972	0	1.2	91	5.9
24/2/1972	0	2.8	85	6.2
25/2/1972	0	2	90	6.1
26/2/1972	0	0.9	95	5.9
27/2/1972	0	1.9	91	6.1
28/2/1972	0	1.2	93	5.9
29/2/1972	0	3.2	89	6.4
1/3/1972	0	4	86	6.6
2/3/1972	0	3.8	85	6.5
3/3/1972	0	5	68	6.6
4/3/1972	2.7	4.2	80	6.7
5/3/1972	0.1	3.2	88	6.4
6/3/1972	0.3	5.8	66	6.8
7/3/1972	0.6	3.6	84	6.5
8/3/1972	0	5.4	67	6.7
9/3/1972	2	7	74	7.3
10/3/1972	13.3	3.2	98	7.1
11/3/1972	0.1	2.4	96	6.3
12/3/1972	0	-0.8	81	5.2
13/3/1972	0	3.4	77	6.3
14/3/1972	0	8.8	68	7.7
15/3/1972	0	10.6	61	8
16/3/1972	0	10.4	58	7.9
17/3/1972	0	10	67	8
18/3/1972	0	12.6	54	8.5
19/3/1972	0	12.9	50	8.5
20/3/1972	0	13	52	8.6
21/3/1972	0	11	58	8.1
22/3/1972	0	11.6	56	8.2
23/3/1972	0	11.8	43	8.1
24/3/1972	0	8.6	57	7.4
25/3/1972	0	11.1	45	7.9
26/3/1972	0.4	9.9	63	7.9
27/3/1972	5.4	5.6	82	7.2
28/3/1972	0.5	4.2	79	6.6
29/3/1972	0	5.2	67	6.6
30/3/1972	0	6.7	61	6.9
31/3/1972	0.7	9.9	70	8
1/4/1972	15.8	8.4	89	8.5
2/4/1972	0.3	12.1	83	8.9
3/4/1972	0	12.6	81	8.9
4/4/1972	3.3	12.8	77	9.1
5/4/1972	1.4	8.1	74	7.6
6/4/1972	3	8.5	85	8
7/4/1972	4.3	13.2	73	9.1
8/4/1972	1.7	7.3	81	7.5
9/4/1972	0	9.9	60	7.8
10/4/1972	0.9	8.9	68	7.7
11/4/1972	2.6	4.8	88	7
12/4/1972	0	6.3	72	7
13/4/1972	0	9	62	7.6
14/4/1972	0	10.2	58	7.9
15/4/1972	30.5	3.1	91	7.6
16/4/1972	2.2	3.4	87	6.5
17/4/1972	2.5	3.6	94	6.7
18/4/1972	0.4	5.1	92	7
19/4/1972	0.3	4.5	78	6.6
20/4/1972	0	7.8	80	7.6
21/4/1972	3	6.5	88	7.5
22/4/1972	2	7	95	7.7
23/4/1972	0.2	8.6	85	7.9
24/4/1972	0	6.6	75	7.1
25/4/1972	0	2.1	48	5.4
26/4/1972	0.2	5.9	46	6.5
27/4/1972	4.8	4.4	88	6.9
28/4/1972	0.2	4.2	78	6.5
29/4/1972	0	10	52	7.7
30/4/1972	0	16.2	36	9.2
1/5/1972	0	15.3	50	9.2
2/5/1972	0.5	14.6	59	9.2
3/5/1972	0	15.2	56	9.3
4/5/1972	3	8.8	85	8.1
5/5/1972	2.4	10.1	86	8.4
6/5/1972	0.8	11	91	8.7
7/5/1972	11.8	13.4	76	9.5
8/5/1972	3	13.6	74	9.2
9/5/1972	5	13.4	70	9.2
10/5/1972	4.6	8.7	77	7.9
11/5/1972	0.1	7.4	83	7.5
12/5/1972	11.4	5.2	85	7.3
13/5/1972	4.4	10.6	57	8.1
14/5/1972	3.7	4.9	95	7.1
15/5/1972	3.5	6	92	7.4
16/5/1972	9.6	4.8	94	7.3
17/5/1972	0	6.8	83	7.3
18/5/1972	0	10.2	63	8
19/5/1972	0	11.2	67	8.3
20/5/1972	1.1	11.1	80	8.5
21/5/1972	0	12.2	71	8.7
22/5/1972	0	16.6	51	9.6
23/5/1972	5.2	14.6	71	9.5
24/5/1972	0.1	14.5	71	9.3
25/5/1972	0.1	15.8	80	9.8
26/5/1972	4.5	15.2	82	9.9
27/5/1972	6.3	9	74	8
28/5/1972	0.9	9.3	82	8.1
29/5/1972	0	13.4	74	9.1
30/5/1972	0.7	13.3	67	8.9
31/5/1972	0	11.4	73	8.5
1/6/1972	7.8	10.7	71	8.5
2/6/1972	0.2	9.9	80	8.2
3/6/1972	0	15.6	59	9.4
4/6/1972	0	20.9	50	10.8
5/6/1972	0.6	18.6	72	10.5
6/6/1972	17.8	12.6	90	9.8
7/6/1972	35	13.7	84	10.6
8/6/1972	0	11	71	8.3
9/6/1972	0.3	14.2	68	9.2
10/6/1972	0.6	10.6	81	8.4
11/6/1972	24.9	9.1	94	9.1
12/6/1972	2	9.6	90	8.3
13/6/1972	0	13.4	70	9
14/6/1972	13.1	15.1	77	10.1
15/6/1972	9.3	12.6	92	9.5
16/6/1972	7.4	11.3	87	9
17/6/1972	0	12.1	77	8.7
18/6/1972	0	16.4	59	9.6
19/6/1972	1.9	14.8	79	9.6
20/6/1972	0	14.6	67	9.3
21/6/1972	0	17.1	66	10
22/6/1972	0	17.7	63	10.1
23/6/1972	0	13.5	68	9
24/6/1972	0	12.2	80	8.8
25/6/1972	0	17.7	66	10.1
