,station,day,month,year,precip(mm),Air Temp(C ),Humidity(%),Water_Temp(C ) 
1,15951,1,4,1976,0,8.8,66,7.6
2,15951,2,4,1976,0,12.2,45,8.2
3,15951,3,4,1976,0.8,5.6,88,7.1
4,15951,4,4,1976,0.3,10.1,83,8.3
5,15951,5,4,1976,0,7.4,83,7.5
6,15951,6,4,1976,0.6,9.8,70,8.0
7,15951,7,4,1976,3,6.5,70,7.1
8,15951,8,4,1976,0,2.1,68,5.8
9,15951,9,4,1976,0,0.8,72,5.5
10,15951,10,4,1976,0,3,65,6.0
11,15951,11,4,1976,0,3,66,6.0
12,15951,12,4,1976,0,4.4,64,6.3
13,15951,13,4,1976,0,6,66,6.8
14,15951,14,4,1976,0.8,6,84,7.2
15,15951,15,4,1976,0,11.4,55,8.2
16,15951,16,4,1976,0,10.1,59,7.9
17,15951,17,4,1976,0,10,65,7.9
18,15951,18,4,1976,0,9.5,65,7.8
19,15951,19,4,1976,0,13.3,57,8.7
20,15951,20,4,1976,0,15.2,42,9.0
21,15951,21,4,1976,0,11.4,49,8.1
22,15951,22,4,1976,0,6.1,56,6.7
23,15951,23,4,1976,0.6,4.8,48,6.2
24,15951,24,4,1976,5.7,3.1,90,6.6
25,15951,25,4,1976,1.7,4.8,91,7.0
26,15951,26,4,1976,0,7.7,78,7.5
27,15951,27,4,1976,0,2.8,84,6.2
28,15951,28,4,1976,0,1.6,59,5.5
29,15951,29,4,1976,0,2.8,56,5.7
30,15951,30,4,1976,0,5,57,6.4
31,15951,1,5,1976,0,6,67,6.8
32,15951,2,5,1976,0,9.4,58,7.7
33,15951,3,5,1976,1.2,10.6,74,8.3
34,15951,4,5,1976,0,9.2,65,7.7
35,15951,5,5,1976,0,12.4,65,8.6
36,15951,6,5,1976,0,15.4,62,9.4
37,15951,7,5,1976,0,16.1,61,9.6
38,15951,8,5,1976,0,17.7,52,9.9
39,15951,9,5,1976,0,17.5,53,9.9
40,15951,10,5,1976,0,17.5,75,10.2
41,15951,11,5,1976,6.9,11.6,90,9.1
42,15951,12,5,1976,0,13.8,66,9.0
43,15951,13,5,1976,6.5,7.8,83,7.9
44,15951,14,5,1976,0,8.1,68,7.5
45,15951,15,5,1976,0,13,50,8.5
46,15951,16,5,1976,0,11.6,70,8.5
47,15951,17,5,1976,0.4,16.4,57,9.6
48,15951,18,5,1976,0,17.6,66,10.1
49,15951,19,5,1976,0.2,14.1,76,9.3
50,15951,20,5,1976,2.4,12,74,8.7
51,15951,21,5,1976,2.9,10.2,75,8.3
52,15951,22,5,1976,0,9,79,7.9
53,15951,23,5,1976,0,12,69,8.6
54,15951,24,5,1976,0,11.6,64,8.4
55,15951,25,5,1976,3.2,13.8,76,9.3
56,15951,26,5,1976,0,12,66,8.5
57,15951,27,5,1976,0,10.6,75,8.3
58,15951,28,5,1976,0,12.8,69,8.8
59,15951,29,5,1976,0.2,17.2,54,9.8
60,15951,30,5,1976,0,16.1,56,9.5
61,15951,31,5,1976,8.9,16.4,59,10.0
62,15951,1,6,1976,8.9,13.7,94,9.8
63,15951,2,6,1976,0.2,11,84,8.6
64,15951,3,6,1976,0.1,9.4,68,7.8
65,15951,4,6,1976,0.3,9,78,7.9
66,15951,5,6,1976,0,10.6,69,8.2
67,15951,6,6,1976,0,14.9,67,9.4
68,15951,7,6,1976,0,16.2,63,9.7
69,15951,8,6,1976,0,18.2,68,10.3
70,15951,9,6,1976,0,20.4,65,10.9
71,15951,10,6,1976,0,20.2,57,10.7
72,15951,11,6,1976,0,17,69,10.0
73,15951,12,6,1976,0,18.4,62,10.3
74,15951,13,6,1976,0,18.5,66,10.4
75,15951,14,6,1976,0,18.3,66,10.3
76,15951,15,6,1976,0,21,60,11.0
77,15951,16,6,1976,0,15.8,55,9.4
78,15951,17,6,1976,0,14.8,59,9.2
79,15951,18,6,1976,0,16.8,54,9.7
80,15951,19,6,1976,0,19.3,58,10.5
81,15951,20,6,1976,0,19.5,54,10.4
82,15951,21,6,1976,0,18.2,64,10.2
83,15951,22,6,1976,0,19.4,61,10.5
84,15951,23,6,1976,0,20.2,54,10.6
85,15951,24,6,1976,0,19.9,61,10.7
86,15951,25,6,1976,0,20.3,56,10.7
87,15951,26,6,1976,0,21.2,54,10.9
88,15951,27,6,1976,0,21.8,55,11.1
89,15951,28,6,1976,0,22,53,11.1
90,15951,29,6,1976,0,23.6,52,11.6
91,15951,30,6,1976,0,24.4,43,11.6
92,15951,1,7,1976,0,22.6,43,11.1
93,15951,2,7,1976,0,20.6,53,10.7
94,15951,3,7,1976,0,22.6,51,11.3
95,15951,4,7,1976,0,22.9,53,11.4
96,15951,5,7,1976,0,22,57,11.2
97,15951,6,7,1976,0,22.4,47,11.1
98,15951,7,7,1976,0,21.4,45,10.8
99,15951,8,7,1976,1.9,19.4,71,10.8
100,15951,9,7,1976,0,18.8,68,10.5
101,15951,10,7,1976,0,19.2,61,10.5
102,15951,11,7,1976,0,19.9,71,10.8
103,15951,12,7,1976,16.1,21.6,67,11.9
104,15951,13,7,1976,0,18.6,80,10.6
105,15951,14,7,1976,0,19.3,70,10.7
106,15951,15,7,1976,0,21,69,11.1
107,15951,16,7,1976,0,25.2,53,12.0
108,15951,17,7,1976,12.8,22.4,67,12.0
109,15951,18,7,1976,0,21.1,77,11.3
110,15951,19,7,1976,0,20.6,73,11.1
111,15951,20,7,1976,39.3,19.8,73,12.3
112,15951,21,7,1976,13.3,14,89,10.0
113,15951,22,7,1976,12.6,13,91,9.7
114,15951,23,7,1976,0,13.7,76,9.2
115,15951,24,7,1976,2.6,14.7,76,9.6
116,15951,25,7,1976,4.9,13.9,86,9.6
117,15951,26,7,1976,6,13.8,92,9.7
118,15951,27,7,1976,1.2,15.2,88,9.8
119,15951,28,7,1976,0,15.8,77,9.8
120,15951,29,7,1976,0,12.8,73,8.9
121,15951,30,7,1976,0,16.2,72,9.8
122,15951,31,7,1976,0,15,76,9.5
123,15951,1,8,1976,0,12,72,8.6
124,15951,2,8,1976,0,13.2,73,9.0
125,15951,3,8,1976,0.3,14.2,78,9.4
126,15951,4,8,1976,1.4,13.6,85,9.3
127,15951,5,8,1976,0,14.1,77,9.3
128,15951,6,8,1976,0,15,77,9.6
129,15951,7,8,1976,0,16.1,73,9.8
130,15951,8,8,1976,0,16,66,9.7
131,15951,9,8,1976,0,16,62,9.6
132,15951,10,8,1976,0.3,16.6,64,9.8
133,15951,11,8,1976,0,16.2,85,10.0
134,15951,12,8,1976,0.8,14.3,91,9.6
135,15951,13,8,1976,0,15.3,80,9.7
136,15951,14,8,1976,0,15.2,76,9.6
137,15951,15,8,1976,0,15.4,73,9.6
138,15951,16,8,1976,0,15.3,64,9.4
139,15951,17,8,1976,0,14.1,73,9.2
140,15951,18,8,1976,0,15.1,71,9.5
141,15951,19,8,1976,0,15.4,72,9.6
142,15951,20,8,1976,0,16.3,68,9.8
143,15951,21,8,1976,0,16.4,61,9.7
144,15951,22,8,1976,0,17.2,47,9.7
145,15951,23,8,1976,0,14.8,63,9.3
146,15951,24,8,1976,0,14.8,67,9.3
147,15951,25,8,1976,0,14.1,66,9.1
148,15951,26,8,1976,0,15.6,63,9.5
149,15951,27,8,1976,18,14.5,71,10.0
150,15951,28,8,1976,0.5,15,79,9.6
151,15951,29,8,1976,0.6,17.6,84,10.4
152,15951,30,8,1976,3.4,16.3,86,10.2
153,15951,31,8,1976,0.5,14.5,81,9.5
154,15951,1,9,1976,0.8,14,82,9.4
155,15951,2,9,1976,14.4,11.7,94,9.4
156,15951,3,9,1976,0.1,10.1,80,8.2
157,15951,4,9,1976,2.1,9.9,81,8.3
158,15951,5,9,1976,0,11.6,85,8.7
159,15951,6,9,1976,0,9.8,79,8.1
160,15951,7,9,1976,0,10,73,8.1
161,15951,8,9,1976,1,13,74,9.0
162,15951,9,9,1976,20.3,12.8,91,9.9
163,15951,10,9,1976,1.6,8.7,89,8.0
164,15951,11,9,1976,1,11.2,76,8.5
165,15951,12,9,1976,1.2,13.5,85,9.3
166,15951,13,9,1976,3.2,10.6,95,8.7
167,15951,14,9,1976,1.8,9.8,87,8.3
168,15951,15,9,1976,11.6,10.4,90,8.9
169,15951,16,9,1976,5.9,8.6,94,8.3
170,15951,17,9,1976,0,10.6,91,8.6
171,15951,18,9,1976,0,9.6,91,8.3
172,15951,19,9,1976,0,10.4,80,8.3
173,15951,20,9,1976,0,10.4,83,8.4
174,15951,21,9,1976,0,9.1,77,7.9
175,15951,22,9,1976,0,9.6,79,8.1
176,15951,23,9,1976,0.1,12.6,82,9.0
177,15951,24,9,1976,0,14.6,80,9.5
178,15951,25,9,1976,0.2,14.6,83,9.6
179,15951,26,9,1976,6.8,14.8,90,10.0
180,15951,27,9,1976,16.6,16.8,86,10.8
181,15951,28,9,1976,15.2,16.2,92,10.7
182,15951,29,9,1976,0,13.4,90,9.3
183,15951,30,9,1976,0,14,87,9.4
184,15951,1,10,1976,8.4,15.2,91,10.2
185,15951,2,10,1976,0.5,13.4,93,9.4
186,15951,3,10,1976,0.3,11.4,88,8.7
187,15951,4,10,1976,7,13.4,84,9.5
188,15951,5,10,1976,0.2,8.2,80,7.7
189,15951,6,10,1976,1.1,12.8,87,9.1
190,15951,7,10,1976,0,17,78,10.1
191,15951,8,10,1976,0,16.8,83,10.2
192,15951,9,10,1976,0,12.4,78,8.8
193,15951,10,10,1976,0,11.4,84,8.7
194,15951,11,10,1976,0,12.4,78,8.8
195,15951,12,10,1976,11.1,10.4,91,8.9
196,15951,13,10,1976,21.6,9.3,95,9.1
197,15951,14,10,1976,2.3,10.6,84,8.5
198,15951,15,10,1976,0,5.8,83,7.1
199,15951,16,10,1976,0,4.1,79,6.5
200,15951,17,10,1976,4.4,5.2,93,7.2
201,15951,18,10,1976,0.5,7.8,92,7.8
202,15951,19,10,1976,2.8,9.6,89,8.3
203,15951,20,10,1976,0,10.9,85,8.5
204,15951,21,10,1976,0,7.2,87,7.5
205,15951,22,10,1976,0,6.2,81,7.1
206,15951,23,10,1976,0,8.4,84,7.8
207,15951,24,10,1976,0,9.9,76,8.1
208,15951,25,10,1976,0,5.9,83,7.1
209,15951,26,10,1976,0,4.8,91,6.9
210,15951,27,10,1976,0,6.1,93,7.3
211,15951,28,10,1976,0.2,7,93,7.6
212,15951,29,10,1976,0,8.1,83,7.7
213,15951,30,10,1976,11.6,7.6,94,8.2
214,15951,31,10,1976,0.8,5.6,92,7.2
215,15951,1,11,1976,2.4,5.9,82,7.2
216,15951,2,11,1976,5.8,9,83,8.2
217,15951,3,11,1976,2.3,3.2,92,6.6
218,15951,4,11,1976,0,2.4,89,6.2
219,15951,5,11,1976,0,4.2,86,6.7
220,15951,6,11,1976,4.8,4.2,89,6.9
221,15951,7,11,1976,4.6,7,93,7.7
222,15951,8,11,1976,1.4,5,82,6.9
223,15951,9,11,1976,4.6,9.1,75,8.0
224,15951,10,11,1976,3.5,9.4,86,8.3
225,15951,11,11,1976,1.5,5.3,90,7.1
226,15951,12,11,1976,0,5.8,88,7.1
227,15951,13,11,1976,5.7,6.8,94,7.7
228,15951,14,11,1976,0.7,6.2,94,7.4
229,15951,15,11,1976,0.1,5.9,93,7.3
230,15951,16,11,1976,0,5.6,87,7.1
231,15951,17,11,1976,0,5.2,85,6.9
232,15951,18,11,1976,0,4.4,77,6.6
233,15951,19,11,1976,0,4.7,78,6.7
234,15951,20,11,1976,0,2.6,70,5.9
235,15951,21,11,1976,0,0.8,75,5.5
