Date	Tavg
21/3/2016	22
22/3/2016	22
23/3/2016	22
24/3/2016	22
25/3/2016	22
26/3/2016	22
27/3/2016	22
28/3/2016	22
29/3/2016	22
30/3/2016	22
31/3/2016	22
1/4/2016	22
2/4/2016	22
3/4/2016	22
4/4/2016	22
5/4/2016	22
6/4/2016	22
7/4/2016	22
8/4/2016	22
9/4/2016	22
10/4/2016	22
11/4/2016	22
12/4/2016	22
13/4/2016	22
14/4/2016	22
15/4/2016	22
16/4/2016	22
17/4/2016	22
18/4/2016	22
19/4/2016	22
20/4/2016	22
21/4/2016	22
22/4/2016	22
23/4/2016	22
24/4/2016	22
25/4/2016	22
26/4/2016	22
27/4/2016	22
28/4/2016	22
29/4/2016	22
30/4/2016	22
1/5/2016	22
2/5/2016	22
3/5/2016	22
4/5/2016	22
5/5/2016	22
6/5/2016	22
7/5/2016	22
8/5/2016	22
9/5/2016	22
10/5/2016	22
11/5/2016	22
12/5/2016	22
13/5/2016	22
14/5/2016	22
15/5/2016	22
16/5/2016	22
17/5/2016	22
18/5/2016	22
19/5/2016	22
20/5/2016	22
21/5/2016	22
22/5/2016	22
23/5/2016	22
24/5/2016	22
25/5/2016	22
26/5/2016	22
27/5/2016	22
28/5/2016	22
29/5/2016	22
30/5/2016	22
31/5/2016	22
1/6/2016	22
2/6/2016	22
3/6/2016	22
4/6/2016	22
5/6/2016	22
6/6/2016	22
7/6/2016	22
8/6/2016	22
9/6/2016	22
10/6/2016	22
11/6/2016	22
12/6/2016	22
13/6/2016	22
14/6/2016	22
15/6/2016	22
16/6/2016	22
17/6/2016	22
18/6/2016	22
19/6/2016	22
20/6/2016	22
21/6/2016	22
22/6/2016	22
23/6/2016	22
24/6/2016	22
25/6/2016	22
26/6/2016	22
27/6/2016	22
28/6/2016	22
29/6/2016	22
30/6/2016	22
1/7/2016	32
2/7/2016	32
3/7/2016	32
4/7/2016	32
5/7/2016	32
6/7/2016	32
7/7/2016	32
8/7/2016	32
9/7/2016	32
10/7/2016	32
11/7/2016	32
12/7/2016	32
13/7/2016	32
14/7/2016	32
15/7/2016	32
16/7/2016	32
17/7/2016	32
18/7/2016	32
19/7/2016	32
20/7/2016	32
21/7/2016	32
22/7/2016	32
23/7/2016	32
24/7/2016	32
25/7/2016	32
26/7/2016	32
27/7/2016	32
28/7/2016	32
29/7/2016	32
30/7/2016	32
31/7/2016	32
1/8/2016	32
2/8/2016	32
3/8/2016	32
4/8/2016	32
5/8/2016	32
6/8/2016	32
7/8/2016	32
8/8/2016	32
9/8/2016	32
10/8/2016	32
11/8/2016	32
12/8/2016	32
13/8/2016	32
14/8/2016	32
15/8/2016	32
16/8/2016	32
17/8/2016	32
18/8/2016	32
19/8/2016	32
20/8/2016	32
21/8/2016	32
22/8/2016	32
23/8/2016	32
24/8/2016	32
25/8/2016	32
26/8/2016	32
27/8/2016	32
28/8/2016	32
29/8/2016	32
30/8/2016	32
31/8/2016	32
1/9/2016	32
2/9/2016	32
3/9/2016	32
4/9/2016	32
5/9/2016	32
6/9/2016	32
7/9/2016	32
8/9/2016	32
9/9/2016	32
10/9/2016	21
11/9/2016	21
12/9/2016	21
13/9/2016	21
14/9/2016	21
15/9/2016	21
16/9/2016	21
17/9/2016	21
18/9/2016	21
19/9/2016	21
20/9/2016	21
21/9/2016	21
22/9/2016	21
23/9/2016	21
24/9/2016	21
25/9/2016	21
26/9/2016	21
27/9/2016	21
28/9/2016	21
29/9/2016	21
30/9/2016	21
1/10/2016	21
2/10/2016	21
3/10/2016	21
4/10/2016	21
5/10/2016	21
6/10/2016	21
7/10/2016	21
8/10/2016	21
9/10/2016	21
10/10/2016	21
11/10/2016	21
12/10/2016	21
13/10/2016	21
14/10/2016	21
15/10/2016	21
16/10/2016	21
17/10/2016	21
18/10/2016	21
19/10/2016	21
20/10/2016	21
21/10/2016	21
22/10/2016	21
23/10/2016	21
24/10/2016	21
25/10/2016	21
26/10/2016	21
27/10/2016	21
28/10/2016	21
29/10/2016	21
30/10/2016	21
31/10/2016	21
1/11/2016	21
2/11/2016	21
3/11/2016	21
4/11/2016	21
5/11/2016	21
6/11/2016	21
7/11/2016	21
8/11/2016	21
9/11/2016	21
10/11/2016	21
11/11/2016	21
12/11/2016	21
13/11/2016	21
14/11/2016	21
15/11/2016	21
16/11/2016	21
17/11/2016	21
18/11/2016	21
19/11/2016	21
20/11/2016	21
21/11/2016	21
22/11/2016	21
23/11/2016	21
24/11/2016	21
25/11/2016	21
26/11/2016	21
27/11/2016	21
28/11/2016	21
29/11/2016	21
30/11/2016	21
1/12/2016	21
2/12/2016	21
3/12/2016	21
4/12/2016	21
5/12/2016	21
6/12/2016	21
7/12/2016	21
8/12/2016	21
9/12/2016	21
10/12/2016	21
11/12/2016	21
12/12/2016	21
13/12/2016	21
14/12/2016	21
15/12/2016	21
16/12/2016	21
17/12/2016	21
18/12/2016	21
19/12/2016	21
20/12/2016	21
21/12/2016	21
22/12/2016	21
23/12/2016	21
24/12/2016	21
25/12/2016	21
26/12/2016	21
27/12/2016	21
28/12/2016	21
29/12/2016	21
30/12/2016	21
31/12/2016	21
1/1/2017	21
2/1/2017	21
3/1/2017	21
4/1/2017	21
5/1/2017	21
6/1/2017	21
7/1/2017	21
8/1/2017	21
9/1/2017	21
10/1/2017	21
11/1/2017	21
12/1/2017	21
13/1/2017	21
14/1/2017	21
15/1/2017	21
16/1/2017	21
17/1/2017	21
18/1/2017	21
19/1/2017	21
20/1/2017	21
