Date	Tavg
21/3/2016	22
22/3/2016	22
23/3/2016	22
24/3/2016	22
25/3/2016	22
26/3/2016	22
27/3/2016	22
28/3/2016	22
29/3/2016	22
30/3/2016	22
31/3/2016	22
1/4/2016	22
2/4/2016	22
3/4/2016	22
4/4/2016	22
5/4/2016	22
6/4/2016	22
7/4/2016	22
8/4/2016	22
9/4/2016	22
10/4/2016	22
11/4/2016	22
12/4/2016	22
13/4/2016	22
14/4/2016	22
15/4/2016	22
16/4/2016	22
17/4/2016	22
18/4/2016	22
19/4/2016	22
20/4/2016	22
21/4/2016	22
22/4/2016	22
23/4/2016	22
24/4/2016	22
25/4/2016	22
26/4/2016	22
27/4/2016	22
28/4/2016	22
29/4/2016	22
30/4/2016	22
1/5/2016	22
2/5/2016	22
3/5/2016	22
4/5/2016	22
5/5/2016	22
6/5/2016	22
7/5/2016	22
8/5/2016	22
9/5/2016	22
10/5/2016	22
11/5/2016	22
12/5/2016	22
13/5/2016	22
14/5/2016	22
15/5/2016	22
16/5/2016	22
17/5/2016	22
18/5/2016	22
19/5/2016	22
20/5/2016	22
21/5/2016	22
22/5/2016	22
23/5/2016	22
24/5/2016	22
25/5/2016	22
26/5/2016	22
27/5/2016	22
28/5/2016	22
29/5/2016	22
30/5/2016	22
31/5/2016	22
1/6/2016	22
2/6/2016	22
3/6/2016	22
4/6/2016	22
5/6/2016	22
6/6/2016	22
7/6/2016	22
8/6/2016	22
9/6/2016	22
10/6/2016	22
11/6/2016	22
12/6/2016	22
13/6/2016	22
14/6/2016	22
15/6/2016	22
16/6/2016	22
17/6/2016	22
18/6/2016	22
19/6/2016	22
20/6/2016	22
21/6/2016	22
22/6/2016	22
23/6/2016	22
24/6/2016	22
25/6/2016	22
26/6/2016	22
27/6/2016	22
28/6/2016	22
29/6/2016	22
30/6/2016	22
1/7/2016	33
2/7/2016	33
3/7/2016	33
4/7/2016	33
5/7/2016	33
6/7/2016	33
7/7/2016	33
8/7/2016	33
9/7/2016	33
10/7/2016	33
11/7/2016	33
12/7/2016	33
13/7/2016	33
14/7/2016	33
15/7/2016	33
16/7/2016	33
17/7/2016	33
18/7/2016	33
19/7/2016	33
20/7/2016	33
21/7/2016	33
22/7/2016	33
23/7/2016	33
24/7/2016	33
25/7/2016	33
26/7/2016	33
27/7/2016	33
28/7/2016	33
29/7/2016	33
30/7/2016	33
31/7/2016	33
1/8/2016	33
2/8/2016	33
3/8/2016	33
4/8/2016	33
5/8/2016	33
6/8/2016	33
7/8/2016	33
8/8/2016	33
9/8/2016	33
10/8/2016	33
11/8/2016	33
12/8/2016	33
13/8/2016	33
14/8/2016	33
15/8/2016	33
16/8/2016	33
17/8/2016	33
18/8/2016	33
19/8/2016	33
20/8/2016	33
21/8/2016	33
22/8/2016	33
23/8/2016	33
24/8/2016	33
25/8/2016	33
26/8/2016	33
27/8/2016	33
28/8/2016	33
29/8/2016	33
30/8/2016	33
31/8/2016	33
1/9/2016	33
2/9/2016	33
3/9/2016	33
4/9/2016	33
5/9/2016	33
6/9/2016	33
7/9/2016	33
8/9/2016	33
9/9/2016	33
10/9/2016	23
11/9/2016	23
12/9/2016	23
13/9/2016	23
14/9/2016	23
15/9/2016	23
16/9/2016	23
17/9/2016	23
18/9/2016	23
19/9/2016	23
20/9/2016	23
21/9/2016	23
22/9/2016	23
23/9/2016	23
24/9/2016	23
25/9/2016	23
26/9/2016	18
27/9/2016	18
28/9/2016	18
29/9/2016	18
30/9/2016	18
1/10/2016	18
2/10/2016	18
3/10/2016	18
4/10/2016	18
5/10/2016	18
6/10/2016	18
7/10/2016	18
8/10/2016	18
9/10/2016	18
10/10/2016	14
11/10/2016	14
12/10/2016	14
13/10/2016	14
14/10/2016	14
15/10/2016	14
16/10/2016	14
17/10/2016	14
18/10/2016	14
19/10/2016	14
20/10/2016	14
21/10/2016	14
22/10/2016	14
23/10/2016	14
24/10/2016	14
25/10/2016	14
26/10/2016	14
27/10/2016	14
28/10/2016	14
29/10/2016	14
30/10/2016	14
31/10/2016	14
1/11/2016	18
2/11/2016	18
3/11/2016	18
4/11/2016	18
5/11/2016	18
6/11/2016	18
7/11/2016	18
8/11/2016	18
9/11/2016	18
10/11/2016	18
11/11/2016	18
12/11/2016	18
13/11/2016	18
14/11/2016	18
15/11/2016	16
16/11/2016	16
17/11/2016	16
18/11/2016	16
19/11/2016	16
20/11/2016	16
21/11/2016	16
22/11/2016	16
23/11/2016	16
24/11/2016	16
25/11/2016	16
26/11/2016	16
27/11/2016	16
28/11/2016	16
29/11/2016	16
30/11/2016	16
1/12/2016	14
2/12/2016	14
3/12/2016	14
4/12/2016	14
5/12/2016	14
6/12/2016	14
7/12/2016	14
8/12/2016	14
9/12/2016	14
10/12/2016	15
11/12/2016	15
12/12/2016	15
13/12/2016	15
14/12/2016	15
15/12/2016	15
16/12/2016	15
17/12/2016	15
18/12/2016	15
19/12/2016	15
20/12/2016	15
21/12/2016	18
22/12/2016	18
23/12/2016	18
24/12/2016	18
25/12/2016	18
26/12/2016	18
27/12/2016	18
28/12/2016	18
29/12/2016	18
30/12/2016	18
31/12/2016	18
1/1/2017	18
2/1/2017	18
3/1/2017	18
4/1/2017	18
5/1/2017	18
6/1/2017	18
7/1/2017	18
8/1/2017	18
9/1/2017	18
10/1/2017	18
11/1/2017	18
12/1/2017	18
13/1/2017	18
14/1/2017	18
15/1/2017	18
16/1/2017	18
17/1/2017	18
18/1/2017	18
19/1/2017	18
20/1/2017	18
