A1,A2,A3,A4,AMean,B1,B2,B3,B4,BMean,C1,C2,C3,C4,CMean,D1(T),D2(T),D3(T),D4(T),D1(N),D2(N),D3(N),D4(N),DMean (T),DMean (N),E1(T),E2(T),E3(T),E4(T),E1(N),E2(N),E3(N),E4(N),EMean (T),EMean (N),F1(T),F2(T),F3(T),F4(T),F1(N),F2(N),F3(N),F4(N),FMean (T),FMean (N),G1(T),G2(T),G3(T),G4(T),G1(N),G2(N),G3(N),G4(N),GMean (T),GMean (N),H1(T),H2(T),H3(T),H4(T),H1(N),H2(N),H3(N),H4(N),HMean (T),HMean (N),I1(T),I2(T),I3(T),I4(T),I1(N),I2(N),I3(N),I4(N),IMean (T),IMean (N)
7,7,5,6,6.25,5,8,7,7,6.75,6,7,5,8,6.5,5,6,5,7,1,2,3,1,5.75,1.75,1,1,2,4,1,2,1,0,2,1,4,6,7,9,2,1,3,2,6.5,2,5,5,4,3,1,1,2,1,4.25,1.25,2,2,0,3,3,2,1,1,1.75,1.75,2,2,1,1,1,1,1,0,1.5,0.75
9,4,3,2,4.5,4,3,5,3,3.75,5,8,7,4,6,6,5,5,2,2,1,2,3,4.5,2,2,0,1,0,2,3,2,2,0.75,2.25,3,9,4,2,2,2,2,2,4.5,2,2,2,3,2,3,2,3,2,2.25,2.5,1,0,2,2,3,3,2,1,1.25,2.25,0,1,1,0,2,1,2,2,0.5,1.75
10,11,18,13,13,3,3,3,4,3.25,3,6,9,6,6,3,5,3,4,3,3,4,4,3.75,3.5,5,3,2,3,3,5,3,3,3.25,3.5,5,2,5,10,3,4,4,3,5.5,3.5,7,7,2,1,4,2,4,3,4.25,3.25,1,2,4,2,4,3,3,3,2.25,3.25,1,2,1,2,4,3,4,4,1.5,3.75
30,24,41,15,27.5,23,29,36,25,28.25,19,23,33,21,24,23,18,27,17,6,4,6,5,21.25,5.25,8,6,6,8,6,4,5,7,7,5.5,13,18,15,13,4,6,3,4,14.75,4.25,16,14,9,8,5,4,6,4,11.75,4.75,7,5,6,8,7,4,5,6,6.5,5.5,6,7,5,6,5,4,5,6,6,5
27,21,19,24,22.75,19,18,37,19,23.25,11,18,31,22,20.5,17,23,24,22,8,6,8,8,21.5,7.5,5,5,5,5,8,6,6,6,5,6.5,16,24,12,14,6,8,6,5,16.5,6.25,14,13,17,7,7,7,7,6,12.75,6.75,6,7,7,11,5,6,5,7,7.75,5.75,3,6,4,3,7,5,7,5,4,6
19,11,5,14,12.25,9,7,11,8,8.75,10,13,12,9,11,8,13,10,8,4,5,5,7,9.75,5.25,1,2,3,2,7,3,4,4,2,4.5,8,11,7,5,6,5,4,3,7.75,4.5,7,5,14,5,6,3,7,5,7.75,5.25,2,2,1,5,3,5,3,4,2.5,3.75,3,3,1,1,4,3,4,5,2,4
14,19,27,15,18.75,11,15,18,16,15,18,15,28,12,18.25,10,19,12,11,7,7,7,5,13,6.5,6,4,5,4,5,6,5,7,4.75,5.75,11,14,17,16,5,6,4,6,14.5,5.25,11,9,18,6,5,4,6,4,11,4.75,3,2,4,2,5,4,4,6,2.75,4.75,5,3,3,6,6,6,6,4,4.25,5.5
20,14,11,23,17,45,17,20,38,30,21,39,12,23,23.75,48,44,15,23,5,7,8,7,32.5,6.75,13,8,7,10,6,7,6,8,9.5,6.75,39,24,35,27,6,6,7,8,31.25,6.75,23,21,43,18,7,6,5,5,26.25,5.75,11,5,10,9,7,5,6,8,8.75,6.5,12,7,8,9,8,6,5,7,9,6.5
34,11,9,17,17.75,49,25,10,19,25.75,37,30,15,11,23.25,44,33,8,9,8,6,5,6,23.5,6.25,10,9,6,5,8,7,7,7,7.5,7.25,27,39,25,18,5,7,5,5,27.25,5.5,11,17,29,9,6,5,4,7,16.5,5.5,9,6,6,8,4,7,5,6,7.25,5.5,6,4,6,4,6,5,5,6,5,5.5
29,7,6,10,13,7,9,4,8,7,10,26,3,5,11,11,13,5,3,9,8,6,7,8,7.5,5,11,5,3,7,7,8,8,6,7.5,7,17,8,6,5,6,5,6,9.5,5.5,6,8,5,15,5,7,5,5,8.5,5.5,3,3,3,6,6,6,6,7,3.75,6.25,5,2,1,4,4,5,7,5,3,5.25
9,9,11,7,9,7,6,5,4,5.5,7,9,4,6,6.5,6,7,3,2,7,7,6,6,4.5,6.5,3,3,5,3,8,5,7,7,3.5,6.75,2,8,7,7,7,5,6,5,6,5.75,3,5,2,12,4,7,6,4,5.5,5.25,7,1,3,5,5,5,7,7,4,6,5,2,4,3,7,6,6,5,3.5,6
7,5,2,17,7.75,4,10,9,22,11.25,8,10,7,19,11,4,10,5,12,6,5,7,9,7.75,6.75,6,8,4,6,9,7,8,9,6,8.25,5,6,3,8,7,6,7,5,5.5,6.25,7,4,5,9,7,6,5,5,6.25,5.75,12,1,5,5,7,7,6,8,5.75,7,7,4,6,7,6,7,6,8,6,6.75
3,8,4,13,7,7,11,5,12,8.75,9,24,3,6,10.5,8,16,5,9,8,7,8,7,9.5,7.5,7,7,5,4,9,9,8,8,5.75,8.5,6,12,5,5,6,6,7,6,7,6.25,9,5,6,13,8,7,5,6,8.25,6.5,5,1,1,4,5,7,6,6,2.75,6,2,3,5,3,6,6,5,7,3.25,6
6,7,1,5,4.75,8,7,3,8,6.5,5,21,14,9,12.25,5,15,2,5,9,10,7,9,6.75,8.75,6,5,2,2,10,8,9,10,3.75,9.25,4,10,3,2,8,7,8,4,4.75,6.75,6,3,8,6,8,8,7,7,5.75,7.5,4,2,5,6,6,5,8,7,4.25,6.5,1,2,3,1,7,6,7,7,1.75,6.75
7,4,3,9,5.75,5,16,5,9,8.75,9,34,10,2,13.75,11,18,3,10,9,10,7,9,10.5,8.75,9,8,7,1,11,9,8,10,6.25,9.5,1,19,6,9,6,7,7,5,8.75,6.25,14,7,6,29,8,7,6,8,14,7.25,2,1,5,5,7,6,9,8,3.25,7.5,2,5,4,4,8,8,7,9,3.75,8
9,11,7,7,8.5,8,8,10,11,9.25,7,29,18,16,17.5,8,21,6,14,8,10,6,10,12.25,8.5,5,5,4,3,11,9,8,9,4.25,9.25,8,11,6,10,5,9,8,7,8.75,7.25,9,4,7,24,9,7,6,9,11,7.75,1,2,4,3,6,7,7,9,2.5,7.25,1,4,3,3,8,9,8,9,2.75,8.5
11,8,6,5,7.5,13,5,11,18,11.75,4,7,12,8,7.75,6,6,10,16,8,12,9,13,9.5,10.5,2,6,3,1,8,7,10,7,3,8,5,9,3,7,7,6,8,8,6,7.25,4,3,5,7,7,6,7,12,4.75,8,5,1,4,4,8,9,7,6,3.5,7.5,3,2,5,1,6,7,9,6,2.75,7
23,16,14,39,23,5,11,17,33,16.5,10,5,16,22,13.25,3,8,13,27,6,8,11,16,12.75,10.25,3,4,3,4,9,12,11,10,3.5,10.5,2,12,6,13,7,8,6,9,8.25,7.5,11,8,10,13,9,8,9,10,10.5,9,3,2,5,2,7,5,8,7,3,6.75,4,4,7,3,5,6,10,7,4.5,7
9,18,18,47,23,8,19,26,21,18.5,14,12,22,17,16.25,14,19,19,25,9,11,10,14,19.25,11,5,7,4,7,8,10,10,8,5.75,9,19,24,8,10,8,7,7,9,15.25,7.75,7,9,8,6,7,8,7,9,7.5,7.75,4,2,8,6,9,8,10,9,5,9,7,6,9,4,9,8,7,8,6.5,8
6,15,11,58,22.5,3,10,12,29,13.5,16,5,28,23,18,3,39,16,42,11,12,13,10,25,11.5,5,8,2,4,10,13,14,11,4.75,12,4,22,6,5,10,11,8,6,9.25,8.75,10,12,11,6,8,9,7,7,9.75,7.75,3,1,3,5,6,6,10,11,3,8.25,6,3,4,7,10,9,8,10,5,9.25
17,19,8,51,23.75,6,8,10,46,17.5,13,14,34,9,17.5,10,23,13,28,10,14,9,13,18.5,11.5,6,5,3,8,12,15,8,12,5.5,11.75,5,28,7,11,11,12,7,8,12.75,9.5,13,11,15,8,10,9,9,7,11.75,8.75,2,4,7,6,9,9,9,12,4.75,9.75,3,5,5,6,8,10,8,7,4.75,8.25
13,21,15,16,16.25,5,9,27,13,13.5,4,3,25,5,9.25,3,6,8,9,9,10,7,8,6.5,8.5,2,2,3,1,11,10,9,11,2,10.25,3,17,2,8,7,11,9,9,7.5,9,5,2,3,4,6,6,10,5,3.5,6.75,1,1,2,5,9,9,8,9,2.25,8.75,1,3,2,4,5,7,6,7,2.5,6.25
22,8,9,19,14.5,12,13,19,33,19.25,12,11,58,12,23.25,8,8,11,22,7,12,10,15,12.25,11,4,3,4,6,9,11,13,14,4.25,11.75,11,13,4,18,8,10,12,11,11.5,10.25,15,6,25,13,9,8,11,10,14.75,9.5,3,4,6,7,11,7,11,8,5,9.25,3,4,5,5,9,9,9,9,4.25,9
19,10,19,23,17.75,28,32,51,39,37.5,15,17,63,34,32.25,6,9,14,15,10,11,12,10,11,10.75,5,2,1,8,10,13,10,16,4,12.25,15,8,6,29,11,8,7,14,14.5,10,12,7,14,10,10,6,12,8,10.75,9,5,1,3,4,7,8,9,11,3.25,8.75,7,4,7,3,9,11,8,8,5.25,9
15,32,51,46,36,19,28,73,79,49.75,19,34,69,38,40,14,11,19,19,11,13,13,13,15.75,12.5,4,5,1,4,13,15,14,11,3.5,13.25,13,12,2,34,10,10,6,16,15.25,10.5,18,9,35,7,8,8,10,11,17.25,9.25,5,1,8,9,10,9,12,14,5.75,11.25,11,6,9,7,8,8,11,10,8.25,9.25
