iteration	step	egg.content	n1.content	n2.content	n3.content	n4.content	n5.content	preoviposition.content	adults.content	oviposition.content
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	0	0	0	2.98596	2.98596
1	1	0	0	0	0	0	0	0	5.38496	5.38496
1	2	0	0	0	0	0	0	0	7.23242	7.23242
1	3	0	0	0	0	0	0	0	8.57574	8.57574
1	4	0	0	0	0	0	0	0	9.47499	9.47499
1	5	0	0	0	0	0	0	0	10.0036	10.0036
1	6	0	0	0	0	0	0	0	10.2488	10.2488
1	7	0	0	0	0	0	0	0	10.3127	10.3127
1	8	0	0	0	0	0	0	0	10.3127	10.3127
1	9	0	0	0	0	0	0	0	10.3127	10.3127
1	10	0	0	0	0	0	0	0	10.3127	10.3127
1	11	0	0	0	0	0	0	0	10.3127	10.3127
1	12	0	0	0	0	0	0	0	10.3127	10.3127
1	13	0	0	0	0	0	0	0	10.3127	10.3127
1	14	0	0	0	0	0	0	0	10.3127	10.3127
1	15	0	0	0	0	0	0	0	10.3127	10.3127
1	16	0	0	0	0	0	0	0	10.3127	10.3127
1	17	0	0	0	0	0	0	0	10.3127	10.3127
1	18	0	0	0	0	0	0	0	10.3127	10.3127
1	19	0	0	0	0	0	0	0	10.3127	10.3127
1	20	0	0	0	0	0	0	0	10.3127	10.3127
1	21	0	0	0	0	0	0	0	10.3127	10.3127
1	22	0	0	0	0	0	0	0	10.3127	10.3127
1	23	0	0	0	0	0	0	0	10.3127	10.3127
1	24	0	0	0	0	0	0	0	10.3127	10.3127
1	25	0	0	0	0	0	0	0	10.3127	10.3127
1	26	0	0	0	0	0	0	0	10.3127	10.3127
1	27	0	0	0	0	0	0	0	10.3127	10.3127
1	28	0	0	0	0	0	0	0	10.3127	10.3127
1	29	0	0	0	0	0	0	0	10.3127	10.3127
1	30	0	0	0	0	0	0	0	10.3127	10.3127
1	31	0	0	0	0	0	0	0	10.3127	10.3127
