Date	Tmax	Tmin	Tavg		
01/02/2017	16.1	8.9	12.5
02/02/2017	15.6	9.4	12.5
03/02/2017	15.6	12.2	13.9
04/02/2017	14.4	9.4	11.9
05/02/2017	14.4	8.3	11.35
06/02/2017	15	11.7	13.35
07/02/2017	15	12.2	13.6
08/02/2017	16.7	13.3	15
09/02/2017	17.8	13.3	15.55
10/02/2017	13.9	9.4	11.65
11/02/2017	15	6.1	10.55
12/02/2017	15.6	5	10.3
13/02/2017	17.8	5	11.4
14/02/2017	21.1	7.8	14.45
15/02/2017	20	8.9	14.45
16/02/2017	16.1	10	13.05
17/02/2017	14.4	10.6	12.5
18/02/2017	13.9	7.8	10.85
19/02/2017	12.2	6.1	9.15
20/02/2017	16.7	10	13.35
21/02/2017	15.6	8.3	11.95
22/02/2017	13.9	4.4	9.15
23/02/2017	12.8	2.8	7.8
24/02/2017	11.7	1.7	6.7
25/02/2017	13.9	1.7	7.8
26/02/2017	13.3	3.9	8.6
27/02/2017	12.8	5.6	9.2
28/02/2017	14.4	2.8	8.6
01/03/2017	17.2	2.8	10
02/03/2017	19.4	5	12.2
03/03/2017	15.6	5	10.3
04/03/2017	14.4	7.2	10.8
05/03/2017	11.7	3.9	7.8
06/03/2017	12.2	2.8	7.5
07/03/2017	23.9	7.2	15.55
08/03/2017	18.3	7.2	12.75
09/03/2017	20	8.9	14.45
10/03/2017	20.6	10.6	15.6
11/03/2017	19.4	11.1	15.25
12/03/2017	22.8	8.3	15.55
13/03/2017	28.3	8.3	18.3
14/03/2017	23.3	10.6	16.95
15/03/2017	14.4	10	12.2
16/03/2017	18.3	11.1	14.7
17/03/2017	21.7	10	15.85
18/03/2017	18.9	10	14.45
19/03/2017	16.1	8.9	12.5
20/03/2017	17.2	10	13.6
21/03/2017	15.6	12.2	13.9
22/03/2017	15	8.9	11.95
23/03/2017	13.9	5.6	9.75
24/03/2017	12.2	8.3	10.25
25/03/2017	16.1	8.9	12.5
26/03/2017	16.1	8.9	12.5
27/03/2017	18.9	8.9	13.9
28/03/2017	23.3	7.2	15.25
29/03/2017	21.7	8.3	15
30/03/2017	19.4	6.7	13.05
31/03/2017	22.2	8.9	15.55
01/04/2017	21.1	7.2	14.15
02/04/2017	16.1	10	13.05
03/04/2017	21.7	8.3	15
04/04/2017	17.8	6.7	12.25
05/04/2017	21.1	9.4	15.25
06/04/2017	17.2	10	13.6
07/04/2017	15	9.4	12.2
08/04/2017	13.3	6.7	10
09/04/2017	14.4	4.4	9.4
10/04/2017	16.7	4.4	10.55
11/04/2017	16.1	10.6	13.35
12/04/2017	15.6	10.6	13.1
13/04/2017	15	7.8	11.4
14/04/2017	18.9	4.4	11.65
15/04/2017	20	5.6	12.8
16/04/2017	13.9	9.4	11.65
17/04/2017	13.9	11.1	12.5
18/04/2017	16.1	10.6	13.35
19/04/2017	17.8	7.8	12.8
20/04/2017	21.7	10	15.85
21/04/2017	21.1	8.3	14.7
22/04/2017	18.3	9.4	13.85
23/04/2017	17.8	9.4	13.6
24/04/2017	15	8.3	11.65
25/04/2017	18.3	8.3	13.3
26/04/2017	16.7	10.6	13.65
27/04/2017	20.6	8.9	14.75
28/04/2017	23.9	7.2	15.55
