iteration.end	Min.end	ED50.end	Threshold_RH.end	virulence.end	cadaver_longevity.end	sporu_cada_longevity.end	infected_immigrants.end	LTimmigrants.end	LTAdult.end	LTNymph.end	immunity_cost.end	d_cadaver.sum	density.sum
NA												NA	NA
1	25	823	75	0.345302	85	202	0.574979	85	71	146	0.359042	8.0221	1985.71
2	14	815	79	0.323585	114	76	0.220115	48	97	98	0.623862	1.83185	1126.09
3	20	806	87	0.484893	124	156	0.211958	50	160	76	0.371628	3.80452	1388.12
4	25	777	90	0.496987	64	47	0.39094	64	121	101	0.465617	0.492951	1529
5	24	793	71	0.57524	128	179	0.685797	89	87	88	0.444405	14.7108	1385.49
6	19	792	81	0.223973	81	134	0.676355	31	84	107	0.795467	3.45117	1160.3
7	25	809	83	0.621623	68	222	0.210737	90	134	149	0.00233464	5.73018	1975.5
8	15	816	70	0.300456	57	149	0.134155	79	156	160	0.412069	2.37168	1161.25
9	19	801	73	0.27316	77	44	0.570514	43	92	164	0.503948	1.11463	1230.8
10	24	790	76	0.556753	70	74	0.479942	96	67	156	0.738863	2.21042	1443.52
11	10	761	91	0.549578	115	178	0.231438	32	99	99	0.456054	0.358788	771.64
12	17	804	71	0.613686	114	248	0.251267	44	154	113	0.073014	16.3705	1048.92
13	13	827	84	0.401052	60	192	0.346673	57	125	136	0.0401144	2.47018	1087.59
14	23	751	85	0.360149	109	140	0.124156	56	62	131	0.264917	3.09535	1094.72
15	20	780	86	0.611147	110	183	0.599259	61	176	162	0.437492	5.01627	1145.04
16	11	828	87	0.735515	54	186	0.189938	66	115	87	0.63816	1.47311	1011.13
17	26	836	86	0.646683	93	68	0.601258	66	109	173	0.67713	2.04115	2361.41
18	16	836	94	0.674979	110	135	0.334046	45	60	106	0.336392	4.32219e-7	1413.19
19	23	794	77	0.383035	126	82	0.567064	89	73	132	0.164905	2.86312	1393.86
20	18	831	88	0.213329	76	213	0.458449	49	80	167	0.78788	3.56334	1403.18
21	18	750	85	0.750386	72	167	0.680413	75	126	110	0.724373	4.04105	765.976
22	14	827	94	0.296476	106	53	0.59042	88	153	154	0.0985057	4.09891e-10	1164.3
23	24	779	74	0.720852	110	144	0.266271	41	87	167	0.631959	8.70083	1185.19
24	21	757	94	0.834593	108	57	0.455713	92	162	106	0.667825	0.00738973	1093.58
25	16	754	88	0.311483	56	183	0.61738	62	100	107	0.107057	3.15803	817.624
26	25	783	87	0.541043	71	138	0.510059	36	126	177	0.632492	4.50455	1604.62
27	13	796	81	0.221602	118	117	0.271213	45	152	154	0.0895508	2.18029	926.491
28	15	774	70	0.727213	77	189	0.278749	89	86	154	0.0544087	6.41434	905.013
29	20	783	81	0.455023	91	115	0.331684	73	96	150	0.761768	2.70661	1115.17
30	15	769	72	0.458287	125	202	0.617803	70	136	147	0.391285	7.53981	794.412
31	21	798	83	0.943567	94	69	0.563194	94	179	109	0.528913	1.89544	1377.66
32	23	763	73	0.326839	102	159	0.22873	95	128	91	0.481326	4.75848	1111.29
33	25	793	80	0.679989	118	102	0.641691	50	128	133	0.379435	5.58252	1487.02
34	22	842	93	0.217015	105	120	0.351784	83	110	108	0.39574	0.154	1933.74
35	17	760	91	0.880612	82	222	0.627085	75	125	156	0.402663	0.877809	886.866
36	21	800	89	0.392493	56	192	0.419573	79	124	71	0.321082	3.41233	1337.06
37	15	788	88	0.352253	67	160	0.107091	98	71	83	0.604968	1.33024	1010.84
38	20	805	75	0.897278	111	72	0.237959	35	91	118	0.294042	3.97579	1169.18
39	26	833	78	0.294896	63	146	0.257725	71	167	64	0.618006	4.88064	2456.28
40	16	758	91	0.900399	64	117	0.36841	48	75	138	0.180187	0.573957	862.59
41	14	840	87	0.806598	99	98	0.45156	92	176	145	0.418532	1.32657	1292.58
42	17	838	75	0.523368	60	103	0.113531	97	135	147	0.777963	1.49639	1462.39
43	20	828	71	0.8224	99	132	0.199488	82	147	115	0.785374	6.51401	1567.96
44	24	834	94	0.775322	94	175	0.658837	92	105	170	0.789859	0.0265009	2292.65
45	14	775	72	0.429148	118	49	0.327057	71	87	128	0.296635	1.27201	844.254
46	14	786	70	0.284531	116	78	0.398844	85	133	150	0.349514	1.81705	896.89
47	13	764	75	0.282243	119	209	0.435588	36	103	168	0.302854	5.97975	712.326
48	22	771	80	0.561362	81	154	0.243565	45	169	78	0.331806	5.76518	1062.98
49	22	816	81	0.748804	103	119	0.573371	65	118	110	0.260269	4.06378	1501.92
50	15	774	87	0.629193	119	123	0.138146	58	160	160	0.771106	2.05369	980.953
51	12	782	86	0.840037	88	229	0.175035	32	127	99	0.286367	3.58691	763.407
52	23	802	74	0.796224	98	170	0.190979	40	118	60	0.46744	15.8671	1222.25
53	13	784	75	0.932146	104	66	0.213007	95	97	122	0.45306	1.87285	877.91
54	25	822	79	0.648523	100	61	0.386571	84	116	61	0.175566	2.79777	1963.95
55	25	779	89	0.766591	112	64	0.245505	77	149	91	0.553776	2.18021	1658.29
56	12	756	87	0.390064	106	201	0.411412	92	160	142	0.0373041	3.2084	744.615
57	13	770	73	0.569589	55	162	0.148882	76	71	139	0.482469	2.93583	848.027
58	21	768	94	0.639924	106	136	0.311118	91	132	128	0.767412	0.013869	1218.46
59	12	819	87	0.533408	75	177	0.53061	39	134	107	0.393245	2.60692	1003.25
60	10	786	93	0.366438	85	218	0.506048	72	139	75	0.139112	3.29519e-5	824.653
