SiteId	Date	PREC 	TMAX 	TMIN 	TAVG  	SNWD 
511	/1/1/2016	8.5	5.9	-8.9	-2.6	14
511	/1/2/2016	8.5	-0.2	-7.7	-2.4	14
511	/1/3/2016	8.5	10.1	-10.2	-1.6	14
511	/1/4/2016	8.5	7.4	-8.4	-1.3	14
511	/1/5/2016	8.9	-0.5	-3	-1.6	15
511	/1/6/2016	8.9	5.5	-3.6	-0.6	15
511	/1/7/2016	9.6	1.3	-4.9	-2.4	22
511	/1/8/2016	10.5	-0.7	-7.4	-3.6	32
511	/1/9/2016	10.5	-1.1	-8.5	-6.2	29
511	/1/10/2016	10.5	0.6	-15.4	-7	28
511	/1/11/2016	10.5	1.7	-15.7	-7	25
511	/1/12/2016	10.5	2.1	-11	-4.6	25
511	/1/13/2016	10.5	7	-10.6	-3	24
511	/1/14/2016	10.5	10.5	-10.6	-1.1	23
511	/1/15/2016	10.6	7.6	-4.5	0.3	23
511	/1/16/2016	10.7	1.8	-7.7	-3.2	24
511	/1/17/2016	10.7	6.1	-9.7	-0.3	23
511	/1/18/2016	10.7	7	-2.1	1.8	22
511	/1/19/2016	10.7	10	-7.9	1.4	22
511	/1/20/2016	10.7	9.7	-6.3	1.9	21
511	/1/21/2016	10.7	8.4	-5.1	1.5	21
511	/1/22/2016	10.7	6.2	-6.3	-0.8	20
511	/1/23/2016	10.7	12.7	-6.5	1.5	20
511	/1/24/2016	10.7	11.9	-3.4	4	20
511	/1/25/2016	10.7	4.8	-9.1	-0.8	20
511	/1/26/2016	10.7	4.4	-9.6	-3.2	20
511	/1/27/2016	10.7	1.9	-8.6	-3.8	20
511	/1/28/2016	10.7	9.4	-10.4	0.6	20
511	/1/29/2016	10.7	12.7	-4.9	3.1	20
511	/1/30/2016	10.7	12.6	-5	4.1	18
511	/1/31/2016	10.8	8.9	-1.2	3.1	18
511	/2/1/2016	10.9	7.7	-0.5	2.5	19
511	/2/2/2016	11.7	0.6	-8.9	-7.1	28
511	/2/3/2016	11.9	-1	-13.8	-9	27
511	/2/4/2016	11.9	-2	-19.5	-10.1	26
511	/2/5/2016	11.9	4	-18.2	-5.5	25
511	/2/6/2016	11.9	0.8	-13.2	-5.7	25
511	/2/7/2016	11.9	11.2	-12.9	-0.2	24
511	/2/8/2016	11.9	10.6	-6.3	2.7	23
511	/2/9/2016	11.9	14	-4.4	4.5	21
511	/2/10/2016	11.9	12.6	-4.3	3.6	21
511	/2/11/2016	11.9	13.6	-5.7	3.7	20
511	/2/12/2016	11.9	14.2	-3.9	4.8	20
511	/2/13/2016	11.9	15	-3.4	4.5	18
511	/2/14/2016	11.9	13.6	-4	4.6	17
511	/2/15/2016	11.9	12.6	-3.2	5.2	17
511	/2/16/2016	11.9	12.9	-0.2	5.1	16
511	/2/17/2016	11.9	16.6	-1.1	6.9	15
511	/2/18/2016	12	14.6	-2.2	7.2	14
511	/2/19/2016	12	13.4	4.3	7.7	12
511	/2/20/2016	12	14.1	-0.4	6.7	12
511	/2/21/2016	12	14	-0.7	6.1	10
511	/2/22/2016	12	14.6	-2.9	5.6	9
511	/2/23/2016	12	9.5	-2.7	3.2	9
511	/2/24/2016	12	3.7	-5.5	-1.5	9
511	/2/25/2016	12	8.7	-9.9	-0.3	8
511	/2/26/2016	12	12.2	-2.8	4.7	8
511	/2/27/2016	12	12.9	-4.4	4.4	6
511	/2/28/2016	12	13.4	-3.4	5.1	5
511	/2/29/2016	12	14	0	6.5	4
511	/3/1/2016	12	12.8	-2.3	5.8	3
511	/3/2/2016	12	14	-2.6	6.1	2
511	/3/3/2016	12	14	0.3	7.3	1
511	/3/4/2016	12	13.9	-1.4	6.9	1
511	/3/5/2016	12	14.9	0.6	7.1	0
511	/3/6/2016	12	12.9	1.1	7.1	0
511	/3/7/2016	12.1	10.5	1.1	5.8	0
511	/3/8/2016	12.2	7	-7.5	0.1	0
511	/3/9/2016	12.4	6.3	-7	-1.1	0
511	/3/10/2016	12.4	9.8	-6.1	3	0
511	/3/11/2016	12.4	13.6	0.2	6.3	0
511	/3/12/2016	12.4	13.9	-2.5	6.1	0
511	/3/13/2016	12.4	5.7	-2.2	1.5	0
511	/3/14/2016	12.4	10.9	-1.3	4.8	0
511	/3/15/2016	12.4	11.9	0.5	5.1	0
511	/3/16/2016	12.4	12.7	-0.4	4.7	0
511	/3/17/2016	12.4	14.3	-1.9	5.9	0
511	/3/18/2016	12.4	14.1	-2.8	5.8	0
511	/3/19/2016	12.4	13.7	0.5	6.8	0
511	/3/20/2016	12.4	13.8	-0.2	6.8	0
511	/3/21/2016	12.4	13.4	-2.3	6	0
511	/3/22/2016	12.4	15.1	-2.5	7.3	0
511	/3/23/2016	12.4	12.6	-0.4	6.3	0
511	/3/24/2016	12.4	5.9	-3.7	0.5	0
511	/3/25/2016	12.4	10.9	-3	3.1	0
511	/3/26/2016	12.4	10.9	-2.1	4.5	0
511	/3/27/2016	12.4	11	-3.7	4.6	0
511	/3/28/2016	12.4	12.8	-5.3	5.2	0
511	/3/29/2016	12.4	10.8	-1.7	5.4	0
511	/3/30/2016	12.4	7	-1.7	2.3	0
511	/3/31/2016	12.4	3.5	-8.5	-1.9	0
511	/4/1/2016	12.4	5.6	-11.6	-2.7	0
511	/4/2/2016	12.4	6.2	-5.8	-0.5	0
511	/4/3/2016	12.4	10.4	-6.9	1.8	0
511	/4/4/2016	12.4	14.4	-5.5	4.9	0
511	/4/5/2016	12.4	16.4	-2.8	7.2	0
511	/4/6/2016	12.4	15.8	-0.4	8.8	0
511	/4/7/2016	12.4	18.2	2.5	9.6	0
511	/4/8/2016	12.4	15.7	1.9	9	0
511	/4/9/2016	13.2	9	1.1	4.2	0
511	/4/10/2016	13.2	12.8	-0.2	5.5	0
511	/4/11/2016	13.3	8.9	-1.4	3	0
511	/4/12/2016	13.3	9.7	-2.9	3.3	0
511	/4/13/2016	13.6	9.2	-0.3	2.8	0
511	/4/14/2016	13.6	13.5	-1	6.3	0
511	/4/15/2016	13.6	14.7	1.8	8.5	0
511	/4/16/2016	13.6	10.5	-2.3	5	0
511	/4/17/2016	13.6	5.4	-4.3	0.3	0
511	/4/18/2016	13.6	8.5	-3.1	2.1	0
511	/4/19/2016	13.6	11.1	-5.1	3.6	0
511	/4/20/2016	13.6	14.7	-3.4	6.4	0
511	/4/21/2016	13.6	16.2	-0.7	8.4	0
511	/4/22/2016	13.6	17.4	0.1	9.3	0
511	/4/23/2016	13.6	17.8	2	10.6	0
511	/4/24/2016	13.6	15.4	3.8	9.2	0
511	/4/25/2016	13.6	14.7	1.6	7.7	0
511	/4/26/2016	13.6	11.9	-1.3	5.4	0
511	/4/27/2016	13.6	7.3	-3.4	1.8	0
511	/4/28/2016	13.6	12.1	-2.9	5.3	0
511	/4/29/2016	13.6	11.2	-2.3	4.8	0
511	/4/30/2016	13.7	6.4	-3.5	1.8	0
511	/5/1/2016	13.8	9.6	-0.5	3.7	0
511	/5/2/2016	13.9	6.6	-2.7	1.4	0
511	/5/3/2016	13.9	12	-2.7	3.8	0
511	/5/4/2016	13.9	14.5	-2.3	6.6	0
511	/5/5/2016	13.9	16.8	-0.1	9.5	0
511	/5/6/2016	13.9	18.3	3.4	12.5	0
511	/5/7/2016	13.9	14	-99.9	-99.9	0
511	/5/8/2016	13.9	11.1	-1.6	4.1	0
511	/5/9/2016	13.9	9.5	-3.6	3.4	0
511	/5/10/2016	14	13.8	0.8	6.6	0
511	/5/11/2016	14	15.8	1.2	9	0
511	/5/12/2016	14	17.8	2.6	10.4	0
511	/5/13/2016	14	19.3	1.5	11.1	0
511	/5/14/2016	14	21	3.2	12.9	0
511	/5/15/2016	14	18.8	8.4	13.6	0
511	/5/16/2016	14	17.4	6.5	11.4	0
511	/5/17/2016	14	15	1.7	8.8	0
511	/5/18/2016	14.1	13.5	-0.1	6.2	0
511	/5/19/2016	14.5	9.4	-0.2	3.8	0
511	/5/20/2016	14.5	13.4	-1.2	6.7	0
511	/5/21/2016	14.5	16.6	1.1	10.6	0
511	/5/22/2016	14.5	16	2.8	10	0
511	/5/23/2016	14.5	15.6	2.3	9.1	0
511	/5/24/2016	14.5	16.8	3.6	9.9	0
511	/5/25/2016	14.5	15.4	3	9.1	0
511	/5/26/2016	14.5	15.6	1.7	9.2	0
511	/5/27/2016	14.5	11.7	-0.1	6	0
511	/5/28/2016	14.5	15.3	1.5	8.1	0
511	/5/29/2016	14.5	17.4	-0.7	10	0
511	/5/30/2016	14.5	18.4	0.1	11.2	0
511	/5/31/2016	14.5	18.2	2.4	10.5	0
511	/6/1/2016	14.5	18.2	2.8	10.2	0
511	/6/2/2016	14.5	15.8	5	11	0
511	/6/3/2016	14.5	21.4	4.7	14.6	0
511	/6/4/2016	14.5	24	5.1	16.3	0
511	/6/5/2016	14.5	24.9	7.2	17.1	0
