date	Station	Tmin	Tmax	Tavg	I	egg.content	egg.outflowTotal	larva.content	larva.outflowTotal	pupa.content	pupa.outflowTotal	adult.content	adult.outflowTotal
2009/5/1	6135	5.15	17.2667	10.65	24.9667	100	0	0	0	0	0	0	0
2009/5/2	6135	1.05	17.9167	10.4917	24.4667	100	0	0	0	0	0	0	0
2009/5/3	6135	6.10833	15.8	10.9583	16.6083	100	0	0	0	0	0	0	0
2009/5/4	6135	6.50833	13.2167	9.53333	16.6333	100	0	0	0	0	0	0	0
2009/5/5	6135	7.6	13.55	10.0417	12.3	100	0	0	0	0	0	0	0
2009/5/6	6135	8.61667	12.5917	10.0083	14.925	100	0	0	0	0	0	0	0
2009/5/7	6135	6.40833	13.875	10.4583	10.525	100	0	0	0	0	0	0	0
2009/5/8	6135	7.66667	17.1167	12.0583	16.15	100	0	0	0	0	0	0	0
2009/5/9	6135	6.60833	15.6583	11.5583	22.475	100	0	0	0	0	0	0	0
2009/5/10	6135	5.4	15.9583	11.1333	25.1083	100	8.31629e-13	8.31629e-13	0	0	0	0	0
2009/5/11	6135	6.30833	12.975	9.725	24.9333	100	1.33723e-09	1.33723e-09	0	0	0	0	0
2009/5/12	6135	5.11667	15.6333	10.7917	26.9167	100	2.2892e-07	2.2892e-07	0	0	0	0	0
2009/5/13	6135	3.9	16.6333	10.7167	18.4833	100	1.04671e-05	1.04671e-05	0	0	0	0	0
2009/5/14	6135	3.15833	15.6	9.6	17.6083	99.9999	0.000144939	0.000144939	0	0	0	0	0
2009/5/15	6135	4.93333	14.2167	9.68333	25.2083	99.9987	0.00126639	0.00126639	0	0	0	0	0
2009/5/16	6135	7.3	9.60833	8.41667	5.825	99.9953	0.00472732	0.00472732	0	0	0	0	0
2009/5/17	6135	7.40833	13.325	9.95	14.8167	99.9753	0.0247349	0.0247349	0	0	0	0	0
2009/5/18	6135	7.76667	18.1	13.0333	25.15	99.8008	0.199171	0.199171	0	0	0	0	0
2009/5/19	6135	6.05833	18.8667	13.9417	22.7	98.7856	1.21444	1.21444	0	0	0	0	0
2009/5/20	6135	8.55833	17.8	13.8167	26.8917	95.4052	4.59478	4.59478	0	0	0	0	0
2009/5/21	6135	7.79167	19.35	13.525	19.9667	88.0281	11.9719	11.9719	0	0	0	0	0
2009/5/22	6135	9.71667	16.0167	11.9417	16.4583	78.4386	21.5614	21.5614	0	0	0	0	0
2009/5/23	6135	8.70833	16.9833	12.1667	19.9583	65.7366	34.2634	34.2634	0	0	0	0	0
2009/5/24	6135	7.31667	18.6583	13.3917	13.5167	49.2154	50.7846	50.7846	3.35834e-29	3.35834e-29	0	0	0
2009/5/25	6135	9.76667	17.7917	13.1333	25.7333	33.9998	66.0002	66.0002	5.31553e-25	5.31553e-25	0	0	0
2009/5/26	6135	7.61667	22.4667	15.575	22.3167	18.4897	81.5103	81.5103	2.58848e-21	2.58848e-21	0	0	0
2009/5/27	6135	10.6083	16.3	13.05	23.9167	10.5497	89.4503	89.4503	1.30019e-18	1.30019e-18	0	0	0
2009/5/28	6135	10.5333	14.6917	12.3417	25.475	5.92746	94.0725	94.0725	9.19992e-17	9.19992e-17	0	0	0
2009/5/29	6135	9.03333	17.625	13.8583	24.1333	2.73762	97.2624	97.2624	1.96937e-14	1.96937e-14	0	0	0
2009/5/30	6135	8.9	21.5667	15.925	26.475	0.944879	99.0551	99.0551	3.3043e-12	3.3043e-12	0	0	0
2009/5/31	6135	10.9167	24.375	17.9333	27.525	0.232355	99.7676	99.7676	6.88406e-10	6.88406e-10	0	0	0
2009/6/1	6135	10.6417	24.05	18.0083	28.7	0.0492848	99.9507	99.9507	5.0907e-08	5.0907e-08	5.63679e-37	5.63679e-37	0
2009/6/2	6135	9.5	22.1667	16.1667	24.95	0.0117862	99.9882	99.9882	8.94968e-07	8.94968e-07	1.89746e-31	1.89746e-31	0
2009/6/3	6135	9.21667	16.0417	12.15	23.9583	0.00453607	99.9955	99.9955	3.68156e-06	3.68156e-06	4.9879e-30	4.9879e-30	0
2009/6/4	6135	6.35833	15.4083	10.15	19.6833	0.00224471	99.9978	99.9977	8.06533e-06	8.06533e-06	7.70209e-30	7.70209e-30	0
2009/6/5	6135	5.275	14.3917	9.81667	21.5917	0.00115311	99.9988	99.9988	1.53307e-05	1.53307e-05	7.70209e-30	7.70209e-30	0
2009/6/6	6135	2.175	15.0333	9.43333	23.2667	0.000621544	99.9994	99.9994	2.40903e-05	2.40903e-05	7.70209e-30	7.70209e-30	0
2009/6/7	6135	5.93333	14.7333	10.4083	19.825	0.000283123	99.9997	99.9997	5.09005e-05	5.09005e-05	1.91545e-29	1.91545e-29	0
2009/6/8	6135	7.125	15.9833	10.9583	17.4833	0.000119542	99.9999	99.9998	0.000117572	0.000117572	1.54113e-28	1.54113e-28	0
