Date	Tavg
01/01/2009	-1.6
02/01/2009	-2.5
03/01/2009	-4.2
04/01/2009	-7.2
05/01/2009	-6.1
06/01/2009	-5.3
07/01/2009	-3.4
08/01/2009	-4.5
09/01/2009	-7.1
10/01/2009	-7.7
11/01/2009	-8.9
12/01/2009	-8.3
13/01/2009	-5.4
14/01/2009	-3.8
15/01/2009	-2.2
16/01/2009	-1.3
17/01/2009	-3.1
18/01/2009	1.2
19/01/2009	2.6
20/01/2009	4.3
21/01/2009	4.4
22/01/2009	3.4
23/01/2009	2.1
24/01/2009	2.2
25/01/2009	4
26/01/2009	3.7
27/01/2009	1.4
28/01/2009	2
29/01/2009	2.3
30/01/2009	1
31/01/2009	0.4
01/02/2009	-0.8
02/02/2009	-0.1
03/02/2009	1.1
04/02/2009	1.8
05/02/2009	5
06/02/2009	4.4
07/02/2009	4.4
08/02/2009	4.3
09/02/2009	3.2
10/02/2009	3.5
11/02/2009	3.7
12/02/2009	1.9
13/02/2009	1.1
14/02/2009	1.1
15/02/2009	0
16/02/2009	0.7
17/02/2009	3.1
18/02/2009	-1.2
19/02/2009	-2.2
20/02/2009	-0.7
21/02/2009	3.7
22/02/2009	1.6
23/02/2009	3.8
24/02/2009	2.3
25/02/2009	2
26/02/2009	2.9
27/02/2009	6.5
28/02/2009	7.5
01/03/2009	8.3
02/03/2009	9.1
03/03/2009	7.4
04/03/2009	7.2
05/03/2009	5.9
06/03/2009	7.9
07/03/2009	9
08/03/2009	8.6
09/03/2009	2.9
10/03/2009	6.2
11/03/2009	7.4
12/03/2009	6.8
13/03/2009	9.2
14/03/2009	8.1
15/03/2009	8.1
16/03/2009	9.7
17/03/2009	8.2
18/03/2009	8.9
19/03/2009	4.7
20/03/2009	2.3
21/03/2009	4.2
22/03/2009	6.2
23/03/2009	8
24/03/2009	3.8
25/03/2009	1.4
26/03/2009	7.7
27/03/2009	8.9
28/03/2009	11.3
29/03/2009	8.4
30/03/2009	6.9
31/03/2009	7.8
01/04/2009	10.1
02/04/2009	9.9
03/04/2009	12.5
04/04/2009	14.5
05/04/2009	14.8
06/04/2009	15
07/04/2009	15.3
08/04/2009	15.4
09/04/2009	15.7
10/04/2009	15.3
11/04/2009	14.9
12/04/2009	15.8
13/04/2009	15
14/04/2009	13.3
15/04/2009	14.9
16/04/2009	14.4
17/04/2009	12.6
18/04/2009	11.8
19/04/2009	11
20/04/2009	12.7
21/04/2009	13.6
22/04/2009	15.7
23/04/2009	8.3
24/04/2009	9.6
25/04/2009	14
26/04/2009	13.9
27/04/2009	13.8
28/04/2009	12.3
29/04/2009	10.8
30/04/2009	11
01/05/2009	14.1
02/05/2009	12.5
03/05/2009	12.5
04/05/2009	14
05/05/2009	12.8
06/05/2009	15
07/05/2009	18.5
08/05/2009	18.1
09/05/2009	18.3
10/05/2009	19.5
11/05/2009	19.5
12/05/2009	20.2
13/05/2009	16.2
14/05/2009	18.4
15/05/2009	16.8
16/05/2009	19
17/05/2009	20.9
18/05/2009	21.6
19/05/2009	21.8
20/05/2009	20.6
21/05/2009	22.4
22/05/2009	23.1
23/05/2009	23.7
24/05/2009	22.1
25/05/2009	22.1
26/05/2009	25.5
27/05/2009	14.3
28/05/2009	17.1
29/05/2009	14.5
30/05/2009	11.7
31/05/2009	13.7
01/06/2009	15.6
02/06/2009	17.2
03/06/2009	19.9
04/06/2009	14.7
05/06/2009	15.2
06/06/2009	20.4
07/06/2009	15.6
08/06/2009	18.6
09/06/2009	20.1
10/06/2009	19.6
11/06/2009	17.8
12/06/2009	20
13/06/2009	19.8
14/06/2009	22.9
15/06/2009	23.5
16/06/2009	23.8
17/06/2009	18.9
18/06/2009	22.6
19/06/2009	25.1
20/06/2009	13.8
21/06/2009	16.7
22/06/2009	14.6
23/06/2009	13.6
24/06/2009	16
25/06/2009	18.4
26/06/2009	19.3
27/06/2009	19.2
28/06/2009	20.6
29/06/2009	20.7
30/06/2009	21.9
01/07/2009	21.7
02/07/2009	23.1
03/07/2009	22.4
04/07/2009	23.3
05/07/2009	22.2
06/07/2009	20.5
07/07/2009	18.3
08/07/2009	15.4
09/07/2009	17.7
10/07/2009	14.9
11/07/2009	16.8
12/07/2009	19.4
13/07/2009	22.2
14/07/2009	24.2
15/07/2009	26.2
16/07/2009	25.8
17/07/2009	25.8
18/07/2009	17.5
19/07/2009	19
20/07/2009	21.6
21/07/2009	23.2
22/07/2009	24.4
23/07/2009	26
24/07/2009	25.4
25/07/2009	19.4
26/07/2009	20.3
27/07/2009	22.4
28/07/2009	22.4
29/07/2009	23.2
30/07/2009	25
31/07/2009	23.6
01/08/2009	24.9
02/08/2009	25.8
03/08/2009	20.6
04/08/2009	19.1
05/08/2009	21.4
06/08/2009	22.5
07/08/2009	22.5
08/08/2009	22.9
09/08/2009	22.6
10/08/2009	23.6
11/08/2009	22.5
12/08/2009	22.2
13/08/2009	24.5
14/08/2009	21.4
15/08/2009	22.9
16/08/2009	24.6
17/08/2009	23.9
18/08/2009	24.4
19/08/2009	24.9
20/08/2009	24.8
21/08/2009	25.4
22/08/2009	21.3
23/08/2009	19.7
24/08/2009	20.1
25/08/2009	20.1
26/08/2009	23.2
27/08/2009	24.4
28/08/2009	25
29/08/2009	17.4
30/08/2009	17.1
31/08/2009	17.9
01/09/2009	20.1
02/09/2009	22.3
03/09/2009	22.5
04/09/2009	18
05/09/2009	13.1
06/09/2009	14.5
07/09/2009	14.9
08/09/2009	16
09/09/2009	16.7
10/09/2009	18.2
11/09/2009	16.7
12/09/2009	18.3
13/09/2009	17.4
14/09/2009	15.2
15/09/2009	17.7
16/09/2009	17.3
17/09/2009	18
18/09/2009	18.5
19/09/2009	18.7
20/09/2009	18
21/09/2009	18.3
22/09/2009	17.9
23/09/2009	17.5
24/09/2009	17.3
25/09/2009	18.1
26/09/2009	16.5
27/09/2009	15.5
28/09/2009	15.9
29/09/2009	17
30/09/2009	17.3
