fileNumber	cropAtStart	cropHalfways	k	propExposedImmigrants	lethalTime	immunityCost	cadaverDuration	timeAcceleration	sporulationOn	transmissionEfficiency
33	14.6995	817.181	19	0.27924	81.2117	0.265483	79.2641	1.15464	90.6448	0.271896
28	16.2822	774.744	19	0.342216	51.4358	0.279559	109.287	1.4088	91.5419	0.102079
29	15.2017	768.209	30	0.127195	75.7141	0.0979558	72.966	1.21685	85.5309	0.297722
40	18.9	801.187	24	0.258219	72.8873	0.126781	89.4648	2.09065	91.5921	0.381336
24	17.4347	795.539	20	0.551243	67.4523	0.138744	101.694	1.18713	89.9409	0.0673859
36	20.354	803.912	18	0.391208	78.2433	0.0504957	101.557	1.96475	84.8263	0.252039
15	20.9133	782.091	24	0.51964	91.0955	0.302289	88.3981	1.38708	90.0769	0.2833
16	18.4558	827.337	24	0.527216	70.6051	0.289118	87.5955	1.26942	85.4556	0.362572
30	21.73	768.844	15	0.433115	60.8008	0.0804141	85.3054	1.81485	93.6961	0.216369
12	10.0699	807.114	22	0.451547	73.6026	0.229814	81.7833	1.9092	94.9343	0.26568
13	16.8273	792.438	26	0.243409	107.425	0.215214	100.559	2.6146	86.218	0.359151
19	22.9824	804.066	20	0.284454	107.351	0.313136	98.1369	1.689	94.4091	0.341629
39	23.5609	762.667	26	0.325203	89.9626	0.330385	65.6854	1.4	95.0944	0.315662
7	20.2649	761.983	22	0.370882	89.5119	0.354824	73.3494	1.24011	95.9814	0.15398
16	17.5518	819.037	19	0.643862	67.8125	0.208151	98.5156	1.13061	87.0597	0.20049
32	19.2408	813.937	17	0.210459	111.972	0.259929	98.7477	1.67095	82.355	0.199643
40	19.6735	771.853	16	0.424847	86.6099	0.2627	85.8766	2.00059	90.1387	0.310671
16	20.7022	787.068	17	0.193845	86.0357	0.161875	88.6238	1.55408	82.9718	0.30663
33	15.9024	798.772	27	0.327202	99.1539	0.350553	101.1	1.45563	90.2547	0.257361
36	20.5245	817.933	30	0.48826	83.2956	0.172162	92.0428	1.05552	83.2115	0.304797
26	12.8971	803.683	24	0.242656	89.8215	0.281564	79.0265	1.87339	94.7786	0.29043
10	20.0282	842.385	26	0.65016	75.8841	0.269993	89.7981	2.01112	88.766	0.253688
36	15.211	814.313	29	0.301311	93.5619	0.160232	89.2774	1.91033	86.7309	0.308315
6	18.3468	800.961	21	0.239875	93.221	0.25556	86.2759	1.34199	91.3783	0.372454
19	16.8998	789.721	27	0.443446	103.365	0.308092	99.4968	1.38186	97.148	0.44378
