fileNumber	cropAtStart	cropHalfways	k	propExposedImmigrants	lethalTime	immunityCost	cadaverDuration	timeAcceleration	sporulationOn	transmissionEfficiency
21	20.6417	837.139	24	0.306084	99.0742	0.294544	83.2704	2.32332	86.1566	0.499659
14	23.1808	819.96	16	0.526713	74.6136	0.284643	70.0109	1.55658	81.5702	0.415836
28	18.4961	825.585	22	0.394415	56.9849	0.108024	105.778	2.35288	84.6249	0.365047
27	18.0946	789.293	26	0.452372	60.4323	0.288512	102.209	1.90852	87.8281	0.294735
8	20.0163	830.977	15	0.450982	52.6707	0.267906	102.704	1.68057	87.4834	0.388786
11	18.3889	847.536	28	0.460228	62.8453	0.030753	77.4193	2.85881	87.1155	0.252482
28	26.8976	825.999	24	0.502082	75.7377	0.103224	110.655	2.51304	88.7117	0.357587
21	29.9899	814.885	25	0.451924	90.5298	0.308692	90.1873	1.82188	86.2604	0.161975
35	14.2574	836.853	18	0.560703	55.3626	0.33707	79.4826	2.04083	84.3866	0.274366
26	21.3981	765.025	20	0.450606	61.0758	0.216054	110.015	1.98502	89.3774	0.318356
23	22.0606	798.735	25	0.538701	63.5754	0.240184	63.8751	2.1708	87.852	0.324421
7	24.2447	833.262	16	0.136482	81.1948	0.345132	69.5432	1.89386	84.2379	0.372693
9	18.7048	831.242	26	0.453766	80.1788	0.140845	64.4039	1.4489	87.4079	0.402897
31	19.168	802.291	18	0.399177	66.7399	0.0191372	100.07	2.02604	80.32	0.297825
17	19.3942	790.417	23	0.59874	59.0479	0.231101	87.5215	1.46006	90.737	0.287723
31	21.4258	767.142	17	0.427692	80.1447	0.397819	69.2059	2.92387	85.3356	0.331644
14	19.2183	783.41	19	0.534101	62.8987	0.329817	73.4241	2.25376	86.9705	0.302113
19	21.4845	802.607	28	0.687912	63.8728	0.174188	70.9089	2.11046	89.0952	0.323562
25	21.1715	810.97	22	0.457235	63.0145	0.106522	63.2809	2.50815	92.2385	0.359501
11	19.848	805.474	27	0.344218	63.6951	0.306545	82.2831	1.42476	84.1714	0.198042
13	25.9222	803.122	22	0.333739	71.7463	0.0908364	57.6764	2.72261	87.5003	0.46025
26	21.6532	809.329	27	0.404072	80.4778	0.286074	59.8993	1.72598	90.4781	0.446177
33	25.0669	815.434	28	0.304818	63.0337	0.163682	70.5632	2.82388	94.2722	0.388242
38	12.0732	827.917	21	0.210363	53.8562	0.105068	69.8933	1.39208	87.5875	0.166232
10	27.5365	793.267	19	0.484322	53.0166	0.126147	76.351	2.86127	86.5853	0.217015
