fileNumber	cropAtStart	cropHalfways	k	propExposedImmigrants	lethalTime	immunityCost	cadaverDuration	timeAcceleration	sporulationOn	transmissionEfficiency	BiocontrolSuccess
17	25.0414	757.09	22	0.120396	75.1333	0.171098	71.0719	2.0715	97.4191	0.1396	0
10	24.2123	784.682	16	0.192515	100.376	0.220667	79.7532	1.99822	97.5364	0.112412	0
21	13.8201	762.829	29	0.270221	80.7131	0.192816	82.8333	2.48411	98.3429	0.475875	0
31	18.6242	778.333	22	0.128277	83.2401	0.22847	74.8345	2.1322	98.3097	0.411815	0
38	17.6082	815.94	23	0.156769	83.9019	0.0904413	76.5114	1.82307	97.6069	0.3533	0
29	16.9452	817.555	25	0.18358	107.697	0.140036	87.789	1.71347	97.5532	0.445924	0
16	29.8381	807.264	20	0.308063	88.1072	0.268073	68.1711	1.67957	98.0573	0.213036	0
20	24.5148	839.572	15	0.133494	102.49	0.122198	56.6477	1.99533	94.8805	0.303057	0
20	21.5901	795.309	29	0.282253	89.673	0.192608	76.3194	2.36131	92.1595	0.152957	0
3	17.0457	795.934	27	0.127086	112.752	0.0744021	58.9817	2.425	96.0774	0.108879	0
39	21.6002	819.401	17	0.376482	80.9868	0.221197	83.576	2.87003	97.3818	0.304538	0
20	16.5415	804.887	24	0.301229	66.6526	0.120461	74.5217	2.19748	92.6104	0.151776	0
16	20.6828	779.629	16	0.413142	72.1418	0.0855937	81.6115	1.56677	98.5844	0.259368	0
13	18.5333	814.071	24	0.402603	80.3126	0.290957	83.2994	2.23901	98.5479	0.331248	0
10	18.9402	772.385	20	0.279331	72.0332	0.193693	68.2143	2.48656	89.8872	0.125712	0
25	21.0636	832.404	16	0.357826	68.4544	0.178242	94.3809	2.22152	96.2589	0.131542	0
20	15.5321	799.555	16	0.332172	84.6461	0.270332	56.4547	2.26067	88.3451	0.259334	0
16	22.8661	779.006	21	0.425005	95.1686	0.176646	69.7232	1.70729	97.4731	0.15531	0
16	24.4527	784.19	19	0.398354	77.2107	0.274646	74.1487	2.22954	96.51	0.212785	0
3	25.7875	772.775	15	0.458956	88.1251	0.237648	83.4861	1.66047	97.587	0.182226	0
20	12.6734	785.303	26	0.474346	80.3417	0.174448	54.2876	1.80196	93.2867	0.233591	0
20	14.7338	794.86	22	0.410174	79.2424	0.384394	68.5323	2.37081	93.9007	0.153104	0
16	20.6828	779.629	16	0.506459	72.1418	0.0855937	81.6115	1.56677	98.5844	0.259368	0
17	14.7388	815.048	18	0.448239	71.4562	0.282116	61.8323	2.17457	97.0851	0.0694082	0
3	19.8554	761.893	15	0.656731	72.3374	0.135372	52.24	1.92745	98.6296	0.216749	0
40	22.059	815.769	18	0.51706	92.0985	0.223933	90.1326	1.2934	98.3392	0.47831	0
