Date	Tmax	Tmin	Tavg	Rain	I
01/01/2012	32.3	20.1	26.2	0	11.55
02/01/2012	32.2	21.2	26.7	0	13.63
03/01/2012	32.7	21.3	27	0	6.9
04/01/2012	32.2	23.2	27.7	0	11.8
05/01/2012	31.4	24.6	28	0	9.88
06/01/2012	32.5	21.9	27.2	0	13.47
07/01/2012	32.5	21.6	27.05	0	16.32
08/01/2012	31	19.1	25.05	0	16.63
09/01/2012	30.4	20	25.2	0	16.61
10/01/2012	30.3	17.9	24.1	0	15.61
11/01/2012	30.4	19.5	24.95	0	11.86
12/01/2012	29.4	23	26.2	0	12.25
13/01/2012	30.5	19.3	24.9	0	10.47
14/01/2012	27.7	21.9	24.8	0.2	14.08
15/01/2012	33.6	22	27.8	0	11.92
16/01/2012	32.7	17.3	25	0	8.88
17/01/2012	33.5	15.2	24.35	0	9.74
18/01/2012	33	17.4	25.2	0	11.38
19/01/2012	33	20.4	26.7	0	11.9
20/01/2012	32.3	22.7	27.5	0	13.01
21/01/2012	32.3	23.3	27.8	0	14.81
22/01/2012	33.6	22	27.8	0	16.8
23/01/2012	33.9	21.1	27.5	0	17.35
24/01/2012	33.7	21.5	27.6	1.7	16.32
25/01/2012	33	19.5	26.25	0	10.2
26/01/2012	33	20.5	26.75	0	9.52
27/01/2012	32.5	21.9	27.2	0	6.25
28/01/2012	33.1	21.5	27.3	0	7.35
29/01/2012	33.4	22	27.7	0	12.19
30/01/2012	32.6	22.2	27.4	0	2.57
31/01/2012	31.2	23	27.1	0	7.58
01/02/2012	31.5	23.4	27.45	0	15.82
02/02/2012	32.5	23.5	28	36	6.8
03/02/2012	31.3	21.8	26.55	4	10.89
04/02/2012	31.2	22.6	26.9	0.2	9
05/02/2012	34.2	22.8	28.5	0	14.97
06/02/2012	35.1	21.5	28.3	0	14.58
07/02/2012	35.7	19.2	27.45	0	16.22
08/02/2012	35.3	19	27.15	0	16.6
09/02/2012	34.2	21.4	27.8	0	14.64
10/02/2012	33.4	23.3	28.35	0	16
11/02/2012	33.2	23.6	28.4	0	14.97
12/02/2012	32.7	23.3	28	0	11.15
13/02/2012	34.2	23.5	28.85	0	12.83
14/02/2012	36.2	22.7	29.45	0	15.39
15/02/2012	35.7	20.3	28	0	15.44
16/02/2012	35.6	20.6	28.1	0	15.47
17/02/2012	34.4	22.4	28.4	0	13.09
18/02/2012	32.6	24.3	28.45	0	6.88
19/02/2012	31.6	23.2	27.4	0	13.43
20/02/2012	31.5	21.8	26.65	0	18.04
21/02/2012	33.5	19.8	26.65	0	17.45
22/02/2012	34.9	19.6	27.25	0	17.01
23/02/2012	36	19.2	27.6	0	18.17
24/02/2012	37.2	19.3	28.25	0	18.45
25/02/2012	35.9	19.9	27.9	0	18.09
26/02/2012	35.3	20.7	28	0	17.73
27/02/2012	35.3	23.4	29.35	0	18.14
28/02/2012	36.2	22.2	29.2	0	18.11
29/02/2012	35.1	17.4	26.25	0	17.94
01/03/2012	35.7	18.5	27.1	0	19.72
02/03/2012	36.2	19.8	28	0	18.12
03/03/2012	34.9	22.2	28.55	0	18.79
04/03/2012	35.4	22.1	28.75	0	17.74
05/03/2012	36	20.2	28.1	0	18.6
06/03/2012	36.8	20.8	28.8	0	20.96
07/03/2012	36.4	21.1	28.75	0	18.97
08/03/2012	37	21.9	29.45	0	7.63
09/03/2012	35.2	23.8	29.5	0	15.66
10/03/2012	32.1	25.5	28.8	0.4	14.43
11/03/2012	32.3	24.7	28.5	0	10.02
12/03/2012	36.2	24	30.1	0	15.11
13/03/2012	34.6	24.6	29.6	0	14.22
14/03/2012	36.6	26	31.3	25.5	12.67
15/03/2012	33.8	23.8	28.8	0	8.65
16/03/2012	36	23.9	29.95	0	16.67
17/03/2012	37.5	22	29.75	0	17.87
18/03/2012	35.1	23.5	29.3	0	18.07
19/03/2012	35.7	21.1	28.4	0	18.05
20/03/2012	36.5	21.3	28.9	0	20.35
21/03/2012	36.4	22.7	29.55	0	22.18
22/03/2012	37.2	22.5	29.85	0	20.76
23/03/2012	37.8	22.3	30.05	0	16.84
24/03/2012	36.1	22.5	29.3	0	10.12
25/03/2012	33.6	24.6	29.1	0	14.38
26/03/2012	35.5	24.3	29.9	0	11.62
27/03/2012	35.2	25	30.1	0	18.52
28/03/2012	36	24.2	30.1	0	16.62
29/03/2012	37.4	25	31.2	0	18.44
30/03/2012	38.7	24	31.35	0	14.31
31/03/2012	36	24	30	0	13.14
01/04/2012	33	23.6	28.3	0	13.84
02/04/2012	34.5	22.6	28.55	0	16.06
03/04/2012	35.7	24	29.85	0	16.12
04/04/2012	36	24.7	30.35	38.8	7.39
05/04/2012	34	23.2	28.6	0	15.56
06/04/2012	35	24.3	29.65	0.4	0
07/04/2012	32.8	23.3	28.05	0	0
08/04/2012	32.7	22.3	27.5	0	0
09/04/2012	35.9	22.8	29.35	0	0
10/04/2012	36.6	22.8	29.7	0	0
11/04/2012	37.7	24.4	31.05	0	0
12/04/2012	37.5	23.7	30.6	0	0
13/04/2012	38.2	24.3	31.25	0	0
14/04/2012	38	25.5	31.75	0	0
15/04/2012	37.5	25.5	31.5	0	0
16/04/2012	36.7	25	30.85	0	0
17/04/2012	37.2	25	31.1	0	0
18/04/2012	38	24.6	31.3	0	22.54
19/04/2012	38.7	26	32.35	0.2	20.75
20/04/2012	38.8	25	31.9	0	22.11
21/04/2012	39.2	25	32.1	0	21.54
22/04/2012	37.4	25	31.2	0	22.77
23/04/2012	39	25.5	32.25	0	19.13
24/04/2012	39.2	26	32.6	0	22.23
25/04/2012	40.2	25.6	32.9	0	21.04
26/04/2012	40.8	25.4	33.1	0	20.99
27/04/2012	40.3	27.8	34.05	0	22.36
