Date	Tmax	Tmin	Tavg	Rain	I
01/01/2012	30	16	23	0	11.55
02/01/2012	30.9	16.1	23.5	0	13.63
03/01/2012	31	17.9	24.45	0	6.9
04/01/2012	29	20.9	24.95	0	11.8
05/01/2012	28.6	19.6	24.1	0	9.88
06/01/2012	31	16.8	23.9	0	13.47
07/01/2012	28.4	17	22.7	0	16.32
08/01/2012	28.6	14.7	21.65	0	16.63
09/01/2012	28.5	14.8	21.65	0	16.61
10/01/2012	28.6	13.8	21.2	0	15.61
11/01/2012	26.8	18.3	22.55	0	11.86
12/01/2012	27	19.4	23.2	0	12.25
13/01/2012	28.5	18.2	23.35	0	10.47
14/01/2012	28.9	18.6	23.75	0.2	14.08
15/01/2012	32.1	20.8	26.45	0	11.92
16/01/2012	32.3	13	22.65	0	8.88
17/01/2012	33.4	15.2	24.3	0	9.74
18/01/2012	33	15.6	24.3	0	11.38
19/01/2012	32.5	17.5	25	0	11.9
20/01/2012	29.7	19.7	24.7	18	13.01
21/01/2012	31.6	21.5	26.55	0	14.81
22/01/2012	32.8	20	26.4	0	16.8
23/01/2012	31	19.9	25.45	0	17.35
24/01/2012	30.3	21	25.65	0	16.32
25/01/2012	28.5	19	23.75	0	10.2
26/01/2012	28.4	18.9	23.65	0	9.52
27/01/2012	30.9	16.8	23.85	0	6.25
28/01/2012	32	19	25.5	0	7.35
29/01/2012	31.4	21	26.2	0	12.19
30/01/2012	26	21.3	23.65	0	2.57
31/01/2012	28	20.5	24.25	0	7.58
01/02/2012	29.1	19	24.05	0	15.82
02/02/2012	30	19	24.5	0.2	6.8
03/02/2012	26	21.7	23.85	1.2	10.89
04/02/2012	29.6	20.2	24.9	0	9
05/02/2012	34.5	18.9	26.7	0	14.97
06/02/2012	35.9	18	26.95	0	14.58
07/02/2012	36.5	16.5	26.5	0	16.22
08/02/2012	34.8	16.9	25.85	0	16.6
09/02/2012	34.8	18.7	26.75	0	14.64
10/02/2012	34	19.2	26.6	0	16
11/02/2012	33.1	21.5	27.3	0	14.97
12/02/2012	33	19.5	26.25	0	11.15
13/02/2012	33.8	18	25.9	0	12.83
14/02/2012	35.2	19.5	27.35	0	15.39
