Date	Tmax	Tmin	Tavg	Rain	I
01/01/2012	32	22.7	27.35	0	11.55
02/01/2012	32.5	25	28.75	0	13.63
03/01/2012	33	25	29	2.8	6.9
04/01/2012	33	24.5	28.75	0	11.8
05/01/2012	33.1	24.5	28.8	0	9.88
06/01/2012	33	23.2	28.1	0	13.47
07/01/2012	32.7	22.7	27.7	0	16.32
08/01/2012	32.5	20.7	26.6	0	16.63
09/01/2012	30	20.5	25.25	0	16.61
10/01/2012	31.3	21.8	26.55	0	15.61
11/01/2012	31	23.4	27.2	0	11.86
12/01/2012	31.5	22.6	27.05	0	12.25
13/01/2012	31	23.5	27.25	1.2	10.47
14/01/2012	33.6	22.8	28.2	0	14.08
15/01/2012	33.5	25	29.25	0	11.92
16/01/2012	32.4	24.2	28.3	0	8.88
17/01/2012	32	25	28.5	0	9.74
18/01/2012	32.7	24	28.35	0	11.38
19/01/2012	32.5	22	27.25	0.6	11.9
20/01/2012	33.7	25	29.35	0	13.01
21/01/2012	32.5	24.5	28.5	16.8	14.81
22/01/2012	33.5	24	28.75	0	16.8
23/01/2012	34.2	23.5	28.85	0	17.35
24/01/2012	34	23.4	28.7	0	16.32
25/01/2012	34	24	29	0	10.2
26/01/2012	32.3	23.6	27.95	0.5	9.52
27/01/2012	32.6	24.2	28.4	0	6.25
28/01/2012	32.5	25	28.75	0	7.35
29/01/2012	33.5	24	28.75	0	12.19
30/01/2012	33	24	28.5	0	2.57
31/01/2012	29.6	24	26.8	0	7.58
01/02/2012	33	22.5	27.75	0	15.82
02/02/2012	32.8	24.2	28.5	0	6.8
03/02/2012	32.8	23.8	28.3	98	10.89
04/02/2012	31	22.5	26.75	2.5	9
05/02/2012	33	24.6	28.8	0	14.97
06/02/2012	33.5	25	29.25	0	14.58
07/02/2012	35	24.2	29.6	0	16.22
08/02/2012	35	24.5	29.75	0	16.6
09/02/2012	31.8	24.5	28.15	1.1	14.64
10/02/2012	34	24.5	29.25	0	16
11/02/2012	34.5	24	29.25	0	14.97
12/02/2012	33.4	24.4	28.9	0	11.15
13/02/2012	34.2	24.5	29.35	0	12.83
14/02/2012	34.3	25	29.65	0	15.39
15/02/2012	34.6	25.2	29.9	0	15.44
16/02/2012	35	25.5	30.25	0	15.47
17/02/2012	35.5	25.5	30.5	1	13.09
18/02/2012	29.8	25	27.4	0	6.88
19/02/2012	31.5	23	27.25	0	13.43
20/02/2012	31.5	22	26.75	0	18.04
21/02/2012	34	21.5	27.75	0	17.45
22/02/2012	35.8	22.5	29.15	0	17.01
23/02/2012	36	24.2	30.1	0	18.17
24/02/2012	36.2	24.3	30.25	0	18.45
25/02/2012	36.5	26	31.25	0	18.09
26/02/2012	36	25.5	30.75	0	17.73
27/02/2012	35.2	25.6	30.4	0	18.14
28/02/2012	35	26.5	30.75	0	18.11
29/02/2012	35.4	25	30.2	0	17.94
01/03/2012	35.2	25.5	30.35	0	19.72
02/03/2012	35	25	30	1.2	18.12
03/03/2012	35.6	25	30.3	0	18.79
04/03/2012	35.5	25	30.25	0	17.74
05/03/2012	35	25	30	0	18.6
06/03/2012	36	25	30.5	0	20.96
07/03/2012	36	24.8	30.4	0	18.97
08/03/2012	33.3	27	30.15	0	7.63
09/03/2012	35.5	25.5	30.5	0	15.66
10/03/2012	33.8	25.4	29.6	2.2	14.43
11/03/2012	35	25	30	1.2	10.02
12/03/2012	35.7	25	30.35	0	15.11
13/03/2012	35.8	25.2	30.5	0	14.22
14/03/2012	35.8	26.5	31.15	0	12.67
15/03/2012	35.7	25	30.35	0.4	8.65
16/03/2012	36.4	25	30.7	0	16.67
17/03/2012	36.5	25.5	31	0	17.87
18/03/2012	36.5	25	30.75	1	18.07
19/03/2012	34.4	23.8	29.1	3.8	18.05
20/03/2012	36	24.7	30.35	0	20.35
21/03/2012	36.4	24.7	30.55	0	22.18
22/03/2012	36.5	22.7	29.6	0	20.76
23/03/2012	36.2	22.8	29.5	0	16.84
24/03/2012	35.8	26	30.9	0	10.12
25/03/2012	36	25.5	30.75	0	14.38
26/03/2012	34.7	25.3	30	0	11.62
27/03/2012	36	26	31	0	18.52
28/03/2012	35.6	25.8	30.7	0	16.62
29/03/2012	36.7	26.5	31.6	0	18.44
30/03/2012	37.5	26.2	31.85	0	14.31
31/03/2012	36.7	27	31.85	5.6	13.14
01/04/2012	34.5	24.5	29.5	0	13.84
02/04/2012	34.2	24	29.1	0	16.06
03/04/2012	35.8	24.5	30.15	0	16.12
04/04/2012	36	26	31	0	7.39
05/04/2012	34.8	25.8	30.3	4.3	15.56
06/04/2012	34.5	25	29.75	8.6	0
07/04/2012	34.5	25	29.75	1.5	0
08/04/2012	34.4	23.3	28.85	0	0
09/04/2012	34.8	24.5	29.65	3.7	0
10/04/2012	36.5	24	30.25	0	0
11/04/2012	36.5	24	30.25	0	0
12/04/2012	36.2	24	30.1	0	0
13/04/2012	36.7	25.5	31.1	0	0
14/04/2012	36.8	25.7	31.25	0	0
15/04/2012	37	25.2	31.1	0	0
16/04/2012	37	26.5	31.75	0	0
17/04/2012	36.6	26.6	31.6	0	0
18/04/2012	37.2	26.3	31.75	0	22.54
19/04/2012	38	26.5	32.25	0	20.75
20/04/2012	38.2	26.6	32.4	0	22.11
21/04/2012	38.5	28.5	33.5	0	21.54
22/04/2012	38.5	27.5	33	0	22.77
23/04/2012	37.6	27.3	32.45	0	19.13
24/04/2012	38.2	27	32.6	0	22.23
25/04/2012	38.2	26.7	32.45	0	21.04
26/04/2012	39	28	33.5	0	20.99
27/04/2012	38.5	28	33.25	0	22.36
28/04/2012	38.5	26.5	32.5	0	19.8
29/04/2012	38.5	26.5	32.5	0	21.82
30/04/2012	38.8	26.6	32.7	0	21.63
01/05/2012	39	27.5	33.25	0	20.98
02/05/2012	38.6	28.4	33.5	0	18.85
03/05/2012	38.5	26.5	32.5	0	14.61
04/05/2012	38.5	26.5	32.5	0.1	22.6
05/05/2012	34	26.5	30.25	0.5	9.87
06/05/2012	35	25.5	30.25	0	18.14
07/05/2012	37	25.5	31.25	0	22.47
08/05/2012	35.4	25.7	30.55	0	6.9
09/05/2012	36.5	24.5	30.5	0	13.86
10/05/2012	36.5	26	31.25	0	20.8
11/05/2012	38	26.2	32.1	0	22.55
12/05/2012	38	27.5	32.75	1	20.61
13/05/2012	38	27.5	32.75	0	18.92
14/05/2012	37.8	27	32.4	0	19.4
15/05/2012	37.5	27.2	32.35	19	20.47
16/05/2012	34.6	24.4	29.5	45.8	10.09
17/05/2012	34.5	25	29.75	12	5.28
18/05/2012	33.8	24.8	29.3	1	12.94
19/05/2012	35.5	26.5	31	9.2	20.62
20/05/2012	35.5	24.5	30	0.2	21.79
21/05/2012	35.7	26.2	30.95	4.2	20.58
22/05/2012	36	26.8	31.4	0	18.27
23/05/2012	36	27	31.5	2	14.52
24/05/2012	36	26.4	31.2	5.1	16.42
25/05/2012	36	25.5	30.75	2.6	13.76
26/05/2012	34.3	25.6	29.95	0	13.49
27/05/2012	34.5	27	30.75	0	15.25
28/05/2012	34.5	26	30.25	4.2	16.27
29/05/2012	33.4	26	29.7	0	13.14
30/05/2012	34.5	26.5	30.5	8	15.88
31/05/2012	34	25	29.5	6	14.35
01/06/2012	35	25.3	30.15	8.5	12.52
