Date	Tmax	Tmin	Tavg	Rain	I
01/01/2012	31.8	19.8	25.8	0	11.55
02/01/2012	30	20.5	25.25	0	13.63
03/01/2012	32.8	21.5	27.15	0	6.9
04/01/2012	32	22	27	0	11.8
05/01/2012	31.4	22	26.7	0	9.88
06/01/2012	31.8	19.8	25.8	0	13.47
07/01/2012	32.2	20.3	26.25	0	16.32
08/01/2012	31.5	19.3	25.4	0	16.63
09/01/2012	29.9	17.6	23.75	0	16.61
10/01/2012	29	16.3	22.65	0	15.61
11/01/2012	30	19	24.5	0	11.86
12/01/2012	30.3	20.5	25.4	0	12.25
13/01/2012	29.8	19.2	24.5	0	10.47
14/01/2012	29.5	20.7	25.1	0.8	14.08
15/01/2012	30.4	21.2	25.8	0	11.92
16/01/2012	31.5	14	22.75	0	8.88
17/01/2012	32.1	17.6	24.85	0	9.74
18/01/2012	32.7	18.2	25.45	4.3	11.38
19/01/2012	31.5	20.2	25.85	7.3	11.9
20/01/2012	31.6	21.3	26.45	15.2	13.01
21/01/2012	32.2	21.6	26.9	0.2	14.81
22/01/2012	32	22.5	27.25	0	16.8
23/01/2012	31.7	21.3	26.5	0	17.35
24/01/2012	32.1	22.9	27.5	2.6	16.32
25/01/2012	32.8	21	26.9	0	10.2
26/01/2012	32.5	21.5	27	0	9.52
27/01/2012	31	20.9	25.95	0	6.25
28/01/2012	32	22	27	0	7.35
29/01/2012	32	22.1	27.05	0	12.19
30/01/2012	30.5	22.6	26.55	0	2.57
31/01/2012	29	22.5	25.75	0	7.58
01/02/2012	31.3	22.2	26.75	0	15.82
02/02/2012	32.3	21.9	27.1	0	6.8
03/02/2012	30.4	22.3	26.35	0	10.89
04/02/2012	31.3	22	26.65	0	9
05/02/2012	33.9	22.6	28.25	0	14.97
06/02/2012	34.2	22.7	28.45	0	14.58
07/02/2012	33.5	20.2	26.85	0	16.22
08/02/2012	33.5	18.6	26.05	0	16.6
09/02/2012	33	20.5	26.75	0	14.64
10/02/2012	33	22.5	27.75	0	16
11/02/2012	32.5	23	27.75	0	14.97
12/02/2012	32.4	21.9	27.15	0	11.15
13/02/2012	33	22.3	27.65	0	12.83
14/02/2012	33.8	22	27.9	0	15.39
15/02/2012	33.6	21.6	27.6	0	15.44
16/02/2012	33.3	20.6	26.95	0	15.47
17/02/2012	33.8	22.2	28	0	13.09
18/02/2012	32.5	22.9	27.7	0	6.88
19/02/2012	30.7	22.1	26.4	0	13.43
20/02/2012	31.4	20	25.7	0	18.04
21/02/2012	31.5	19.4	25.45	0	17.45
22/02/2012	33.5	18.8	26.15	0	17.01
23/02/2012	35.5	19	27.25	0	18.17
24/02/2012	35.5	20.5	28	0	18.45
25/02/2012	35.3	20.4	27.85	0	18.09
26/02/2012	34.6	22	28.3	0	17.73
27/02/2012	34.2	21.4	27.8	0	18.14
28/02/2012	34.5	23.8	29.15	0	18.11
29/02/2012	35	21	28	0	17.94
01/03/2012	35.1	22	28.55	0	19.72
02/03/2012	35.3	21.7	28.5	0	18.12
03/03/2012	35.1	23.2	29.15	0	18.79
04/03/2012	34.5	24	29.25	0	17.74
05/03/2012	35.6	23.3	29.45	0	18.6
06/03/2012	36	22.5	29.25	0	20.96
07/03/2012	36.1	22.7	29.4	0	18.97
08/03/2012	35.7	23.6	29.65	0	7.63
09/03/2012	34.6	24.8	29.7	0	15.66
10/03/2012	28.2	24	26.1	20	14.43
11/03/2012	33.3	23	28.15	0	10.02
12/03/2012	34.5	24.2	29.35	0	15.11
13/03/2012	35.4	23.9	29.65	0	14.22
14/03/2012	35.1	24.9	30	0	12.67
15/03/2012	35.2	23.9	29.55	0	8.65
16/03/2012	34.4	24.5	29.45	0	16.67
17/03/2012	34.8	24.1	29.45	0	17.87
18/03/2012	34.3	23.2	28.75	0	18.07
19/03/2012	35.3	23	29.15	0	18.05
20/03/2012	35.8	24.1	29.95	0	20.35
21/03/2012	36.2	22	29.1	0	22.18
22/03/2012	36.5	20	28.25	0	20.76
23/03/2012	36.7	22.2	29.45	0	16.84
24/03/2012	36.5	22.5	29.5	0	10.12
25/03/2012	33.9	22.5	28.2	0	14.38
26/03/2012	35.8	23.1	29.45	0	11.62
27/03/2012	35	24.1	29.55	0	18.52
28/03/2012	34.8	23	28.9	0	16.62
29/03/2012	36.8	23	29.9	0	18.44
30/03/2012	37.9	22.2	30.05	0	14.31
31/03/2012	35.8	23.2	29.5	3.8	13.14
01/04/2012	32.8	23	27.9	0	13.84
02/04/2012	34	22.4	28.2	0	16.06
03/04/2012	36.3	22.4	29.35	0	16.12
04/04/2012	35.4	25.5	30.45	7.8	7.39
05/04/2012	32.8	22.2	27.5	0	15.56
06/04/2012	34	23.8	28.9	0	0
07/04/2012	32.6	23	27.8	10.4	0
08/04/2012	34	21.7	27.85	0.2	0
09/04/2012	35.5	21.8	28.65	5	0
10/04/2012	35.2	22.2	28.7	0	0
11/04/2012	36	22.5	29.25	0	0
12/04/2012	36.5	24.9	30.7	0	0
13/04/2012	37.5	25.5	31.5	0	0
14/04/2012	37.7	25.4	31.55	0	0
15/04/2012	37.4	25.9	31.65	0	0
16/04/2012	35.5	25.7	30.6	0	0
17/04/2012	36	25.5	30.75	0	0
18/04/2012	36.8	25.4	31.1	0	22.54
19/04/2012	37.6	26.5	32.05	0	20.75
20/04/2012	37.8	27.5	32.65	0	22.11
21/04/2012	37.6	26.2	31.9	0	21.54
22/04/2012	37.6	25.4	31.5	0	22.77
23/04/2012	37.8	25.8	31.8	0	19.13
24/04/2012	37.8	26.1	31.95	0	22.23
