Date	Tavg	RH
/1/1/2016 	1.5	91.7
/1/2/2016	-2.2	77.3
/1/3/2016	-6.2	80.1
/1/4/2016	-7.5	73.5
/1/5/2016	-9.4	73.8
/1/6/2016	-13.8	81.6
/1/7/2016	-13.1	80
/1/8/2016	-10	81.7
/1/9/2016	-9.4	80.7
/1/10/2016	-6.2	87.7
/1/11/2016	-2.2	92.3
/1/12/2016	-3.9	82.2
/1/13/2016	-9.7	79
/1/14/2016	-16.3	80.5
/1/15/2016	-17	79.9
/1/16/2016	-12.5	83.8
/1/17/2016	-15.4	105
/1/18/2016 	40	105
/1/19/2016 	40	105
/1/20/2016 	40	105
/1/21/2016 	40	105
/1/22/2016	-9	105
/1/23/2016	-2.8	90.8
/1/24/2016	-2.5	92.7
/1/25/2016	-1.1	93.3
/1/26/2016 	2.8	89.3
/1/27/2016 	3.1	92.6
/1/28/2016 	2.6	71
/1/29/2016 	3.8	83.8
/1/30/2016 	2	70.4
/1/31/2016 	0.3	67.1
/2/1/2016	-1.6	81.1
/2/2/2016 	2	86.1
/2/3/2016 	0.3	66.8
/2/4/2016	-0.8	54.7
/2/5/2016	-2.4	78.2
/2/6/2016 	3.6	92
/2/7/2016 	4.7	88.3
/2/8/2016 	3.1	88.5
/2/9/2016 	3.3	89.3
/2/10/2016 	1.4	88.2
/2/11/2016 	0	58.2
/2/12/2016	-2.9	64.6
/2/13/2016	-4.4	84.2
/2/14/2016	-6.9	79.8
/2/15/2016	-8.1	72.8
/2/16/2016	-5.8	77.6
/2/17/2016 	0.7	77.1
/2/18/2016	-3.5	76.7
/2/19/2016	-1.3	90.4
/2/20/2016 	0.8	90.5
/2/21/2016 	0.7	81.4
/2/22/2016	-2	81.2
/2/23/2016	-2.6	80.3
/2/24/2016	-3.2	71.9
/2/25/2016	-4.5	74.8
/2/26/2016	-2.2	68.5
/2/27/2016	-3.3	71.8
/2/28/2016	-3.4	72.6
/2/29/2016	-3.7	86.1
/3/1/2016	-0.9	76.4
/3/2/2016	-1.2	87
/3/3/2016 	0.1	90.3
/3/4/2016 	0.3	90.4
/3/5/2016 	0.6	86.3
/3/6/2016	-0.1	85.8
/3/7/2016	-0.2	85.1
/3/8/2016	-0.7	79.5
/3/9/2016 	0.7	88.3
/3/10/2016 	0.8	85.6
/3/11/2016	-1.1	88
/3/12/2016 	0.7	86.1
/3/13/2016 	2.1	83.8
/3/14/2016 	4	82.1
/3/15/2016 	5.2	74.4
/3/16/2016 	2.9	80.5
/3/17/2016 	0.7	90.3
/3/18/2016 	3.6	64
/3/19/2016 	2.7	66.3
/3/20/2016 	3.1	63.9
/3/21/2016 	2.3	69
/3/22/2016 	2.7	75.2
/3/23/2016 	2.8	57.1
/3/24/2016 	1.4	80.8
/3/25/2016 	3.5	86.6
/3/26/2016 	2.6	83.7
/3/27/2016 	5.2	85.3
/3/28/2016 	6.4	79.8
/3/29/2016 	5.2	83.5
/3/30/2016 	2.7	81.7
/3/31/2016 	1.1	73
/4/1/2016 	2.9	57.1
/4/2/2016 	4.4	85.3
/4/3/2016 	5.5	89.1
/4/4/2016 	6.7	87.7
/4/5/2016 	6.1	90.7
/4/6/2016 	6.1	86.9
/4/7/2016 	5.2	84.5
/4/8/2016 	4.3	87.3
/4/9/2016 	4.3	80.7
/4/10/2016 	4.4	74.3
/4/11/2016 	5.6	72.2
/4/12/2016 	6.1	64.8
/4/13/2016 	6.9	59.9
/4/14/2016 	6.4	64.9
/4/15/2016 	6.1	82.1
/4/16/2016 	6.5	75.2
/4/17/2016 	4.7	80
/4/18/2016 	6.7	62.4
/4/19/2016 	7.8	46.4
/4/20/2016 	7.6	45.6
/4/21/2016 	8.6	44
/4/22/2016 	5.4	39.4
/4/23/2016 	2.6	48.6
/4/24/2016 	2.6	60.6
/4/25/2016 	2.5	66
/4/26/2016 	3.4	56.8
/4/27/2016 	4.4	53
/4/28/2016 	4.7	66.3
/4/29/2016 	5.1	70.8
/4/30/2016 	2.9	89.1
/5/1/2016 	6	76.9
/5/2/2016 	7.3	66.4
/5/3/2016 	7.8	83.9
/5/4/2016 	8	67.4
/5/5/2016 	8.7	66.3
/5/6/2016 	10.4	58.3
/5/7/2016 	12.4	50.9
/5/8/2016 	14.8	49.2
/5/9/2016 	15.6	47.4
/5/10/2016 	16.6	42.1
/5/11/2016 	13.3	45
/5/12/2016 	12.1	61.7
/5/13/2016 	8.3	50.2
/5/14/2016 	8.1	41
/5/15/2016 	9.5	39.5
/5/16/2016 	10.3	41.8
/5/17/2016 	10	57.2
/5/18/2016 	10.8	69.9
/5/19/2016 	11.4	80.7
/5/20/2016 	10.5	86.8
/5/21/2016 	10.5	81.4
/5/22/2016 	13.1	90.7
/5/23/2016 	13.4	90.8
/5/24/2016 	9.9	78.6
/5/25/2016 	12.6	50.3
/5/26/2016 	12.9	47.7
/5/27/2016 	14.7	53.6
/5/28/2016 	13.1	61
/5/29/2016 	13	80.6
/5/30/2016 	15.5	71.5
/5/31/2016 	19.2	62.3
/6/1/2016 	20.8	56
/6/2/2016 	21.2	55.4
/6/3/2016 	21.5	53.7
/6/4/2016 	16.8	34.1
/6/5/2016 	15.8	41.6
/6/6/2016 	15.2	63.5
/6/7/2016 	16	79.3
/6/8/2016 	14.1	43.5
/6/9/2016 	11.7	44.5
/6/10/2016 	11.3	40.3
/6/11/2016 	12.1	53.2
/6/12/2016 	14.2	49.7
/6/13/2016 	14.7	49.8
/6/14/2016 	16.7	40.5
/6/15/2016 	13.5	75.9
/6/16/2016 	17.8	60.7
/6/17/2016 	15.3	76.9
/6/18/2016 	16.2	69.9
/6/19/2016 	12.9	78.3
/6/20/2016 	13	83.1
/6/21/2016 	16.5	72.6
/6/22/2016 	15.6	74.4
/6/23/2016 	15.8	77.5
/6/24/2016 	17	83.4
/6/25/2016 	18	73.7
/6/26/2016 	16.2	82
/6/27/2016 	14.2	79.5
/6/28/2016 	15.5	68.7
/6/29/2016 	14.3	72.8
/6/30/2016 	13.8	80.9
/7/1/2016 	13.2	81.7
/7/2/2016 	12.9	78.5
/7/3/2016 	13.3	70.9
/7/4/2016 	13.4	75.3
/7/5/2016 	12.6	81.3
/7/6/2016 	14.7	67.8
/7/7/2016 	14.6	62.8
/7/8/2016 	15.9	73.2
/7/9/2016 	15.8	73.5
/7/10/2016 	15.4	78.6
/7/11/2016 	16.3	79.8
/7/12/2016 	16.1	78.9
/7/13/2016 	15.6	84.5
/7/14/2016 	16.3	81.4
/7/15/2016 	17.9	65.8
/7/16/2016 	16.6	69.2
/7/17/2016 	14.1	64.5
/7/18/2016 	15.3	64
/7/19/2016 	15.4	75.1
/7/20/2016 	18.7	72.7
/7/21/2016 	20.1	65.4
/7/22/2016 	20.3	66.6
/7/23/2016 	19.5	69.7
/7/24/2016 	19.9	69.5
/7/25/2016 	19.3	71.8
/7/26/2016 	17.6	76.8
/7/27/2016 	16	73.4
/7/28/2016 	17.1	74.4
/7/29/2016 	15.8	77.1
/7/30/2016 	16.2	72.8
/7/31/2016 	14.7	64.9
/8/1/2016 	14.7	67
/8/2/2016 	15	66.6
/8/3/2016 	14	72.6
/8/4/2016 	15.5	81.1
/8/5/2016 	16.4	83.8
/8/6/2016 	15	86.2
/8/7/2016 	14.8	84.3
/8/8/2016 	14.9	70
/8/9/2016 	13.1	68.7
/8/10/2016 	10.3	70.7
/8/11/2016 	11.4	63
/8/12/2016 	11.3	87.3
/8/13/2016 	15.6	76.4
/8/14/2016 	15.3	64.9
/8/15/2016 	14.4	64.3
/8/16/2016 	15.5	65.1
/8/17/2016 	16.4	58.2
/8/18/2016 	16.3	62.3
/8/19/2016 	15.5	68.7
/8/20/2016 	15.3	81.7
/8/21/2016 	15.5	82.1
/8/22/2016 	14.6	85.8
/8/23/2016 	16.5	79.3
/8/24/2016 	15.6	84.4
/8/25/2016 	17.2	90.6
/8/26/2016 	17.6	83.1
/8/27/2016 	15.3	64
/8/28/2016 	11	86
/8/29/2016 	11.3	80.6
/8/30/2016 	12.2	80.9
/8/31/2016 	14.9	81.6
/9/1/2016 	16	64.6
/9/2/2016 	13.9	72.1
/9/3/2016 	15.1	64
/9/4/2016 	12.2	65.6
/9/5/2016 	12.3	67.8
/9/6/2016 	15.4	78.9
/9/7/2016 	18.2	72.9
/9/8/2016 	17	82.6
/9/9/2016 	16.5	83.7
/9/10/2016 	16.6	83.7
/9/11/2016 	15.9	72.1
/9/12/2016 	12.4	79.1
/9/13/2016 	15.9	83.3
/9/14/2016 	16	87.2
/9/15/2016 	17	86.9
/9/16/2016 	15.4	71.8
/9/17/2016 	12.7	73.2
/9/18/2016 	12.4	78.2
/9/19/2016 	12.5	82.2
/9/20/2016 	12.8	79.7
/9/21/2016 	13.3	89.8
/9/22/2016 	13.6	87.9
/9/23/2016 	11.6	87.4
/9/24/2016 	10	80.3
/9/25/2016 	15.3	81.7
/9/26/2016 	13.8	80.4
/9/27/2016 	12.3	82.7
/9/28/2016 	13.3	70
/9/29/2016 	13.2	69.5
/9/30/2016 	11	52.8
/10/1/2016 	7.8	69.9
/10/2/2016 	6.6	68.9
/10/3/2016 	4.9	73.7
/10/4/2016 	4	75.2
/10/5/2016 	3.5	66.5
/10/6/2016 	6.9	57.1
/10/7/2016 	9.6	59.5
/10/8/2016 	7.1	60.7
/10/9/2016 	5.7	67.8
/10/10/2016 	5.8	70.3
/10/11/2016 	4.7	68.7
/10/12/2016 	3.6	72.7
/10/13/2016 	3.2	74.7
/10/14/2016 	0.9	76.3
/10/15/2016 	3.8	71.7
/10/16/2016 	5.9	76.7
/10/17/2016 	6.2	90.5
/10/18/2016 	6.6	88.5
/10/19/2016 	7.2	86.2
/10/20/2016 	6.3	84.7
/10/21/2016 	4.6	76.2
/10/22/2016 	3.2	77.2
/10/23/2016 	3.5	83.9
/10/24/2016 	5	85.8
/10/25/2016 	4	88.8
/10/26/2016 	4.4	91.6
/10/27/2016 	7.8	86.1
/10/28/2016 	7.7	62.1
/10/29/2016 	5.8	48.7
/10/30/2016 	3.8	70
/10/31/2016 	5.2	86.5
/11/1/2016 	4.1	85.3
/11/2/2016 	1.8	69.7
/11/3/2016	-3.6	85
/11/4/2016	-1.9	87.6
/11/5/2016 	0.4	76.1
/11/6/2016	-2.6	67.1
/11/7/2016	-6.2	64.4
/11/8/2016	-4.8	70.2
/11/9/2016	-4.5	76.1
/11/10/2016	-4.1	78.8
/11/11/2016	-6	87.1
/11/12/2016	-4.9	91
/11/13/2016 	2.9	88.3
/11/14/2016 	4.7	92
/11/15/2016 	3.6	92.3
/11/16/2016 	3.4	89.1
/11/17/2016 	2.5	84.1
/11/18/2016 	4	86.7
/11/19/2016 	2.3	87
/11/20/2016 	2.3	89.8
/11/21/2016 	2	91.1
/11/22/2016 	4.2	92.5
/11/23/2016 	6.5	82.1
/11/24/2016 	0	77.7
/11/25/2016 	4.1	81
/11/26/2016 	5.8	58.9
/11/27/2016 	2.5	45.7
/11/28/2016	-3.5	75.6
/11/29/2016	-3.6	82.7
/11/30/2016	-2	73.1
/12/1/2016	-2.2	85.4
/12/2/2016	-0.4	55.5
/12/3/2016	-4.4	82.5
/12/4/2016	-3.8	89.4
/12/5/2016 	3.7	68
/12/6/2016	-2.7	86.6
