Station	Date	Tmax	Tmin	Tavg	DJC
6565	01/01/2015	-4	-12.9	-8.5	26.5
6565	02/01/2015	-4.1	-19	-11.6	29.6
6565	03/01/2015	-11.4	-29.5	-20.5	38.5
6565	04/01/2015	-2.5	-11.5	-7	25
6565	05/01/2015	-4.3	-23.7	-14	32
6565	06/01/2015	-18	-27	-22.5	40.5
6565	07/01/2015	-12	-27.8	-19.9	37.9
6565	08/01/2015	-18.9	-30.1	-24.5	42.5
6565	09/01/2015	-7.2	-18.9	-13.1	31.1
6565	10/01/2015	-10.1	-28.9	-19.5	37.5
6565	11/01/2015	-8.7	-20.3	-14.5	32.5
6565	12/01/2015	-4.5	-18.9	-11.7	29.7
6565	13/01/2015	-17.4	-33	-25.2	43.2
6565	14/01/2015	-13.7	-36.7	-25.2	43.2
6565	15/01/2015	-11	-29.8	-20.4	38.4
6565	16/01/2015	-6.8	-23.4	-15.1	33.1
6565	17/01/2015	-15.1	-27.2	-21.2	39.2
6565	18/01/2015	0.2	-16.1	-8	26
6565	19/01/2015	1.9	-9.8	-4	22
6565	20/01/2015	-9.8	-18	-13.9	31.9
6565	21/01/2015	-12.8	-23	-17.9	35.9
6565	22/01/2015	-6.6	-23.7	-15.2	33.2
6565	23/01/2015	-2.6	-14.9	-8.8	26.8
6565	24/01/2015	-2.1	-3.9	-3	21
6565	25/01/2015	-2.8	-20.9	-11.9	29.9
6565	26/01/2015	-13.7	-27.1	-20.4	38.4
6565	27/01/2015	-11.3	-15.2	-13.3	31.3
6565	28/01/2015	-6.4	-13.9	-10.2	28.2
6565	29/01/2015	-5.3	-22.7	-14	32
6565	30/01/2015	-1.5	-13.9	-7.7	25.7
6565	31/01/2015	-12.4	-22.1	-17.3	35.3
6565	01/02/2015	-16.7	-30.2	-23.5	41.5
6565	02/02/2015	-17.7	-26.1	-21.9	39.9
6565	03/02/2015	-15.5	-28.8	-22.2	40.2
6565	04/02/2015	-6.9	-24.4	-15.7	33.7
6565	05/02/2015	-7	-31.8	-19.4	37.4
6565	06/02/2015	-14.7	-33.8	-24.3	42.3
6565	07/02/2015	-14.5	-27.9	-21.2	39.2
6565	08/02/2015	-14.8	-23.4	-19.1	37.1
6565	09/02/2015	-12.2	-17.8	-15	33
6565	10/02/2015	-6	-16.5	-11.3	29.3
6565	11/02/2015	-12.8	-21.9	-17.4	35.4
6565	12/02/2015	-11.1	-17.1	-14.1	32.1
6565	13/02/2015	-15.8	-25.5	-20.7	38.7
6565	14/02/2015	-14	-28.7	-21.4	39.4
6565	15/02/2015	-12.6	-23.7	-18.2	36.2
6565	16/02/2015	-10	-21	-15.5	33.5
6565	17/02/2015	-12.1	-28.2	-20.2	38.2
6565	18/02/2015	-7.7	-22.3	-15	33
6565	19/02/2015	-7.4	-14.3	-10.9	28.9
6565	20/02/2015	-9.9	-18.7	-14.3	32.3
6565	21/02/2015	-9.4	-24.9	-17.2	35.2
6565	22/02/2015	-4.8	-13.5	-9.2	27.2
6565	23/02/2015	-7.1	-24.8	-16	34
6565	24/02/2015	-12.7	-32	-22.4	40.4
6565	25/02/2015	-5.3	-18.2	-11.8	29.8
