Station	Date	Tmin	Tmax	Tavg	I
6135	1/1/2010	0.5	0.9	5.6	3.2
6135	2/1/2010	-5.4	0.6	4.1     3.2
6135	3/1/2010	-5.2	3.5	2.8     0.8
6135	4/1/2010	-1.4	0.3	3.3	0.9
6135	5/1/2010	-7.2	-2.3	-5.8	3.5
6135	6/1/2010	-8.5	1.2	4.8     1.9
6135	7/1/2010	-1	1.9	8	2.7
6135	8/1/2010	-7.2	2.1	4.1 	1.6
6135	9/1/2010	-0.7	5.1	-2.2 	3.1
6135	10/1/2010	1.7	3.6	3.9 	0.8
6135	11/1/2010	-1.5	3.6	4.2 	2.1
6135	12/1/2010	-1.5	4.5	1.4 	2.1
6135	13/01/2010	2.9	4.3	4.5 	0.4
6135	14/01/2010	2.8	3.6	4.3 	0.7
6135	15/01/2010	1.6	2.8	-0.6 	0.7
6135	16/01/2010	-1.9	1.1	4.3 	1.7
6135	17/01/2010	-1.1	0.1	3.6 	0.6
6135	18/01/2010	-1.4	3.2	5.7 	1.4
6135	19/01/2010	1.8	3.4	6.8 	1
6135	20/01/2010	1.1	4.6	3.8 	2.9
6135	21/01/2010	1	4.5	0.4 	4.1
6135	22/01/2010	-0.8	2.2	2.1 	1.6
6135	23/01/2010	-0.2	2.3	3.9 	1.1
6135	24/01/2010	0	3.5	1.1 	0.8
6135	25/01/2010	1.2	3.4	1.6 	1.3
6135	26/01/2010	-0.4	2	6.0 	1.9
6135	27/01/2010	-0.5	3.3	7.1 	2.8
6135	28/01/2010	-0.3	1.1	2.7 	1.3
6135	29/01/2010	-2.8	-1.8	6.6 	1.1
6135	30/01/2010	-3.2	0.7	2.7 	0.8
6135	31/01/2010	-1.5	1.8	9	2.3
6135	1/2/2010	-2.9	0.1	2.1	1.9
6135	2/2/2010	-1.8	1.3	8.9	1.4
6135	3/2/2010	0	1.3	7.2	1.9
6135	4/2/2010	-0.1	1.2	3.7	0.7
6135	5/2/2010	0	2.4	8.7	1.4
6135	6/2/2010	0.3	4.4	8.8	0.9
6135	7/2/2010	1	2.9	6.7 	1.2
6135	8/2/2010	0.5	3.1	7.0 	4.6
6135	9/2/2010	0.2	1.1	7.2 	1.8
6135	10/2/2010	-0.1	2	3.1 	1.6
6135	11/2/2010	-0.8	1.6	6.9 	4.5
6135	12/2/2010	-1.3	-0.1	2.0 	3.4
6135	13/02/2010	-8.3	1	4.6 	8
6135	14/02/2010	-4.9	1.3	2.6 	8.1
6135	15/02/2010	-3.2	0.8	6.3 	3.4
6135	16/02/2010	-0.7	0.1	7.2 	3.6
6135	17/02/2010	-7.4	-1	8.2 	8.9
6135	18/02/2010	-9.2	0.2	5.3 	5.9
